id	bits.on
0027_00001	15,20,49,89,138,203,237,280,297,387,396,437,508,674,704,725,727,772,892,912,948,983
0027_00004	4,5,15,20,26,35,39,49,60,64,76,85,87,89,94,118,120,128,152,153,159,163,170,180,207,222,228,231,252,270,278,281,285,290,316,326,351,366,368,370,391,401,408,420,424,437,439,480,499,501,508,516,524,530,552,584,594,602,609,626,664,690,726,727,753,758,759,772,802,818,860,871,927,936,948,949,964,976,999,1009
0027_00007	77,153,207,294,390,481,626,802,807,849,948
0027_00010	15,31,50,67,77,85,89,127,131,132,134,137,139,153,168,245,283,311,314,317,319,326,361,405,413,422,430,436,442,461,479,486,508,524,544,582,614,626,631,662,699,704,742,783,787,791,814,824,836,866,936,964,968,974,980,985
0027_00012	19,20,91,93,94,107,134,141,153,207,226,262,270,281,353,369,381,476,481,482,508,515,528,550,601,604,626,640,727,776,789,808,968,977,989
0027_00016	15,20,32,89,94,164,233,263,508,536,626,662,677,727,772,836,841,877,900,936,945
0027_00017	19,20,94,107,134,141,153,207,213,247,319,326,387,395,405,481,486,508,524,576,626,686,705,727,741,776,789,925,947,948,968,986,989
0027_00019	15,20,32,69,89,94,199,411,437,438,508,587,626,662,676,677,727,776,818,936,964
0027_00026	51,64,67,85,89,129,134,137,147,153,159,174,182,188,206,212,245,300,309,311,326,351,358,384,387,405,419,442,461,481,506,508,524,533,540,582,585,615,626,652,662,710,719,743,747,771,806,854,860,887,889,936,974,984
0027_00028	20,128,138,153,171,207,224,272,280,347,387,434,497,508,511,526,575,627,654,700,727,733,762,827,833,886,919,948,993,1019
0027_00030	19,56,65,85,89,134,139,153,155,159,172,197,212,311,319,326,351,387,390,401,405,422,436,442,461,481,486,524,525,558,566,580,625,626,629,653,678,690,710,719,728,743,755,783,887,935,936,960,968,974,975,990
0027_00032	34,134,153,154,207,224,226,227,279,350,353,369,381,390,476,515,516,539,550,626,640,647,658,659,802,867,904,906,934,940,948,968,998
0027_00034	20,94,107,141,207,481,508,551,626,727,802,948,964
0027_00035	20,39,49,56,61,94,107,141,153,207,224,255,400,452,481,508,516,527,535,626,655,687,727,739,802,907,917,948,964,965
0027_00040	20,94,107,116,141,153,207,340,341,353,440,481,508,511,626,727,776,779,789
0027_00042	20,38,56,62,94,96,107,134,141,145,153,174,207,230,270,370,399,421,436,441,473,480,481,487,508,511,516,531,550,552,558,588,626,657,671,686,700,705,727,731,739,743,776,802,820,888,907,917,920,948,968,989
0027_00043	20,94,103,107,141,144,153,202,207,217,231,255,259,302,341,430,463,481,508,545,553,599,626,642,659,670,686,698,727,771,776,778,781,789,915,948
0027_00044	20,62,94,96,107,134,141,145,153,207,270,292,320,347,349,421,481,487,508,550,588,608,626,629,657,719,725,727,776,789,797,854,861,881,915,968
0027_00046	38,52,64,74,88,93,100,134,156,207,245,274,289,297,321,390,392,393,405,426,437,481,506,508,511,579,580,582,591,593,606,613,615,626,662,678,802,821,860,866,887,889,943,948,956,968,977,1009
0027_00049	5,20,21,22,56,77,88,94,107,117,134,153,195,207,281,338,366,387,395,405,468,479,481,508,516,530,611,626,655,662,668,727,739,757,787,806,829,866,913,950,968,989
0027_00053	20,94,134,160,177,195,252,304,366,387,395,405,445,469,479,508,510,551,611,626,662,727,787,850,968,973
0027_00054	20,57,84,89,134,138,139,153,159,173,177,197,210,212,245,257,267,269,274,300,347,351,364,387,401,402,405,430,442,445,452,460,461,465,481,492,508,523,524,540,555,560,596,600,615,626,631,657,681,692,700,716,718,719,763,765,807,833,846,860,874,877,887,911,919,928,932,936,948,952,954,965,968,974,980,994,997
0027_00055	20,51,94,107,141,153,174,207,217,231,270,294,341,353,360,481,504,508,516,545,552,626,643,727,771,776,778,789,986
0027_00056	15,73,81,89,116,134,183,245,272,298,332,380,381,385,393,405,419,464,487,508,524,543,550,585,618,651,667,683,686,688,706,725,772,898,905,948,968,1022
0027_00061	85,89,134,139,153,159,197,212,245,274,311,326,351,387,390,401,405,442,452,460,461,465,481,508,523,524,560,596,615,626,631,657,681,710,716,719,743,765,807,833,887,928,936,952,968,974
0027_00063	57,72,76,89,109,153,166,173,177,187,266,347,351,442,461,481,508,553,555,588,626,634,647,687,692,719,743,763,830,839,917,936,954,963,967,974,982
0027_00064	10,15,20,39,89,94,134,199,201,217,245,264,331,411,462,506,508,540,553,560,617,626,662,677,707,712,727,981,1022
0027_00067	15,20,89,90,94,100,120,121,134,135,199,220,264,356,376,391,405,411,507,508,586,595,626,662,677,727,772,826,948,954
0027_00070	85,89,134,153,245,311,326,332,351,406,432,442,461,508,528,534,600,626,672,690,704,707,719,795,805,837,906,936
0027_00071	72,85,89,153,166,187,311,326,351,442,461,481,553,626,647,687,719,743,746,757,830,839,893,917,936,967,974
0027_00072	22,85,89,153,187,266,268,311,326,351,442,461,562,626,647,658,689,719,743,757,864,936,974,986
0027_00078	20,36,58,63,77,94,107,153,154,207,241,295,311,366,401,481,508,516,559,626,649,654,727,739,748,802,948
0027_00087	67,77,85,89,132,134,137,139,145,153,159,168,197,209,212,245,304,311,315,317,319,326,351,387,390,401,405,422,436,442,461,479,486,508,524,544,582,614,626,631,662,699,704,710,719,743,783,787,804,836,866,936,968,974
0027_00088	57,67,76,77,89,109,132,134,137,139,145,153,159,168,173,177,197,209,212,245,266,304,315,317,319,347,351,387,401,405,422,436,442,461,479,486,508,524,544,555,582,588,614,626,631,662,692,699,704,719,743,763,783,787,804,836,866,874,936,954,968,974,980,997
0027_00092	20,39,49,94,107,141,153,171,207,266,481,508,527,545,626,727,776,789,802,948
0027_00097	20,94,107,141,153,188,206,207,217,231,310,363,423,481,508,581,626,727,776,789,881,915,948,992,1015
0027_00100	19,56,65,89,134,139,153,155,159,167,172,197,212,244,319,351,387,401,405,422,436,442,461,481,486,524,525,558,566,580,621,625,626,629,653,658,678,690,711,719,728,755,783,785,791,881,887,915,935,936,948,960,968,974,975,990,1015,1017
0027_00102	20,21,22,56,88,94,107,117,134,153,195,207,270,272,298,360,366,387,388,395,405,414,468,479,508,516,530,554,611,626,633,655,662,727,739,757,762,787,806,829,850,866,948,950,960,968,989
0027_00103	20,45,56,94,97,107,153,207,231,261,367,480,508,516,530,626,647,655,727,734,739,752,762,797,893,896,948,960
0027_00104	20,56,62,94,96,107,134,145,153,207,230,270,421,487,508,516,550,558,588,626,647,655,727,731,739,741,762,797,820,948,950,960,968,978,989,992
0027_00106	20,37,43,56,69,94,107,153,188,207,231,278,330,337,363,387,508,516,536,581,626,655,727,811,850,881,915,948,992,996,1015
0027_00110	20,67,94,107,134,153,207,331,364,398,480,508,511,516,626,727,927,948,994,998,1021
0027_00111	77,134,153,154,207,224,226,279,326,350,353,369,381,390,412,476,481,515,539,550,626,640,647,813,836,849,867,906,968
0027_00118	20,56,62,94,96,107,113,134,145,153,207,231,244,270,341,348,366,421,425,440,465,481,487,508,516,522,530,550,588,626,655,702,727,739,807,829,833,887,893,896,901,930,940,968
0027_00119	19,20,62,94,96,107,134,141,145,153,207,230,270,421,449,481,482,487,508,528,550,558,588,626,727,747,776,789,968,989
0027_00120	20,24,94,96,107,116,134,141,145,167,171,207,366,421,481,487,508,550,594,601,626,647,727,792,968
0027_00121	20,57,94,144,153,154,223,259,280,341,355,421,480,481,508,553,596,603,626,670,692,697,704,727,780,783,880,915,916,948,954
0027_00124	15,20,32,79,89,94,199,233,237,411,438,508,626,662,677,727,772,924
0027_00125	13,15,20,32,79,89,94,128,153,155,233,237,270,347,411,443,445,480,496,508,516,626,662,727,772,855,871,924,927
0027_00127	15,20,32,45,57,79,81,89,94,111,167,233,237,264,367,411,415,429,508,524,546,594,626,645,662,673,677,690,727,772,818,822,832,924,936,949,964
0027_00132	15,20,80,89,94,134,199,201,245,264,411,429,508,554,626,662,677,727,772,842,954,1022
0027_00133	13,15,20,79,89,94,103,128,134,153,201,213,245,264,270,347,382,411,429,443,445,480,508,516,554,626,662,727,772,835,842,871,927,1022
0027_00136	19,20,51,52,56,65,69,81,89,94,107,121,134,139,141,153,155,159,172,197,206,207,212,217,231,310,319,351,363,387,401,405,417,422,436,442,461,481,486,508,524,525,540,558,566,580,621,625,626,629,653,658,678,690,701,711,719,727,728,755,776,783,789,819,887,915,935,936,960,968,974,975,990,1017
0027_00139	15,20,61,64,134,141,163,205,207,226,245,257,279,320,337,344,390,405,481,483,506,508,565,582,588,605,611,613,615,626,631,649,651,662,727,774,778,782,802,834,860,887,889,910,922,948,1018,1019
0027_00140	20,94,107,141,153,207,326,455,481,508,576,626,727,776,789,963
0027_00146	20,94,107,141,207,228,365,390,481,500,508,626,715,727,802,948,952
0027_00147	15,31,85,89,127,134,139,153,185,220,245,283,301,303,311,314,326,340,379,413,430,442,461,477,506,508,524,533,569,575,582,626,638,649,662,671,675,742,806,814,824,874,918,936,948,964,968,974,980
0027_00150	19,20,58,64,94,96,107,134,141,153,207,214,269,272,372,383,389,407,479,481,487,503,508,550,603,615,626,654,662,714,727,762,776,778,786,789,797,812,893,896,968,989
0027_00152	19,20,40,94,107,134,141,153,207,270,281,481,482,508,528,550,558,620,626,640,676,727,733,747,776,789,819,947,968,970,989
0027_00155	57,76,89,109,134,139,153,159,167,169,173,177,197,212,227,236,245,266,277,285,347,351,361,387,401,434,442,452,461,506,508,524,555,569,588,626,630,657,662,692,719,743,763,766,806,874,936,952,954,968,974,980,997
0027_00158	85,89,96,103,125,132,134,139,153,159,164,197,212,223,245,307,311,319,326,337,351,368,387,388,390,401,405,422,442,461,506,508,524,582,585,626,631,645,662,696,710,719,727,731,743,783,848,867,936,968,974,981,990,1007
0027_00172	1,20,94,96,128,134,141,145,153,215,270,276,304,398,416,421,469,480,487,491,508,515,516,550,551,555,626,727,741,825,829,850,871,911,927,968,988,1010
0027_00175	15,20,26,39,60,71,76,85,87,89,94,120,153,163,170,182,207,215,222,223,231,252,261,285,290,316,370,391,398,401,424,437,480,491,499,503,508,530,580,594,602,609,614,626,664,690,697,710,726,727,752,758,759,772,801,802,818,860,909,915,936,948,964,967,972,976
0027_00183	5,15,20,26,35,39,49,60,64,76,85,87,89,94,118,120,152,153,163,170,180,182,207,222,228,231,252,261,281,285,290,316,326,351,368,370,391,401,408,420,424,437,480,499,508,530,552,594,602,609,626,664,690,710,726,727,752,753,758,759,772,802,818,860,936,948,949,964,976,999,1009
0027_00185	20,94,103,107,141,144,153,202,207,217,231,255,259,302,341,430,463,481,508,545,553,599,626,642,659,670,686,698,727,771,776,778,781,789,915,948
0027_00187	20,93,94,107,141,153,202,207,217,231,259,261,341,463,481,508,545,626,642,659,698,704,727,756,771,776,778,789,833,915
0027_00188	5,20,56,77,94,107,134,153,207,221,247,274,281,319,326,338,366,387,395,405,434,468,481,508,516,524,530,576,626,630,655,668,686,727,739,757,829,913,925,947,948,950,968,986,989
0027_00194	12,15,58,120,134,140,157,175,178,235,237,278,291,304,376,400,405,420,434,442,467,485,519,524,552,624,686,761,773,849,850,892,898,924,930,948,967,968,1005
0027_00195	15,20,80,89,94,134,199,201,245,264,411,429,508,554,626,662,677,727,772,842,954,1022
0027_00202	4,5,15,20,26,35,39,49,60,64,76,85,87,89,94,118,120,128,152,153,159,163,170,180,207,222,228,231,252,270,278,281,285,290,316,326,351,366,368,370,391,401,408,420,424,437,439,480,499,501,508,516,524,530,552,584,594,602,609,626,664,690,726,727,753,758,759,772,802,818,860,871,927,936,948,949,964,976,999,1009
0027_00203	20,56,94,107,134,153,207,263,480,508,511,516,564,626,647,655,672,727,739,762,797,857,948,960,981
0027_00206	20,128,138,153,171,207,224,272,280,347,387,434,497,508,511,526,575,627,654,700,727,733,762,827,833,886,919,948,993,1019
0027_00207	4,5,15,20,26,35,39,45,49,60,64,76,80,85,87,89,92,99,118,120,146,152,153,159,163,170,180,207,222,228,231,236,243,252,270,281,285,290,314,316,326,351,360,366,368,370,391,401,408,420,424,437,479,499,508,516,524,530,552,594,602,609,626,664,690,726,727,753,758,759,772,802,808,818,860,936,948,949,964,970,976,999,1009
0027_00209	85,89,134,139,153,159,167,169,197,212,227,236,245,277,285,311,326,351,361,387,390,401,434,442,452,461,506,508,524,569,626,630,657,662,710,719,743,766,806,936,952,968,974
