id	bits.on
0038_00003	15,17,39,40,73,89,134,182,231,252,328,337,353,367,387,415,444,461,465,511,515,534,540,552,564,592,606,626,640,648,667,676,698,719,726,728,750,752,759,888,936,941,947,968,1008,1019
0038_00008	20,21,94,134,141,148,177,188,226,268,304,353,369,371,381,430,469,476,508,510,515,550,551,598,626,640,712,727,735,825,850,968
0038_00010	17,43,72,83,85,89,126,134,139,142,153,168,197,200,216,220,226,229,237,239,265,277,300,311,323,326,335,336,342,347,353,361,369,381,400,438,440,442,461,476,493,507,515,521,533,550,553,557,562,616,622,626,640,665,676,677,682,703,705,719,743,765,775,936,947,948,968,970,974,983
0038_00012	3,15,17,40,73,89,129,134,182,214,226,228,231,259,288,337,353,369,371,381,394,413,415,444,461,476,494,503,511,515,534,540,550,552,564,588,594,626,640,676,750,759,888,904,936,947,951,968,1019
0038_00013	5,15,17,20,24,39,40,42,54,73,89,106,110,129,134,168,182,226,228,231,259,314,353,365,369,381,419,444,453,461,465,476,503,507,515,519,521,534,540,550,552,570,580,586,594,609,623,626,640,642,643,667,676,701,715,717,719,727,728,732,750,759,782,787,841,852,888,895,936,941,947,951,968,980,1004,1005,1015
0038_00014	15,17,20,23,40,51,73,86,89,134,151,177,182,206,211,212,227,231,322,328,337,347,353,387,396,415,444,453,461,508,511,515,534,540,552,564,579,592,602,606,626,640,648,676,727,750,752,759,761,762,888,894,897,920,941,947,968,1011,1019
0038_00016	20,72,94,134,141,177,188,261,304,469,508,510,550,551,620,626,640,676,712,720,727,733,741,763,825,850,947,968
0038_00018	4,20,94,95,134,141,148,177,188,201,226,268,304,347,353,362,469,508,510,515,549,550,551,626,640,666,705,712,727,735,778,825,850,858,931,948,968,990,999
0038_00019	15,16,17,21,30,85,89,92,134,153,195,200,216,220,226,229,245,269,278,300,311,323,326,330,335,347,353,361,369,381,419,438,442,461,476,493,500,508,515,523,529,533,550,557,562,588,591,626,640,648,661,676,683,703,719,743,748,750,759,798,811,827,872,918,935,936,947,968,970,974,996,1006
0038_00021	4,20,21,94,134,141,148,151,177,188,197,268,303,304,347,353,371,383,469,508,510,515,549,550,551,618,626,640,650,705,709,712,727,778,825,850,948,968
