id	bits.on
0058_00001	54,72,82,84,91,100,104,111,113,127,131,139,143,144,147,150,151,152,153,155,157,158,159,161,162,163,164,165
0058_00002	65,82,83,84,90,91,96,100,104,105,111,113,121,127,131,137,139,142,143,147,151,152,153,155,156,157,158,161,162,163,164,165
0058_00003	53,54,72,89,113,127,131,139,143,144,146,150,152,157,159,162,163,164,165
0058_00004	54,57,72,82,83,92,95,96,100,104,110,117,123,131,132,136,137,139,140,146,151,152,153,154,155,156,157,158,159,161,162,164,165
0058_00005	72,89,93,99,113,123,126,127,131,139,140,143,144,146,149,150,152,154,157,159,160,162,163,164,165
0058_00006	53,54,84,95,97,113,123,127,131,133,135,139,143,144,146,150,151,152,154,156,157,158,159,161,162,163,164,165
0058_00007	72,93,113,123,126,127,131,139,140,143,144,146,150,152,154,157,159,160,162,163,164,165
0058_00008	43,54,72,89,92,95,110,117,123,131,136,139,140,146,151,154,156,157,158,159,161,162,163,164,165
0058_00009	53,54,66,72,89,90,91,99,104,112,113,123,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00010	54,82,92,95,100,104,110,113,117,123,127,131,132,136,139,140,143,146,151,152,153,154,155,156,157,158,159,161,162,163,164,165
0058_00011	53,54,57,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00012	49,53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,155,157,159,162,163,164,165
0058_00013	53,54,57,62,72,89,90,98,104,105,113,125,127,131,132,137,139,140,143,144,145,146,150,152,157,159,162,163,164,165
0058_00014	49,53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,155,157,159,162,163,164,165
0058_00015	49,53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,155,157,159,162,163,164,165
0058_00016	54,65,95,97,98,105,113,121,123,125,127,131,136,137,139,143,145,146,151,152,154,156,157,159,161,162,163,164,165
0058_00017	49,53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,155,157,159,162,163,164,165
0058_00018	104,113,123,127,131,132,139,143,146,152,154,155,157,159,162,163,164,165
0058_00019	53,54,66,72,89,90,91,99,104,112,113,123,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00020	53,54,66,72,89,90,91,99,104,112,113,123,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00021	65,82,83,90,91,92,96,100,104,105,108,110,111,113,116,117,121,127,131,137,139,142,143,147,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0058_00022	53,89,113,123,127,131,139,140,143,144,146,150,152,154,157,159,162,163,164,165
0058_00023	39,40,47,48,51,54,55,58,59,60,61,64,65,67,69,73,81,82,83,88,90,91,95,96,102,104,105,106,109,112,121,124,130,131,132,136,137,139,140,144,146,147,148,150,151,153,155,156,157,159,161,162,163,164,165
0058_00024	54,72,89,93,113,126,127,131,139,143,144,146,150,152,157,159,160,162,163,164,165
0058_00025	54,57,72,89,98,105,113,123,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00026	72,89,93,113,123,126,127,131,139,140,143,144,146,149,150,152,154,157,159,160,162,163,164,165
0058_00027	54,66,72,89,90,91,99,104,112,113,123,125,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00028	54,57,72,89,98,105,113,123,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00029	53,54,57,62,72,89,90,98,105,113,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00030	53,54,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00031	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,138,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00032	53,65,72,82,83,90,91,92,93,96,97,100,104,105,108,110,111,113,116,117,121,126,127,131,137,139,142,143,144,146,147,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0058_00033	65,83,84,90,91,92,96,104,105,110,111,117,121,131,132,137,142,151,154,155,156,158,161,162,163,164,165
0058_00034	53,54,57,62,72,82,89,90,91,98,105,109,113,120,125,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00035	53,54,82,89,92,95,97,100,104,110,113,117,123,127,131,132,136,139,140,143,144,146,150,151,152,153,154,155,156,157,158,159,161,162,163,164,165
0058_00036	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00037	53,54,57,62,72,89,90,98,105,113,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00038	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00039	72,89,93,113,126,127,139,140,143,144,146,149,150,152,154,157,159,160,162,163,164,165
0058_00040	57,89,98,105,113,123,125,127,137,139,143,145,146,152,154,157,159,162,163,164,165
0058_00041	53,54,57,62,72,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,160,162,163,164,165
0058_00042	53,54,57,62,72,89,90,91,93,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,149,150,152,153,154,155,157,159,160,162,163,164,165
0058_00043	53,54,57,62,72,89,98,105,113,125,127,131,137,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00044	72,93,99,113,123,126,127,131,139,140,143,144,146,150,152,154,157,159,160,162,163,164,165
0058_00045	57,72,89,93,98,105,113,123,125,126,127,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0058_00046	54,66,72,89,90,91,99,104,112,113,123,125,126,127,131,132,136,139,140,143,144,145,146,150,152,154,157,159,162,163,164,165
0058_00047	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00048	72,93,99,113,123,126,127,131,139,140,143,144,146,150,152,154,157,159,160,162,163,164,165
0058_00049	53,54,57,62,72,89,90,91,93,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,149,150,152,153,154,155,157,159,160,162,163,164,165
0058_00050	53,54,57,62,72,82,89,90,91,93,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,149,150,152,153,154,155,157,159,160,162,163,164,165
0058_00051	53,54,57,62,72,89,98,105,113,120,123,125,126,127,131,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0058_00052	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00053	53,54,57,62,72,89,93,98,105,113,120,123,125,126,127,131,136,137,139,140,143,144,145,146,150,152,154,157,159,160,162,163,164,165
0058_00054	54,65,83,95,96,105,121,123,131,137,139,151,154,156,157,159,161,162,163,164,165
0058_00055	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00056	53,54,57,62,72,82,89,90,91,98,105,109,113,120,123,125,126,127,131,132,137,139,140,143,144,145,146,150,152,153,154,155,157,159,162,163,164,165
0058_00057	65,83,90,91,93,96,104,105,113,121,123,126,127,131,132,137,139,143,146,151,152,154,155,156,157,159,160,161,162,163,164,165
0058_00058	99,113,123,127,131,139,143,144,146,150,152,154,157,159,162,163,164,165
0058_00059	65,82,83,90,91,92,93,96,100,104,105,108,110,111,113,116,117,121,126,127,131,137,142,143,147,149,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0058_00060	57,89,98,105,113,123,125,127,137,139,143,145,146,152,154,157,159,160,162,163,164,165
0058_00061	65,82,83,90,91,96,104,105,109,121,131,132,137,139,147,151,153,155,156,157,161,162,163,164,165
0058_00062	57,89,98,105,113,123,125,127,137,139,143,145,146,152,154,157,159,162,163,164,165
