id	TAE0	TAE1	TAE2	TAE3	TAE4	TAE5	TAE6	TAE7	TAE8	TAE9	TAE10	TAE11	TAE12	TAE13	TAE14	TAE15	TAE16	TAE17	TAE18	TAE19	TAE20	TAE21	TAE22	TAE23	TAE24	TAE25	TAE26	TAE27	TAE28	TAE29	TAE30	TAE31	TAE32	TAE33	TAE34	TAE35	TAE36	TAE37	TAE38	TAE39	TAE40	TAE41	TAE42	TAE43	TAE44	TAE45	TAE46	TAE47	TAE48	TAE49	TAE50	TAE51	TAE52	TAE53	TAE54	TAE55	TAE56	TAE57	TAE58	TAE59	TAE60	TAE61	TAE62	TAE63	TAE64	TAE65	TAE66	TAE67	TAE68	TAE69	TAE70	TAE71	TAE72	TAE73	TAE74	TAE75	TAE76	TAE77	TAE78	TAE79	TAE80	TAE81	TAE82	TAE83	TAE84	TAE85	TAE86	TAE87	TAE88	TAE89	TAE90	TAE91	TAE92	TAE93	TAE94	TAE95	TAE96	TAE97	TAE98	TAE99	TAE100	TAE101	TAE102	TAE103	TAE104	TAE105	TAE106	TAE107	TAE108	TAE109	TAE110	TAE111	TAE112	TAE113	TAE114	TAE115	TAE116	TAE117	TAE118	TAE119	TAE120	TAE121	TAE122	TAE123	TAE124	TAE125	TAE126	TAE127	TAE128	TAE129	TAE130	TAE131	TAE132	TAE133	TAE134	TAE135	TAE136	TAE137	TAE138	TAE139	TAE140	TAE141	TAE142	TAE143	TAE144	TAE145	TAE146	nA	nR	nN	nD	nC	nF	nQ	nE	nG	nH	nI	nP	nL	nK	nM	nS	nT	nY	nV	nW	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0186_00093																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.666732670083697	16.000933397368144	-0.40591286670102616	0.37250757738161117	4.984520310067106	11.506853625554504	0.3333333333333333	1.3210000000000002	281.34963352704875	0	1	3.11		14	10	24	1	40	0	0	1.4862000000000002	2.2087904400000005	90.2741	0	4	2	1	2	0	0	0	4	0	0	0	0.11631150438975092	120	792	42	43.96160170501305	2.0934096050006215	8.712432190132818	5.387496337513878	3.3249358526189448	5.584962500721157		32.7	0.8		0.4444444444444444	0.1111111111111111	3.2157101917856825	3.7115422948176295	0	8.344246029174005	22.082218386260006	0	12.94860914777125	0	0	0	0.33333333333333337	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	5	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.583333333333334	5.570987654320987	2.2222222222222223	0.3333333333333333	1429.03	0.8095238095238095	323	14.560113453385565	10.202708600407233	9.328604115189385	8.766131943334218	7.830044205088942	6.862558690546755	5.280313514332237	4.069139567732079	12.388097440161179	7.416350229334205	5.979455114852691	4.925272025927261	3.8309517659380417	3.0347919809371784	2.02455558752351	1.3594615084870552	4.142079935147924	7.451227959909381	11.884079522665859	2.0151322515938253	3.1208108428296457	4.442803796471647	1.4225400993235222	0	0.5037939942388991	0	0.7996502558182947	0	0.20837690739185422	0	0	0	0	0.22451341401773972	0.6017933738908512	0	0	0	0.10267997392195433	0.24215469768622777	0	0	0	7	5	1	3	0	0	1696.737270044994	2100.040943055191	3204.370992871159	3545.812501815612	2976.002078177826	22.90891837235837	25.494821730939027	37.82691370807159	44.933474720745096	40.98937157264972	0.31162733167535966	-0.16476890090381865	-0.066634882396612	0.11483073493539522	-0.02138309684340548	1	3																														24.666932999999997	47.05306699999999																		
0186_00107																																																																																																																																																				1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																		11.69332778418179	16.01042762277484	-0.4029832251000084	0.4001289389693974	4.382608241344056	9.127626439331081	0.3	-0.14400000000000002	211.21491168492884	0	4	2.01		8	10	15	1	28	0	0	-0.3863000000000003	0.14922769000000025	57.30970000000001	0	1	1	1	1	0	0	0	1	0	0	0	0.4395397031078432	70	394	20	29.062878955482297	1.9375252636988198	12.648630932856264	10.148501516565519	2.500129416290746	4.906890595608519		92.78	0.8		0.4444444444444444	0	0.7098962112020107	1.132160889204939	0	2.94168275343288	9.440342420283834	0	3.6859940079665585	0	0	0.5436901865014462	0.6223699000246825	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.066666666666666	5.915	3.8109640831758034	0.3	574.05	0.4	204	11.422285251880869	7.040912557858761	6.232164020999808	5.027253065267058	3.0335904639463807	2.1688125717493696	1.3324085070429943	0.7858171124802384	8.30478189906232	4.385554197125553	3.156843636340049	1.9993744881160131	1.1846248641956287	0.6972535405236984	0.3493725303659336	0.16189159011161594	2.6640499899797434	2.799421857178826	3.4239197872865925	0.6618832166452322	0.6850314648656202	0.6690622276594957	1.146933186813995	0	0.3333333333333333	0	0.4129142277015653	0	0.03630852169962632	0	0	0	0	0.06804138174397717	0.18419528592042317	0	0	0	0.024056261216234408	0.03852691958159105	0	0	1	5	1	0	2	0	0	722.959286013344	800.4703177801364	1024.6377117163238	952.9044721659087	678.1837953551789	18.457856443440264	16.826641818843267	23.099384764697223	24.372218002782574	16.15900568520416	0.44852683817061756	-0.20387427752922538	-0.06250520193235017	0.06025334970829929	0.03749792071818539	3	5																														16.425690999999997	30.576309																		
0186_00119																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.664712921202067	16.00610569482021	-0.42088598528563	0.35628116698409196	4.487257622364363	11.764593553607703	0.45	0.45999999999999996	339.4321562576514	0	5	3.1100000000000003		11	12	28	1	50	0	0	0.14730000000000132	0.02169729000000039	102.83589999999997	0	4	2	1	1	0	0	1	3	0	0	0	0.19045110178510177	138	1430	45	51.71609514283065	2.068643805713226	14.45843571893394	4.992852011417408	9.46558370751652	5.807354922057604		64.6	0.8333333333333334		0.45454545454545453	0.12499999999999997	3.3619378820910892	3.626417110308338	0	7.978497854468527	23.749451993238953	0	12.358524387403039	0	0	0.19999999999999996	0	0	0	0	0	0.12499999999999997	0.447213595499958	0	0	0	0	0	0	0	2	0	4	0	1	4	3	0	0	2	2	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.367346938775512	7.552647233789411	3.3369721344441254	0.45	2209.05	0.64	485	17.551677284948287	12.117723500579766	10.93730579056206	9.923380091068381	8.565367769890189	7.284232136162562	5.3861584994357274	4.352162768792676	14.749904759726979	9.045046572906505	7.226379962268624	5.664561485927454	4.199595109152038	3.144010947775946	2.0732760290463514	1.4481776411151281	4.544953736939187	7.64053724232335	11.63354687574517	2.2487787313708782	3.279920700380103	4.412538467972935	1.6948880675979374	0	0.48165931844756926	0	0.9872085145933318	0	0.20061446868233868	0	0	0	0.09622504486493763	0.36059617750569406	0.7197074631321648	0	0	0.036084391824351615	0.14439185774223567	0.2709249509547863	0	0	2	5	4	3	4	1	0	1999.598694389761	2440.8884336410197	3640.1344221149557	3840.216008023604	3400.7772220182947	27.62887897491133	29.827457486528253	43.713282949955754	48.54364883740132	45.737175316269024	0.40261952381731053	-0.18977781847599204	-0.03782656454942547	0.0018457300349574643	0.057212974432590484	3	5																														31.588174999999993	56.77382499999998																		
0186_00128																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.69224305073736	78.91851819027202	-0.39917100288372154	0.30623872119093876	5.815843698743454	11.450181145719402	0.3125	1.5420000000000003	319.23958305621994	0	5	2.8899999999999997		6	10	20	1	38	0	0	2.6641999999999983	7.097961639999991	92.26829999999998	0	2	2	2	2	0	0	0	2	0	0	0	0.04904532013270476	92	718	25	38.155269663401846	2.008172087547466	8.586421358740646	0	6.061731999483341	5.321928094887363		15.6	0.8		0.4444444444444444	0.4999999999999999	3.6426821768550206	1.5042412372345575	0	12.970631738280169	15.084293208129944	0	2.701599969404812	0	0	0	0	0	0	0	0	0	0.19999999999999996	0	0	0	0	0	0	0	2	0	2	0	0	8	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15.39	7.6952662721893494	4.795005202913631	0.3125	1179.03	0.6842105263157895	279	13.664925939000156	9.164703797946448	8.053093735470812	5.99869142085319	4.658422694193012	3.9279476144503045	2.509697694855715	1.682591118540182	12.968754188203578	7.270082049870081	5.866366715914524	3.7108188819035592	2.4141231741232567	1.8189916822721937	1.1568645992711954	0.6495300341323623	2.0776055202997865	2.9325057816159763	4.073873946992411	1.2994640353277238	1.4437889227533003	1.7348950672840997	1.1663395218799637	0	0.13608276348795434	0	0.916377318101723	0	0.060373004706725075	0	0	0	0	0.1853954059492991	0.19037142086468112	0	0	0	0.052622977527775436	0.08493636280021888	0	0	1	9	1	1	1	1	0	1366.9893820958139	1536.408472903206	1997.855806247787	1974.6490311510624	1754.0521471773068	62.97805139386836	26.48358512704682	37.97007865501095	36.97007865501095	29.483585127046823	0.19019949371434677	-0.10330030796735312	-0.0019190275549628264	-0.0024103469098848674	-0.006114799211051376	0	2																														25.360932999999996	46.07906699999999																		
0186_00163																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.702208642372943	19.000138875770975	-0.4159769613786996	0.3624869099196299	4.966685440170789	13.095348589129186	0.7272727272727273	1.9529999999999994	376.46249452056145	0	1	3.33		6	12	30	0	56	0	0	2.032899999999998	4.132682409999991	101.0169	0	4	0	1	0	0	0	1	3	0	0	0	0.19829614813018231	164	1489	67	54.543571733910504	2.0201322864411297	12.625508398190217	10.027574511470918	0	5.906890595608519		74.6	0.8333333333333334		0.45454545454545453	1.040041911525952	6.442121787423523	7.408032608192628	4.819481748789487	5.686159072265292	16.031699175632017	9.772097029029316	6.336587838972707	10.697608957322126	2.406851949670727	0.9361865080333409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	0	4	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.28	6.009615384615385	2.2825788751714677	0.7272727272727273	2779.05	0.6296296296296297	476	19.991199352633217	12.415191890615725	13.245654729973333	12.556256918803554	10.124820797844524	8.371341216847709	6.39416372850995	4.47086479276071	16.458767254010443	9.972554170122413	9.7480429611491	8.703149566825616	7.183175850174491	5.361109317347032	4.054083536334424	2.6882313814381495	11.319838049497143	19.015449551985302	32.09227361713323	6.5553646458752315	11.100162000067812	16.650023824695655	3.791306641330982	0.38951955118123066	2.729214884197297	0.9167942922217471	2.455534972304141	0.24525636643420934	1.2760100706910427	0.36134934585140194	0	0	0.07216878364870323	0.40566888378157884	1.1419597756659576	0	0	0.07216878364870323	0.32076547430376195	0.7671604475483245	0	0	0	5	1	4	5	5	2	2488.119180040427	3193.7653398526313	5358.441042240842	6273.579701236906	5365.78586628333	31.599920281206433	31.91015302005541	56.73418312876853	76.35736668689302	68.89030521461422	0.5061089841774425	-0.10381121596373333	-0.19785324844655428	0.1435034011182593	-0.0037351832961692276	2	4																														34.822002999999995	61.82199699999999																		
0186_00176																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.773940283761993	34.96938051439146	-0.4196326802068327	0.43534890621439654	4.323026361043905	10.250834261564885	0.5	-1.4209999999999998	301.686721337431	0	2	1.46	5	10	10	22	0	32	0	0	-1.7341	3.00710281	67.89110000000001	0	3	2	2	1	0	0	2	1	0	0	0	0.4526041454824028	110	753	34	40.589645655260895	2.0294822827630448	28.46236737420715	10.636304543578172	15.28573552831716	5.459431618637297		136.26000000000002	0.8		0.4444444444444444	0	0	0	0	0.19999999999999996	4.9973364337250334	0	10.051997297324872	0	0	0.7663094323935531	1.0000000000000002	0	0	1.040041911525952	0.25	1.1447142425533319	1.1905507889761497	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.917355371900827	5.652892561983471	2.4934359438660025	0.5	776.1	0.7	305	14.43879310982592	9.524075805453153	8.908892550817843	8.010306681374603	6.7897999324627385	4.965651242484602	3.7153389297205344	2.418735449925869	10.843845274315557	6.184137656616067	4.768849774751404	3.381442370499655	2.377908877859928	1.430251152311741	0.8352484807660072	0.44386249632369357	4.269728465242959	7.1231014971220725	9.695478771342973	1.3600626508632656	1.8300485364355954	2.003173556888384	1.6202752950685635	0	0.5487952876394917	0	0.6875920630017764	0	0.12262987850565153	0	0	0	0.17479246499677625	0.49275936539252807	0.9248890710048332	0	0	0.07422843462213273	0.14944344478376304	0.19893190553260023	0	0	2	1	0	2	3	0	0	1223.2293430007744	1485.0824687671206	2201.642975881462	2090.524010111282	1790.0105684210855	32.61072755639497	27.274049856905368	43.697995332706554	46.455373049716314	43.34081201309678	0.8155192764344702	-0.4116949863940534	-0.03306553689488774	-0.002632183489766923	0.09511332194270826	4	9																														20.734484000000002	36.489515999999995																		
0186_00196																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.773940575825586	34.96938046057892	-0.41996591061078514	0.43476140266782803	4.29353274270794	10.164022355866052	0.5	-0.8200000000000001	285.68731640986164	0	2	1.57	5	10	10	21	0	31	0	0	-0.9677999999999993	0.9366368399999987	66.38040000000001	0	3	2	2	1	0	0	2	1	0	0	0	0.4070330212172439	104	671	30	38.731111439379255	2.0384795494410133	25.92328565166935	8.095915496313642	15.287008010962758	5.392317422778761		116.03	0.8		0.4444444444444444	0	0	0	0	0.8434326653017493	7.084578333008132	0	7.266154931959825	0	0	0.25	0.6666666666666667	0	0	1.040041911525952	0.25	1.1447142425533319	1.1905507889761497	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.959183673469388	5.4131113423517165	2.492157923201731	0.5	747.09	0.7368421052631579	292	13.568549621822841	9.096555450524587	8.499870227477926	7.327457551875731	6.448262565330153	4.590217471329253	3.524737058683786	2.280357314349526	10.526388190812519	6.075768681129967	4.654801596931564	3.2844934783309796	2.3428204328602664	1.3943726153859828	0.8461243778855336	0.44262033425067915	3.590462664917381	6.028784184162792	7.78564259473234	1.2179774197301378	1.6379106982661469	1.734963473846532	1.501661279183041	0	0.3932286679177839	0	0.6345462624809228	0	0.09422636840201226	0	0	0	0.19245008972987526	0.4545300305751142	0.8080834211683882	0	0	0.08442306901503684	0.14548447744968	0.18522800192640593	0	0	2	1	0	2	3	0	0	1164.719989151867	1403.5945797170707	2053.7559134731973	1876.982383394608	1617.2533622002902	30.836258520854024	25.941957879772815	41.033811378441435	40.020881404435244	39.34453608169909	0.7012645513952062	-0.4162295295671771	0.11554235036995206	-0.17543159778801287	0.2656972185010727	3	8																														20.734484000000002	35.687516																		
0186_00211																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.690743502592214	16.00616033529625	-0.4175246325884788	0.35201359036302193	5.542221706287057	13.695203991559199	0.5714285714285714	-0.14999999999999988	334.41236668592603	0	0	3.33		9	9	31	1	47	0	0	0.3836000000000034	0.1471489600000026	98.5569	0	7	1	1	1	0	0	2	4	1	0	0	0.09809433408391563	164	1096	63	54.78305342782388	2.191322137112955	13.026917796295926	5.777121819902736	7.249795976393264	5.954196310386876		32.78	1		0.5	0	0	0	0	14.05497118266321	30.163595036039776	3.9139809592465835	14.499870860027034	4.585756412345815	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	6	0	1	4	5	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.984391259105099	4.881199538638985	1.607750865051903	0.5714285714285714	2209.04	0.96	381	16.33613433532446	12.287660258669833	12.052217239058981	11.918851065159217	11.885331935401993	11.37304587342868	9.983465415226044	8.665058110132616	14.227067150943189	9.750272588454369	8.776861486817765	8.217025270096022	7.508218067827949	6.600815169703775	5.307872640379185	4.242753763028556	6.171218026896279	12.789570055492575	22.639642376517095	4.125776614308912	7.822800247238557	12.541651322617874	2.0117957503123116	0.06804138174397717	0.8457342621465122	0.07823601613688128	1.4090871131347629	0.05892556509887897	0.5216703128582059	0.050858760734747155	0	0	0.1388888888888889	0.6516858702428509	1.472134632444024	0	0	0.09682458365518541	0.40908287529069454	0.8480493215469449	0	0	1	6	2	3	6	2	1	2597.8395432663274	3440.768311087479	5833.878707792969	6889.68373174768	6238.483623046874	27.26889867363485	32.99336753048037	54.37746690422087	66.98646317173237	67.34201023925553	0.45307446573445165	-0.23718266058490156	0.036311759668059045	-0.1265257195073041	0.18195909641734598	0	4																														30.884553999999994	55.433445999999975																		
0186_00212																																																																																																																																																				1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																		11.823812001627541	16.01183090901075	-0.38176669570868393	0.3992022844633793	3.7127098764661315	7.695132919560972	0.6	-3.349	147.1294691856857	0	4	1.4599999999999997	5	2	7	9	1	19	0	0	-0.9239	0.8535912100000002	31.362399999999997	2	0	0	0	0	0	0	0	0	0	0	0	0.6842423615919814	40	136	9	18.323746587069913	1.8323746587069913	11.931914607483428	9.4826705577604	2.4492440497230215	4.169925001442312		100.61999999999999	1		0.5	0	0	0	0	1	3.5327755290014426	0	1.3103706971044482	0	0	1.4422495703074083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4.760330578512397	5.530864197530864	0.6	234.05	0	85	8.146264369941973	4.536581260209188	4.192497939355983	2.3374299245754706	0.9295583781982709	0.7182335127930839	0.3849001794597505	0	5.279837872679989	2.739272034949104	1.8771444181011463	0.9864046799972659	0.40245269205337497	0.19476377803265432	0.05281420117259434	0	1.4957819157813605	0.7628917115316042	0.9106836025229592	0.29749086049154466	0.1656597848331247	0.1280698353042308	0.9772838841927123	0	0.23570226039551587	0	0.23510548030402117	0	0.02151657414559676	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	322.7812026367189	327.33382766406265	360.96697011474623	285.6737845107423	181.75422596289067	13.457856443440265	10.494549841710704	14.209669845973043	11.601473035843936	7.494549841710706	0.43284161574390567	-0.1766778309632543	-0.03838161399624096	0.0911331388872398	-0.056905650163098995	3	5																														11.094862999999998	19.109137																		
0186_00225																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.675461391518917	16.018906055459144	-0.424433669345264	0.5005925104983993	4.120585304919945	11.80958751398442	0.5142857142857142	2.8680000000000003	666.716128665598	3	13	3.880000000000001		15	24	53	1	90	0	0	0.978899999999998	0.9582452099999961	181.24040000000005	0	6	3	2	2	0	0	1	5	0	0	0	0.21060250942780748	260	9010	91	98.71790011869922	2.056622919139567	37.46525589096356	30.626195447210332	6.839060443753372	6.7279204545632		140.32	0.9166666666666666		0.4782608695652174	1.282951613303941	7.323130192168928	13.698200647215725	0	9.029169975939938	36.84952660557124	0	30.003195797562324	0	0	0.3334858886559278	3.7933018781236685	3.811755723452705	0	0	0	0	0.33333333333333337	0	0	0	0	0	0	0	6	0	6	0	0	5	6	0	0	3	7	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.74724101103595	16.773823579018384	7.72826880934989	0.5142857142857142	6769.13	0.6041666666666666	1769	34.11179073833383	23.23897696100966	20.57659248708232	18.56176890656096	16.12548716140082	14.028521260784702	10.92849539630709	8.568455395332917	28.031438438807626	16.09266076375118	12.272802507667016	10.00378874870391	7.892048071352478	6.2427659406001546	4.388636429269791	3.169793104742006	8.5286633170634	14.681773015764346	22.726929723882968	3.8790230244036263	6.1328541084577495	8.53345165926711	3.1945609228112337	0	0.8620553497854289	0	1.5431049379560466	0	0.34699835988462285	0	0	0	0.07856742013183861	0.49209655740261343	1.1155504602904303	0	0	0.03125	0.24178219987041485	0.5042276608348016	0	0	2	11	3	4	6	3	0	3480.615531860298	4266.436105598133	6434.647676713834	7268.999098055922	7025.791461269453	57.239119993503365	60.14065723142093	87.84736425440184	103.81314432274164	109.82954336877273	1.7298360011634042	-1.1213981568703415	0.311236333450203	0.13635296764182794	-0.625013616250795	1	13																														66.75669399999998	100.62730600000002																		
