id	TAE0	TAE1	TAE2	TAE3	TAE4	TAE5	TAE6	TAE7	TAE8	TAE9	TAE10	TAE11	TAE12	TAE13	TAE14	TAE15	TAE16	TAE17	TAE18	TAE19	TAE20	TAE21	TAE22	TAE23	TAE24	TAE25	TAE26	TAE27	TAE28	TAE29	TAE30	TAE31	TAE32	TAE33	TAE34	TAE35	TAE36	TAE37	TAE38	TAE39	TAE40	TAE41	TAE42	TAE43	TAE44	TAE45	TAE46	TAE47	TAE48	TAE49	TAE50	TAE51	TAE52	TAE53	TAE54	TAE55	TAE56	TAE57	TAE58	TAE59	TAE60	TAE61	TAE62	TAE63	TAE64	TAE65	TAE66	TAE67	TAE68	TAE69	TAE70	TAE71	TAE72	TAE73	TAE74	TAE75	TAE76	TAE77	TAE78	TAE79	TAE80	TAE81	TAE82	TAE83	TAE84	TAE85	TAE86	TAE87	TAE88	TAE89	TAE90	TAE91	TAE92	TAE93	TAE94	TAE95	TAE96	TAE97	TAE98	TAE99	TAE100	TAE101	TAE102	TAE103	TAE104	TAE105	TAE106	TAE107	TAE108	TAE109	TAE110	TAE111	TAE112	TAE113	TAE114	TAE115	TAE116	TAE117	TAE118	TAE119	TAE120	TAE121	TAE122	TAE123	TAE124	TAE125	TAE126	TAE127	TAE128	TAE129	TAE130	TAE131	TAE132	TAE133	TAE134	TAE135	TAE136	TAE137	TAE138	TAE139	TAE140	TAE141	TAE142	TAE143	TAE144	TAE145	TAE146	nA	nR	nN	nD	nC	nF	nQ	nE	nG	nH	nI	nP	nL	nK	nM	nS	nT	nY	nV	nW	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
0212_00001																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.715793436174687	16.00595012506537	-0.38806781971385784	0.3214933210036557	4.799658790413628	12.674447496113382	0.8888888888888888	10.511000000000005	384.63866730918	1	5	4.319999999999999		4	16	31	0	72	0	0	7.471599999999998	55.82480655999997	119.6402	0	4	0	1	0	0	0	1	3	0	0	0	0.044413890835232187	158	2022	54	57.21672998663424	2.0434546423797944	2.542453159212177	2.542453159212177	0	5.954196310386876		17.07	0.875		0.4666666666666667	1.546971742764065	11.005422149571372	8.103990710279186	2.2422597680429632	15.301585299105966	26.130140520999575	7.461302673673635	6.999128773059463	5.731361986286214	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	1	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.240374609781476	7.921875	3.6548442906574397	0.8888888888888888	4869.01	0.6071428571428571	669	20.104083527755577	13.253691300962933	13.066853663868686	11.129123522725788	9.497038145488547	7.690964085574958	5.939076381857318	4.472166647443197	19.227874767843268	12.493253930931145	11.999243127653436	10.163192560261034	8.583856813418576	6.58972230955231	5.133299651681726	3.8079786289513913	6.9301278772329935	11.918316183245468	18.084244169982984	6.265085855809761	10.77323031994406	15.68636951532182	2.9521315814894016	0.23570226039551587	1.022341061775787	0.2032631323962854	2.639048678660134	0.2199132028137237	0.9352194337309576	0.17955837819827095	0	0	0.08333333333333333	0.3936345532609666	0.9760469218395454	0	0	0.08333333333333333	0.3643475242206371	0.8504254500613305	0	0	0	2	1	5	11	6	2	2569.8622141948244	3156.0593645584595	4888.92802140655	5291.774319473786	4581.677051939328	28.774469035540946	31.332091977132563	48.66418395426513	54.66418395426513	49.66418395426513	0.12393470798387528	-0.03482573688578672	-0.030530963831525794	0.014003544781542405	-0.007278538010807593	0	1																														49.05910799999999	77.66089199999996																		
0212_00004																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.73465355807914	16.00978826159633	-0.3771642222075259	0.40632540841403775	3.9485246467972677	7.512814785349077	0.4	0.9170000000000001	100.11601536968513	0	1	1.7899999999999998	4	5	5	6	0	15	0	0	1.3164000000000005	1.7329089600000012	27.322	1	0	0	0	0	0	0	0	0	0	0	0	0.3728045402199026	26	46	6	12.50524285868248	1.7864632655260686	4.696735558102678	4.696735558102678	0	3.584962500721156		37.3	1		0.5	0.33333333333333337	1.4142135623730951	2.1491398636470835	0	0	1.4142135623730951	0	1	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3.061224489795918	2.6666666666666665	0.4	154.02	0	36	5.8618073195657985	3.1807392125526213	2.6295491105128677	1.782021738317077	0.47140452079103173	0	0	0	4.432812155153447	2.0437563467663495	1.2768404008955154	0.7703534609188439	0.12347528753566925	0	0	0	1.2761423749153968	0.7071067811865476	0.23570226039551587	0.339808715126576	0.14982760137040574	0.026352313834736494	0.5690355937288492	0	0.23570226039551587	0	0.1899811137561703	0	0.026352313834736494	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	234.44433279296882	224.77765852343757	234.10125650390628	168.05000178906255	44.9934938359375	8.548938071081892	6.66418395426513	8.438652989806076	7.328367908530261	2.66418395426513	0.19405763937311596	-0.11617627762692216	0.025430400329443745	0.006054516028164489	-0.012337458417244042	1	2																														9.703656	15.738343999999998																		
0212_00005																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.732051820123132	16.01029927268871	-0.41969287198608296	0.3790723383787634	4.143642873082566	8.142234797703795	0.6086956521739131	7.289000000000008	378.54629398178145	2	18	3.55	20	3	24	26	0	65	0	0	5.6149	31.527102009999997	116.9779	0	0	0	0	0	0	0	0	0	0	0	0	0.17648442341235598	106	3074	27	52.482879224077216	1.9438103416324894	10.329354891970624	10.329354891970624	0	5.700439718141093		66.76	0.9166666666666666		0.4782608695652174	0	2.379417637977518	0.10012523486435178	0	33.58760474953085	5.381682068656719	0	0.4999999999999999	0	0	0.646330407009565	1.1447142425533319	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	22.290809327846365	20.54320987654321	0.6086956521739131	3394.04	0	921	20.003942943296753	13.239912065068586	9.468925344717414	6.690879614426718	4.526568205834415	2.969274001554824	1.7755031736564975	1.1929703341107452	16.89235756887285	10.252882492644838	6.457751743044284	3.914581713193047	2.3022829607965223	1.3252573323039996	0.7732313684859087	0.4641550921281554	0.8968902325602192	1.1389018270492188	1.1323921585058765	0.24002217797648018	0.24362934779006837	0.19481545764560093	0.49279927982674443	0	0	0	0.1767766952966369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	3	11	0	0	1357.426095293875	1358.8836075770812	1386.9331324925008	1350.2860344063456	1289.0955016392022	30.097876142163784	27.660459885662817	29.767020898336327	30.20939795674471	28.767020898336327	0.4817593354262838	-0.20007797151452889	-0.09060220020964035	0.12829966656295805	-0.1693384073976957	2	4																														44.415865999999994	69.02613399999996																		
0212_00006																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.691672160577893	16.009796311749405	-0.3771832564172247	0.40312004723675243	3.987187022913487	11.458521730787826	0.45	6.254000000000002	300.43586889802083	1	5	3.44		13	14	22	0	50	0	0	5.525600000000001	30.532255360000008	97.8659	1	1	0	1	0	0	0	0	1	0	0	0	0.12424680356867181	104	1278	29	42.65858836428137	1.9390267438309714	4.75309567651667	4.75309567651667	0	5.459431618637297		37.3	0.8571428571428571		0.46153846153846156	1.730710792983147	9.87469715170731	5.823086120115831	1.8745768552368245	9.384687130379191	12.520522517770377	2.6137779973823907	2.257951961765231	1.373200679132647	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	6	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.045454545454547	9.333333333333334	7.421875	0.45	2038.02	0.2727272727272727	453	16.75071237662706	10.220051237716591	9.812733147813491	6.409327732734475	5.05748502400909	2.823927752561163	2.2721298894391997	0.9720556844564577	14.44088384466122	7.866888531737336	6.761167950956583	4.1247383455051585	2.8752336376682543	1.4991665128134748	1.1008901431875133	0.3456456548068285	3.503322558366082	5.43234850233677	5.777677462364718	2.224284700081884	3.1621400577997516	3.2927731379409373	2.389628765898712	0.20412414523193154	0.3678511301977579	0.08333333333333333	1.5920902211346941	0.17677669529663687	0.2252618925726519	0.051031036307982884	0	0	0	0.05892556509887897	0.21844336196330358	0	0	0	0.044194173824159216	0.1580980396264691	0	0	1	6	4	5	3	0	1	1535.139770518878	1697.0135083031143	2213.907480663242	2123.6798979046675	1748.4422071985223	23.548938071081892	22.664183954265127	31.438652989806073	29.664183954265127	27.328367908530254	0.20404886751668824	-0.11117166871148741	0.004614652747266767	0.016038223119053695	-0.011282098729167947	1	2																														31.567795999999998	55.47420399999998																		
0212_00010																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.750748918920744	16.00596069163615	-0.3805782421106719	0.3271445804337819	4.012070694319609	7.956068869810037	0.8333333333333334	7.464000000000003	281.47728066069203	2	15	3.2199999999999998	18	2	19	19	0	55	0	0	6.233199999999999	38.85278223999999	89.2244	0	0	0	0	0	0	0	0	0	0	0	0	0.15319697900440934	76	1313	17	38.661554132305774	1.9330777066152887	4.764172033029732	2.382086016514866	2.382086016514866	5.247927513443585		43.09	1		0.5	0	2.352779665665871	0.058823529411764705	0	27.408212328519852	2.352779665665871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	17.05263157894737	19.058823529411764	0.8333333333333334	2536.02	0	521	14.891058768174391	9.770055610029663	7.132269453018	4.385027805014831	2.923906201320913	1.9425139025074156	1.2851764053638195	0.8462569512537077	13.53979403464441	8.703289365867624	5.8006015386404925	3.684978016267146	2.369970683430335	1.5091556748002397	0.9492830813196517	0.5879111707334531	0.2886751345948129	0.20412414523193154	0.14433756729740646	0.05892556509887897	0.041666666666666664	0.029462782549439483	0.4082482904638631	0	0	0	0.08333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	14	0	0	998.547953666937	979.7185941934702	960.1181326701746	889.7685669255227	835.1563983591843	21.134449336817426	19.49827391031301	20.051735507379625	17.49827391031301	16.49827391031301	0.1498785615197557	-0.06097241960435601	-0.011291707306523303	-0.0027530772471642574	1.3791220869345384e-4	1	2																														38.56024499999999	56.91975499999997																		
0212_00011																																																																																																																																																				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																		11.742412335506518	16.010850347155774	-0.4216790621965276	0.39348251119701727	3.7004522482141717	12.892586381148067	0.9230769230769231	2.761999999999999	449.6243135758797	0	7	3.66		3	18	35	0	75	0	0	3.329999999999997	11.08889999999998	122.14930000000001	1	4	0	1	0	0	0	1	3	0	0	0	0.23782915856615552	178	2994	62	64.86984904421222	2.0271827826316318	15.299729400055986	12.382054410424566	2.917674989631408	6.129283016944966		106.86000000000001	0.8888888888888888		0.47058823529411764	0.520020955762976	6.914261244066491	7.071603489026241	2.112473971090738	11.62197712127216	27.288582683412933	6.309325153056222	10.340033067333101	6.723843446732312	0.25	1.2036601357763532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	8	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.103673469387754	9.567901234567902	4.518698060941828	0.9230769230769231	5092.06	0.53125	864	23.25878406613483	15.068258454735316	14.854103740949894	12.618887302362095	10.285056875635247	8.973602191609677	6.236780421726571	4.763282962630572	20.05511411399663	12.915675276883581	12.072930036944543	10.766788112160008	8.982696104090643	7.277301033085018	5.345041425165438	4.088382626429226	8.059690800743116	13.251560949816765	21.64394067224456	6.746405598481372	11.603056533119405	17.871137900388256	3.348389818852796	0.21407617506269555	1.2778431760034685	0.25364688940716357	2.5157721578439776	0.21407617506269555	1.109937820175431	0.21603453863569563	0	0	0.08333333333333333	0.3739926982280069	1.001671947753726	0	0	0.08333333333333333	0.3739926982280069	0.9207872473599497	0	0	2	0	0	4	12	6	2	2692.8333916856495	3331.6049674827686	5204.40246715531	5779.211456253586	5129.8794949490475	36.23232547898121	36.99282375202371	57.9849383388964	65.92984094437418	61.819193681638644	0.5387653860641581	-0.22228187385433157	-0.060788801071419235	0.08934443046671868	-0.1456237779548814	4	6																														49.58390099999999	79.54209899999996																		
0212_00014																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.750595715303934	16.00628699997071	-0.4208928540854472	0.3286910345414378	4.2398398526313805	9.103104921190186	0.85	6.294	341.52932532470993	2	17	3.22	18	3	20	23	0	63	0	0	4.845899999999994	23.48274680999994	101.3358	0	0	0	0	0	0	0	0	0	0	0	0	0.20381314922157026	96	2038	25	46.31971868502392	1.9299882785426634	10.255279448283805	7.3571012412789765	2.8981782070048228	5.523561956057013		69.56	0.9		0.47368421052631576	0.05263157894736841	3.7195153324041095	0.9825931938526898	0	24.20292801121198	6.568704167656659	0	1.6509636244473134	0	0	0.646330407009565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	17.8112	16.2624	0.85	3292.04	0	678	18.04575930655364	11.612590865130759	8.806476762269385	5.866288537147031	4.126624318479964	2.782017797190861	1.45064295200161	0.9632594684408098	15.804464713647405	9.840829297705016	6.732544920657262	4.305211923217213	2.796280908525754	1.7460697875301716	1.0549162488034853	0.6834384331128196	1.2831117687915448	1.7399872236809844	2.1041223306435604	0.4448833770168884	0.4825286329590262	0.4367515275976921	0.8106172175260457	0	0.11785113019775793	0	0.30597949939611074	0	0.03042903097250923	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	14	0	0	1239.9005014689394	1262.4635227896836	1349.7751441796006	1325.5648796575774	1250.9001109980445	26.683387407899318	24.328639797758584	27.38037530513821	27.60147303584393	27.933202831516773	0.35916739819684074	-0.12817508432249902	-0.05640971572329861	0.05098063136733931	-0.12691332669062283	3	4																														44.25307299999999	64.71092699999997																		
0212_00015																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.816924723783302	16.00768181773724	-0.4209053281035669	0.3348216602546472	4.239279052819549	9.085926023811508	0.875	-1.4880000000000004	221.2081312541432	0	3	1.5699999999999998	6	3	9	15	0	30	0	0	-2.7816	7.73729856	47.0247	0	1	0	1	0	0	0	0	1	0	0	0	0.5393732588896643	72	354	23	28.937631205531154	1.929175413702077	18.3826078576141	15.44810790729966	2.9344999503144558	4.906890595608519		119.25000000000001	1		0.5	0	0.14285714285714285	1.7854903269264255	0	0	2.1822472719434427	0	7.274116621114382	0	0	2.0618959726635016	1.540669567683089	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.066666666666666	5.365079365079365	2.9822485207100593	0.875	690.07	0.4	169	11.585421958697399	6.968432912787327	6.392951324264794	4.921644573470965	3.7341483565838325	2.8629128332197897	1.3544950018501143	0.7181407595303831	8.199209090062237	4.546609859673294	3.455164038868239	2.270069222088458	1.4876662495711264	0.91105573467744	0.40525632455310673	0.16960316684406412	2.8523250924627694	4.31014519842861	6.46914434472814	0.9509017883683113	1.1779210841693042	1.3597955678400402	1.3316001604737504	0	0.38212862097282496	0	0.5275028174556337	0	0.0894808309453752	0	0	0	0	0.045360921162651446	0.20023279339791278	0	0	0	0.026189140043946204	0.06674950698680694	0	0	1	0	0	3	4	0	0	691.8065671499485	790.4895187535099	1074.430932589066	1080.723126418824	799.7007935785523	20.006794514522156	17.657007706288837	26.14739620347454	30.138801625196205	26.696062385328105	0.7264112105216382	-0.2409587553387326	-0.17748485486696963	0.173280230312295	-0.3053552219114812	5	7																														19.932105000000004	29.99389499999999																		
0212_00022																																																																																																																																																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		11.773941865054635	16.001172922416256	-0.4199822024648812	0.4206048946433536	4.285868864574056	9.828600374382988	0.5	-1.7660000000000002	251.24231958550342	0	2	1.6800000000000002	5	10	10	20	0	31	0	0	-2.0407	4.164456490000001	61.59540000000001	0	3	2	2	1	0	0	2	1	0	0	0	0.46208343310623184	98	582	28	36.886943432159995	2.0492746351199997	23.42975225939464	8.095966361715844	15.333785897678826	5.321928094887363		116.03	0.8		0.4444444444444444	0	0	0	0	1.3961363206919677	8.352538003161289	0	5.580164617280154	0	0	0.25	0.6666666666666667	0	0	1.040041911525952	0.25	1.1447142425533319	1.1905507889761497	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.005	5.174791914387634	2.2843545508625818	0.5	783.08	0.7777777777777778	275	12.698306133819763	8.702708600407234	7.854197650947253	7.075692571950665	6.046124964565078	4.331928392218101	3.164127501008706	2.2008612686938474	9.469845040974462	5.578006155610488	4.197771189929562	3.081434205481107	2.1310023773464413	1.2477188191143023	0.7233357204210535	0.3995552458259313	3.3053708594958593	5.41878117573166	6.787294651484482	1.1134485296934522	1.4531047230968202	1.4611750908306504	1.2129861445882282	0	0.3932286679177839	0	0.5211569205781547	0	0.09422636840201226	0	0	0	0.19245008972987526	0.4670158567635358	0.7898800116452932	0	0	0.08442306901503684	0.14741823417942063	0.17489898143820232	0	0	2	1	0	2	3	0	0	1030.3968439751968	1240.7827085727156	1803.1483251240884	1606.9986071973642	1336.314754311569	22.123308613005243	22.99018724033472	34.14920819723105	34.11734012555906	29.508162261050604	0.6770138179157865	-0.38023618568323025	0.06714523885812147	-0.14315178295784567	0.2533796405360681	3	8																														21.407691	34.17430900000001																		
0212_00023																																																																																																																																																				1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0																		11.818548384527425	16.010312938456092	-0.3813170001661713	0.3977507580108117	3.9673561520284535	7.91468059924675	0.75	-2.673	188.22456043229687	0	7	1.7899999999999998	6	3	10	12	1	29	0	0	-0.6584000000000005	0.4334905600000007	47.327600000000004	1	0	0	0	0	0	0	0	0	0	0	0	0.4912923651122511	52	320	12	24.320438371339037	1.8708029516414644	12.460119930377441	7.12273988905282	5.33738004132462	4.584962500721156		92.42	0.8		0.4444444444444444	0	0.9182995386645731	0.7841369378620653	0	3.965406456500188	4.146039495461224	0	0.8630543739971821	0	0	0.5503212081491045	0	0	0	0.16666666666666669	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7.408163265306122	8.333333333333334	0.75	628.05	0	171	10.267584713501616	6.036581260209189	5.2531581111358046	3.0790115483726663	1.5290087291183359	0.956172440853	0.5907040147123219	0.3286485163663834	7.746837839553127	4.2656652371991255	2.923475569208875	1.6330479606828125	0.8771454416031007	0.5019538532288403	0.26358861223719593	0.1205601342284978	1.4957819157813605	0.8219752754296894	0.7478909578906803	0.3240160976814841	0.20759740573858343	0.16200804884074205	0.9772838841927123	0	0.23570226039551587	0	0.2726178304831967	0	0.02151657414559676	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	4	0	0	520.0741398823853	523.1332108341066	560.5530212984849	480.48507131385816	377.2075509451905	16.043367709175797	13.494821730939028	16.988934296727038	14.435562991891814	10.328639797758584	0.41265677899363495	-0.18108330899865918	-0.04408838032444075	0.030851628090549026	0.012310391713462548	3	5																														19.407311999999997	29.354688000000003																		
