id	name	formula	rt	smiles.std	status
0329_00064	Decanoyl-L-carnitine	C17H33NO4	4.041		'PUGREST.BadRequest: error: '
0329_00078	Propionyl-L-carnitine	C10H19NO4	1.114		'PUGREST.BadRequest: error: '
0329_00091	3-Methylglutarylcarnitine	C13H23NO6	2.455		'PUGREST.BadRequest: error: '
0329_00095	Stearoyl-L-carnitine	C25H49NO4	5.432		'PUGREST.BadRequest: error: '
0329_00100	2-Hydroxytetradecanoic acid	C14H28O3	4.966		'PUGREST.BadRequest: error: '
0329_00101	Isopalmitic acid	C16H32O2	5.622		'PUGREST.BadRequest: error: '
0329_00103	2-Hydroxyhexadecanoic acid	C16H32O3	5.268		'PUGREST.BadRequest: error: '
0329_00104	Isostearic acid	C18H36O2	5.854		'PUGREST.BadRequest: error: '
0329_00113	Phytanic acid	C20H40O2	5.92		'PUGREST.BadRequest: error: '
0329_00114	Heneicosanoic acid	C21H42O2	6.15		'PUGREST.BadRequest: error: '
0329_00115	Behenic acid	C22H44O2	6.222		'PUGREST.BadRequest: error: '
0329_00116	Tricosanoic acid	C23H46O2	6.293		'PUGREST.BadRequest: error: '
0329_00118	Lignoceric acid	C24H48O2	6.364		'PUGREST.BadRequest: error: '
0329_00123	Undecanoic acid	C11H22O2	4.892		'PUGREST.BadRequest: error: '
0329_00124	Tridecanoic acid	C13H26O2	5.22		'PUGREST.BadRequest: error: '
0329_00125	Myristic acid	C14H28O2	5.358		'PUGREST.BadRequest: error: '
0329_00126	15-Methylpalmitic acid	C17H34O2	5.708		'PUGREST.BadRequest: error: '
0329_00127	Sterculic acid	C19H34O2	5.849		'PUGREST.BadRequest: error: '
0329_00130	Arachidic acid	C20H40O2	5.92		'PUGREST.BadRequest: error: '
0329_00135	2-Methyl-4-pentenoic acid	C6H10O2	2.426		'PUGREST.BadRequest: error: '
0329_00140	3,3-Dimethylglutaric acid	C7H12O4	2.426		'PUGREST.BadRequest: error: '
0329_00142	17-Octadecynoic acid	C18H32O2	5.54		'PUGREST.BadRequest: error: '
0329_00148	10-Undecenoic acid	C11H20O2	3.924		'PUGREST.BadRequest: error: '
0329_00151	Pentadecanoic acid	C15H30O2	5.492		'PUGREST.BadRequest: error: '
0329_00152	Heptadecanoic acid	C17H34O2	5.748		'PUGREST.BadRequest: error: '
0329_00153	Nonadecanoic acid	C19H38O2	5.955		'PUGREST.BadRequest: error: '
0329_00159	9-Decenoic acid	C10H18O2	3.576		'PUGREST.BadRequest: error: '
0329_00162	10-Hydroxydecanoic acid	C10H20O3	3.576		'PUGREST.BadRequest: error: '
0329_00168	Tuberculostearic Acid	C19H38O2	5.918		'PUGREST.BadRequest: error: '
0329_00175	Palmitic acid	C16H32O2	5.617		'PUGREST.BadRequest: error: '
0329_00178	Stearic acid	C18H36O2	5.847		'PUGREST.BadRequest: error: '
