id	bits.on
0375_00004	62,134,317,344,370,405,422,479,481,486,511,580,662,678,690,691,729,750,787,806,828,887,905,944,960,968,989,1006
0375_00015	20,94,112,144,153,266,298,305,373,434,480,508,626,727,767,778,915,993
0375_00032	14,20,94,107,118,128,141,145,153,159,207,209,231,242,250,257,270,284,285,299,327,340,366,403,440,480,481,508,516,530,541,552,563,626,627,635,673,690,692,727,739,757,871,915,917,927,984
0375_00039	20,94,107,134,153,207,212,232,390,458,480,508,511,542,568,602,626,727,813,889,909,936
0375_00045	20,94,126,147,153,257,480,508,626,727
0375_00052	20,81,94,116,134,169,170,272,385,393,405,456,487,508,550,585,619,626,725,727,897,898,922,968,1000
0375_00057	20,57,58,94,115,172,347,454,508,539,588,626,692,712,719,727,779,872,954,995
0375_00060	20,57,94,107,108,146,153,207,326,347,435,508,571,576,588,626,692,727,747,845,899,954,961
0375_00066	20,21,94,153,337,480,508,530,626,727,752
0375_00068	41,93,95,134,153,182,201,202,220,227,234,257,285,326,347,393,400,405,408,436,476,481,482,512,535,539,568,569,580,605,613,621,626,666,675,678,687,719,758,773,786,821,826,843,853,887,922,948,968,1016
0375_00070	16,20,35,57,58,153,158,182,201,266,326,347,358,508,588,626,692,727,763,801,898,954
