id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6	comment
0437_00001		C3H12NO9P3	1.081	C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O	InChI=1S/C3H12NO9P3/c5-14(6,7)1-4(2-15(8,9)10)3-16(11,12)13/h1-3H2,(H2,5,6,7)(H2,8,9,10)(H2,11,12,13)	YDONNITUKPKTIG-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Organic phosphonic acids and derivatives (CHEMONTID:0000419)	Organic phosphonic acids (CHEMONTID:0001302)	NA (NA)	NA (NA)	
0437_00002		C6H20N2O12P4	1.091	C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O	InChI=1S/C6H20N2O12P4/c9-21(10,11)3-7(4-22(12,13)14)1-2-8(5-23(15,16)17)6-24(18,19)20/h1-6H2,(H2,9,10,11)(H2,12,13,14)(H2,15,16,17)(H2,18,19,20)	NFDRPXJGHKJRLJ-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Organic phosphonic acids and derivatives (CHEMONTID:0000419)	Organic phosphonic acids (CHEMONTID:0001302)	NA (NA)	NA (NA)	
0437_00003		C7H19NO6P2	1.131	CCN(CC)CC(CP(=O)(O)O)P(=O)(O)O	InChI=1S/C7H19NO6P2/c1-3-8(4-2)5-7(16(12,13)14)6-15(9,10)11/h7H,3-6H2,1-2H3,(H2,9,10,11)(H2,12,13,14)	WMSYKJURZITNIY-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Organic phosphonic acids and derivatives (CHEMONTID:0000419)	Organic phosphonic acids (CHEMONTID:0001302)	NA (NA)	NA (NA)	
0437_00004		C4H5N3O5S	1.223	C1(=C(NC(=O)NC1=O)S(=O)(=O)O)N	InChI=1S/C4H5N3O5S/c5-1-2(8)6-4(9)7-3(1)13(10,11)12/h5H2,(H,10,11,12)(H2,6,7,8,9)	KFUWLQOOBWAQPL-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Organic sulfonic acids and derivatives (CHEMONTID:0004434)	Organosulfonic acids and derivatives (CHEMONTID:0000270)	Arylsulfonic acids and derivatives (CHEMONTID:0002237)	NA (NA)	
0437_00005		C3H3N3O3	1.253	C1(=NNC(=O)N1)C(=O)O	InChI=1S/C3H3N3O3/c7-2(8)1-4-3(9)6-5-1/h(H,7,8)(H2,4,5,6,9)	KNSPHEMRHVERJM-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Azoles (CHEMONTID:0000436)	Triazoles (CHEMONTID:0000099)	NA (NA)	NA (NA)	
0437_00006		C6H4N2O4	1.273	C1C2=C(C(=O)O1)NC(=O)NC2=O	InChI=1S/C6H4N2O4/c9-4-2-1-12-5(10)3(2)7-6(11)8-4/h1H2,(H2,7,8,9,11)	MFHLWNMYHQMDMV-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Diazines (CHEMONTID:0001346)	Pyrimidines and pyrimidine derivatives (CHEMONTID:0000075)	Pyrimidones (CHEMONTID:0000291)	NA (NA)	
0437_00007		C3H10NO3P	1.3030000000000002	C(CN)CP(=O)(O)O	InChI=1S/C3H10NO3P/c4-2-1-3-8(5,6)7/h1-4H2,(H2,5,6,7)	GSZQTIFGANBTNF-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Organic phosphonic acids and derivatives (CHEMONTID:0000419)	Organic phosphonic acids (CHEMONTID:0001302)	NA (NA)	NA (NA)	
0437_00008		C5H4N2O4	1.334	C1=C(NC(=O)NC1=O)C(=O)O	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)	PXQPEWDEAKTCGB-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Diazines (CHEMONTID:0001346)	Pyrimidines and pyrimidine derivatives (CHEMONTID:0000075)	Pyrimidinecarboxylic acids and derivatives (CHEMONTID:0001319)	Pyrimidinecarboxylic acids (CHEMONTID:0002415)	
0437_00009		C3H6N2O3	1.416	C1(C(NC(=O)N1)O)O	InChI=1S/C3H6N2O3/c6-1-2(7)5-3(8)4-1/h1-2,6-7H,(H2,4,5,8)	NNTWKXKLHMTGBU-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Azolidines (CHEMONTID:0002491)	Imidazolidines (CHEMONTID:0000250)	Imidazolidinones (CHEMONTID:0001149)	NA (NA)	
0437_00010		C6H7NO3S	1.4549999999999998	C1=CC(=CC(=C1)S(=O)(=O)O)N	InChI=1S/C6H7NO3S/c7-5-2-1-3-6(4-5)11(8,9)10/h1-4H,7H2,(H,8,9,10)	ZAJAQTYSTDTMCU-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzenesulfonic acids and derivatives (CHEMONTID:0000032)	NA (NA)	NA (NA)	
