id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
0438_00001	1-(malonylamino)cyclopropane-1-carboxylic acid	C7H9NO5	14.55		missing SMILES		
0438_00002	1-Aminocyclopropanecarboxylic acid	C4H7NO2	1.54		missing SMILES		
0438_00003	2,3-dihydroxybenzoic acid	C7H6O4	14.29		missing SMILES		
0438_00005	2-Phosphoglyceric-acid	C3H7O7P	15.841		missing SMILES		
0438_00006	2-phosphoglycolic acid	C2H5O6P	2.73		missing SMILES		
0438_00011	4-Hydroxyproline	C5H9NO3	1.51		missing SMILES		
0438_00016	Acetoacetic acid	C4H6O3	10.4		missing SMILES		
0438_00019	Aconitic acid (cis and/or trans)	C6H6O6	18.604		missing SMILES		
0438_00020	Adenosine 2',3'-cyclic phosphate	C10H12N5O6P	12.16		missing SMILES		
0438_00024	alpha-Ketoglutaric acid	C5H6O5	15.292		missing SMILES		
0438_00025	Alpha-Ketoisovaleric acid	C5H8O3	12.77		missing SMILES		
0438_00030	Beta-Alanine	C3H7NO2	1.37		missing SMILES		
0438_00033	Capric-acid	C10H20O2	28.18		missing SMILES		
0438_00034	Caproic-acid	C6H12O2	21.26		missing SMILES		
0438_00035	Caprylic-acid	C8H16O2	25.82		missing SMILES		
0438_00044	Citric-acid	C6H8O7	17.223		missing SMILES		
0438_00047	Creatine	C4H9N3O2	1.6		missing SMILES		
0438_00061	Dihydroxyacetone-phosphate	C3H7O6P	11.015		missing SMILES		
0438_00062	Dimethylsulfoxide	C2H6SO	1.87		missing SMILES		
0438_00063	DL-2-Hydroxyglutaric acid	C5H8O5	15.759		missing SMILES		
0438_00072	Galactose-6-phosphate	C6H13O9P	8.59		missing SMILES		
0438_00073	Gamma-Aminobutyric acid	C4H9NO2	1.28		missing SMILES		
0438_00075	Gentisic acid	C7H6O4	14.29		missing SMILES		
0438_00080	Glycerol-3-phosphate	C3H9O6P	9.708		missing SMILES		
0438_00081	Glycine	C2H5NO2	1.43		missing SMILES		
0438_00086	Glycocholic acid 3-sulfate	C26H43NO9S	26.17		missing SMILES		
0438_00092	Heptanoic acid	C7H14O2	23.78		missing SMILES		
0438_00095	myo-inositol	C6H12O6	1.439		missing SMILES		
0438_00100	Hexose	C6H12O6	10.291		missing SMILES		
0438_00105	Indole-3-propionic acid	C11H11NO2	20.36		missing SMILES		
0438_00110	Isocitric-acid	C6H8O7	17.822		missing SMILES		
0438_00111	Isopentenyl-pyrophosphate	C5H12O7P2	21.95		missing SMILES		
0438_00112	dimethylallyl-pyrophosphate	C5H12O7P2	21.95		missing SMILES		
0438_00113	Isovaleric acid	C5H10O2	16.42		missing SMILES		
0438_00114	Itaconic-acid	C5H6O4	14.6		missing SMILES		
0438_00115	Ketoleucine	C6H10O3	18.31		missing SMILES		
0438_00116	4-(Methylthio)-2-oxobutyric acid	C5H8O3S	14.7		missing SMILES		
0438_00121	Lauric-acid	C12H24O2	29.76		missing SMILES		
0438_00144	Malonate	C3H4O4	13.62		missing SMILES		
0438_00151	Mevalonate	C6O4H12	10.5		missing SMILES		
0438_00153	Mevalonate-pyrophosphate	C6H14O10P2	19.21		missing SMILES		
0438_00154	Mevalonic acid	C6H12O4	10.5		missing SMILES		
0438_00155	Myristic acid d27	C14H28O2	30.281		missing SMILES		
0438_00156	Myristic-acid	C14H28O2	32.512		missing SMILES		
0438_00157	N-(5-hydro-5-methyl-4-imidazolon-2-yl)-ornithine	C9H16N4O3	1.4		missing SMILES		
0438_00158	N-Carboxymethyllysine	C8H16N2O4	1.39		missing SMILES		
0438_00164	DL-3-Hydroxybutyric acid	C4H8O3	9.76		missing SMILES		
0438_00166	Nonanoic acid	C9H18O2	27.12		missing SMILES		
0438_00168	Orotic acid	C5H4N2O4	10.486		missing SMILES		
0438_00169	Oxiglutathione	C20H32N6O12S2	14.905		missing SMILES		
0438_00170	Palmitic-acid	C16H32O2	31.692		missing SMILES		
0438_00178	Phosphoenolpyruvic-acid	C3H5O6P	17.182		missing SMILES		
0438_00182	Pyrophosphate	H4P2O7	16.64		missing SMILES		
0438_00184	Pyruvic-acid	C3H4O3	10.708		missing SMILES		
0438_00188	Stearic-acid	C18H36O2	33.564		missing SMILES		
0438_00190	Suberic acid	C8H14O4	16.28		missing SMILES		
0438_00191	Succinic-acid	C4H6O4	14.065		missing SMILES		
0438_00193	Taurine	C2H7NO3S	1.49		missing SMILES		
0438_00200	Tetrahydrobiopterin	C9H15N5O3	1.5		missing SMILES		
0438_00202	Tridecanoic acid	C13H26O2	30.3		missing SMILES		
0438_00204	UAMC-3203	C25H37N5O2S	24.4		missing SMILES		
0438_00207	Undecanoic acid	C11H22O2	28.97		missing SMILES		
0438_00209	Uridine-diphosphate-hexose	C15H24N2O17P2	15.837		missing SMILES		
0438_00213	Valeric acid	C5H10O2	17.37		missing SMILES		
0438_00214	Xylulose-5-phosphate	C5H11O8P	9.61		missing SMILES		
