id	bits.on
draft_01362_00001	10,11,15,16,19,20,144,146,147,256,257,284,285,286,287,300,309,333,339,341,345,346,352,353,356,358,359,366,371,373,374,376,377,380,381,388,390,391,393,394,397,400,401,404,407,417,419,421,432,436,438,441,442,443,444,446,447,448,450,451,453,454,473,483,485,486,488,489,491,492,496,500,503,505,507,520,522,524,528,529,536,537,539,540,541,546,547,548,557,561,567,570,571,573,580,583,586,593,594,596,597,600,608,609,612,614,618,637,638,641,644,655,658,666,675,681,683,684,685,686,692,696,703
draft_01362_00002	10,11,15,16,17,19,20,284,285,286,287,300,309,333,339,341,345,346,352,353,366,376,381,391,394,407,419,421,441,444,451,453,454,488,529,536,537,567,580,583,593,618,638,644,681,684,685,692,696
draft_01362_00003	10,11,15,16,19,20,284,285,286,287,300,309,333,339,341,345,346,352,353,366,381,394,407,421,440,441,444,452,453,529,536,537,567,580,581,593,594,618,638,644,683,686,687,688
draft_01362_00004	10,11,15,16,19,20,284,285,286,287,300,309,333,339,341,345,346,352,353,366,381,394,407,421,440,441,444,452,453,529,536,537,567,580,583,593,618,638,644,681,684,685,686,692,694,695,696
draft_01362_00005	10,15,19,20,284,285,286,287,300,309,333,339,341,345,346,347,352,353,366,367,381,394,407,421,441,444,453,529,536,537,567,572,582,618,640,643,644
draft_01362_00006	10,15,19,20,284,285,286,287,300,309,345,346,352,353,366,381,394,407,421,441,444,453,529,537,567
draft_01362_00007	10,15,19,284,285,286,287,300,309,345,346,347,352,353,366,367,394,407,529,567,572,644
draft_01362_00008	10,11,15,19,20,284,285,286,287,300,309,333,339,340,341,342,345,346,347,352,353,366,367,375,381,394,407,421,441,444,453,529,536,537,567,572,580,582,618,638,640,643,644
draft_01362_00009	10,15,19,20,34,284,285,286,287,294,300,309,333,339,341,345,346,350,352,353,354,366,369,381,394,407,414,421,441,444,453,529,536,537,567,618,644
draft_01362_00010	10,11,12,15,16,17,284,285,286,300,333,345,346,352,366,391,393,394,529,541,593,594,614,644,657
draft_01362_00011	10,15,19,20,284,285,286,287,300,309,333,339,341,345,346,352,353,366,375,381,394,407,421,441,444,453,529,536,537,567,618,644
draft_01362_00012	10,11,19,20,21,284,285,287,309,333,342,345,353,381,407,421,433,441,444,453,463,536,538,580,583,618,638,680,681,685,690,693,694,695,707
draft_01362_00013	10,19,20,284,285,287,309,345,353,375,381,407,421,441,444,453
draft_01362_00014	10,11,15,19,20,21,179,181,182,256,257,284,285,286,287,309,333,334,341,345,346,352,353,356,357,358,359,366,371,372,373,374,377,381,385,388,391,397,404,407,417,419,421,431,432,435,436,438,441,442,443,444,446,447,448,450,453,454,462,465,471,473,483,491,492,494,495,496,503,507,517,521,522,524,525,531,536,537,539,540,541,546,547,549,550,553,554,556,557,565,567,571,574,575,577,578,579,580,581,583,585,586,593,596,598,600,601,603,604,608,609,614,618,619,620,624,625,629,634,635,638,639,641,642,656,657,658,660,661,665,666,668,669,672,673,674,678,679,680,681,682,684,685,687,688,690,692,693,696,703,709,710,711
