id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_45277_00001		C5H9N3	1.1		missing SMILES		
draft_45277_00005		C3H8N2O2	1.1		missing SMILES		
draft_45277_00006		C4H11NO2	1.2		missing SMILES		
draft_45277_00008		C2H7NO2S	1.2		missing SMILES		
draft_45277_00011		C4H9NO2	1.2		missing SMILES		
draft_45277_00019		C7H14N2O4	1.2		missing SMILES		
draft_45277_00021		C3H9N	1.2		missing SMILES		
draft_45277_00023		C2H7NO3S	1.2		missing SMILES		
draft_45277_00025		C2H5O5P	1.2		missing SMILES		
draft_45277_00028		C3H9O6P	1.2		missing SMILES		
draft_45277_00030		C3H7NO2	1.2		missing SMILES		
draft_45277_00031		C3H7O7P	1.2		missing SMILES		
draft_45277_00035		C4H8N2O3	1.2		missing SMILES		
draft_45277_00039		C5H15NO4P	1.2		missing SMILES		
draft_45277_00040		C5H7N5O	1.2		missing SMILES		
draft_45277_00041		C5H9NO3	1.2		missing SMILES		
draft_45277_00042		C3H8NO5P	1.2		missing SMILES		
draft_45277_00043		C4H9NO2	1.3		missing SMILES		
draft_45277_00044		C8H12N2O2	1.3		missing SMILES		
draft_45277_00046		C7H8N2O	1.3		missing SMILES		
draft_45277_00048		C5H11NO2	1.3		missing SMILES		
draft_45277_00059		C3H9NO	1.3		missing SMILES		
draft_45277_00061		C5H11NO3S	1.3		missing SMILES		
draft_45277_00065		C4H8N4O4	1.3		missing SMILES		
draft_45277_00068		C5H9NO3	1.3		missing SMILES		
draft_45277_00071		C4H5N3O	1.3		missing SMILES		
draft_45277_00072		C4H9N3O2	1.3		missing SMILES		
draft_45277_00073		C4H6N4O3	1.3		missing SMILES		
draft_45277_00076		CH4N2O	1.3		missing SMILES		
draft_45277_00078		C5H11NO2	1.4		missing SMILES		
draft_45277_00081		C2H7N3	1.4		missing SMILES		
draft_45277_00082		C4H9NO2S	1.4		missing SMILES		
draft_45277_00085		C10H19N5O7	1.4		missing SMILES		
draft_45277_00089		C6H14N2O	1.4		missing SMILES		
draft_45277_00090		C8H11NO3	1.4		missing SMILES		
draft_45277_00093		C5H6N2O2	1.4		missing SMILES		
draft_45277_00094		C5H4N2O4	1.4		missing SMILES		
draft_45277_00096		C4H9NO2	1.4		missing SMILES		
draft_45277_00097		C5H8N2O5	1.4		missing SMILES		
draft_45277_00098		C7H7NO2	1.4		missing SMILES		
draft_45277_00099		C6H11NO4	1.4		missing SMILES		
draft_45277_00100		C7H12N2O3	1.5		missing SMILES		
draft_45277_00104		C5H11N3O2	1.8		missing SMILES		
draft_45277_00105		C6H7N5	1.8		missing SMILES		
draft_45277_00106		C6H5NO2	1.8		missing SMILES		
draft_45277_00107		C6H11NO2	1.8		missing SMILES		
draft_45277_00108		C4H6N2O2	1.8		missing SMILES		
draft_45277_00109		C4H4N2O2	1.9		missing SMILES		
draft_45277_00111		C7H5NO4	1.9		missing SMILES		
draft_45277_00113		C5H5N5	2		missing SMILES		
draft_45277_00115		C8H9NO2	2.1		missing SMILES		
draft_45277_00116		C6H13NO2	2.2		missing SMILES		
draft_45277_00117		C6H5NO2	2.2		missing SMILES		
draft_45277_00118		C8H11NO2	2.3		missing SMILES		
draft_45277_00120		C10H12N2O4	2.5		missing SMILES		
draft_45277_00121		C5H11NO2	2.5		missing SMILES		
draft_45277_00123		C8H11NO3	2.5		missing SMILES		
draft_45277_00125		C6H7N5O	2.6		missing SMILES		
draft_45277_00127		C10H12N5O6P	2.7		missing SMILES		
draft_45277_00128		C6H6N2O	2.7		missing SMILES		
draft_45277_00129		C6H7N5O	2.7		missing SMILES		
draft_45277_00131		C6H13NO2	2.8		missing SMILES		
draft_45277_00132		C8H10NO6P	2.8		missing SMILES		
draft_45277_00135		C8H11NO	2.9		missing SMILES		
draft_45277_00137		C4H7NO	3		missing SMILES		
draft_45277_00138		C5H4N4	3		missing SMILES		
draft_45277_00141		C6H7N5	3.1		missing SMILES		
draft_45277_00146		C8H8N2O3	3.2		missing SMILES		
draft_45277_00147		C5H6N2O2	3.2		missing SMILES		
draft_45277_00150		C6H5NO3	3.4		missing SMILES		
draft_45277_00151		C9H10N2O3	3.5		missing SMILES		
draft_45277_00153		C10H13NO4	3.5		missing SMILES		
draft_45277_00154		C10H12N2O	3.6		missing SMILES		
draft_45277_00157		C9H13NO2	3.7		missing SMILES		
draft_45277_00158		C6H6N4O2	3.7		missing SMILES		
draft_45277_00160		C9H11NO3	3.9		missing SMILES		
draft_45277_00161		C7H7NO2	3.9		missing SMILES		
draft_45277_00162		C5H8O4	3.9		missing SMILES		
draft_45277_00163		C8H8O4	4.1		missing SMILES		
draft_45277_00164		C5H9NO	4.3		missing SMILES		
draft_45277_00166		C7H8N4O3	4.5		missing SMILES		
draft_45277_00167		C4H10O3PS	4.6		missing SMILES		
draft_45277_00168		C6H8N2O2	4.6		missing SMILES		
draft_45277_00169		C7H9N5	4.6		missing SMILES		
draft_45277_00170		C5H8O4	4.7		missing SMILES		
draft_45277_00173		C7H10O4	4.9		missing SMILES		
draft_45277_00175		C14H22N2O3	4.9		missing SMILES		
draft_45277_00176		C8H9NO2	4.9		missing SMILES		
