id	bits.on
draft_79318_00001	20,31,62,68,96,134,153,206,211,222,299,421,458,459,487,508,535,550,623,696,719,727,762,778,786,826,873,910,945,948,968,994,1013
draft_79318_00002	15,30,89,122,152,168,232,237,298,405,461,473,485,497,524,560,587,590,654,657,688,734,759,772,782,794,853,879,967,968
draft_79318_00003	9,15,62,67,88,153,175,237,344,358,524,778,826,837,844,948,954,994
draft_79318_00004	10,15,88,103,121,134,153,175,237,245,364,430,439,455,508,524,679,750,863,893,948,979,994,1022
draft_79318_00005	15,47,96,134,145,175,237,373,407,421,487,513,524,550,572,636,792,931,938,943,954,968
draft_79318_00006	9,11,15,28,67,88,111,153,175,237,310,323,411,420,454,524,606,659,778,788,835,837,844,885,909,932,954,994
draft_79318_00007	96,134,138,155,220,255,335,367,419,487,550,602,616,725,798,808,948,968
draft_79318_00008	134,138,182,220,367,378,423,487,550,602,616,725,781,787,808,943,948,968
draft_79318_00009	61,134,249,265,305,481,487,550,577,603,626,699,736,781,820,887,890,908,935,968
draft_79318_00010	20,31,68,96,104,113,134,211,220,265,315,343,355,368,372,387,442,481,487,508,522,542,550,555,635,686,699,727,887,897,928,948,968,972,1011
draft_79318_00011	38,63,96,115,134,201,215,299,413,449,481,487,495,515,518,550,577,606,609,716,746,787,887,921,935,968
draft_79318_00012	20,80,94,153,312,347,441,484,507,508,544,727,762,827,850,886,948,958,989
draft_79318_00013	96,134,146,178,196,217,278,320,376,405,425,426,487,550,596,602,615,747,773,789,846,872,881,896,916,968,979,985
draft_79318_00014	15,62,63,89,118,153,207,209,231,254,298,425,428,432,461,464,482,556,709,722,778,782,826,948,981,994,1017
draft_79318_00015	20,68,90,96,128,134,145,193,230,260,277,298,347,353,421,456,487,505,508,515,516,549,550,555,626,640,727,778,812,897,898,948,955,968,971,972,973,1011,1018
draft_79318_00016	15,26,37,42,89,118,207,249,328,458,461,484,499,624,634,752,755,782,802,803,948,960
draft_79318_00017	119,134,220,302,461,485,552,654,717,830,948,968
draft_79318_00018	51,85,96,109,132,134,145,153,260,296,326,347,421,430,487,550,575,626,658,666,730,800,951,968
draft_79318_00019	144,347,373,429,551,626,870,948,977,986
draft_79318_00020	18,81,96,106,116,134,272,307,325,335,385,392,393,405,487,495,536,550,558,580,585,605,670,725,735,737,968,976,977,987,1018
draft_79318_00021	20,94,134,144,153,182,183,278,347,391,416,435,438,446,447,467,480,508,515,550,582,626,705,709,710,727,738,747,776,800,818,823,900,968,976
draft_79318_00022	20,95,119,134,198,220,260,315,343,347,473,506,508,514,516,520,522,542,550,551,566,575,587,686,694,727,737,812,817,850,914,948,968,992
draft_79318_00023	12,33,134,328,408,458,469,515,541,626,640,789,830,873,968,975,994,996
draft_79318_00024	134,220,442,461,552,677,748,830,948,968
draft_79318_00025	21,115,134,153,229,270,281,296,306,405,515,550,565,577,586,606,753,776,948,968,994
draft_79318_00026	39,125,134,138,220,304,330,363,417,453,483,487,508,550,583,657,781,819,940,948,968,989,996
draft_79318_00027	74,137,153,183,207,326,390,474,576,589,626,670,726,779,802,815,863,905,948,959,985
draft_79318_00028	15,40,63,64,96,105,124,134,155,196,220,222,258,305,335,352,367,374,392,441,475,487,515,528,550,562,566,577,597,606,616,639,725,728,736,739,769,777,794,873,921,934,935,948,955,968,970,972,1002,1022
draft_79318_00029	16,36,134,211,220,278,295,302,335,349,367,437,508,513,515,550,585,712,825,850,948,968,1007,1018
draft_79318_00030	134,141,220,251,252,278,335,349,359,365,367,508,515,542,550,587,686,715,788,802,821,850,881,948,968
draft_79318_00031	4,134,220,362,385,393,405,515,686,811,874,948,961,968,1023
