id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6	comment
draft_79318_00001	1-(2-butylphenyl)ethanone	C12H16O	10.34	CCCCC1=CC=CC=C1C(=O)C	InChI=1S/C12H16O/c1-3-4-7-11-8-5-6-9-12(11)10(2)13/h5-6,8-9H,3-4,7H2,1-2H3	PLPLNIPMXUXDTF-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic oxygen compounds (CHEMONTID:0004603)	Organooxygen compounds (CHEMONTID:0000323)	Carbonyl compounds (CHEMONTID:0001831)	Ketones (CHEMONTID:0000118)	Aryl ketones (CHEMONTID:0003670)	
draft_79318_00002	1-(oxan-2-yl)pyrazole	C8H12N2O	10.48	C1CCOC(C1)N2C=CC=N2	InChI=1S/C8H12N2O/c1-2-7-11-8(4-1)10-6-3-5-9-10/h3,5-6,8H,1-2,4,7H2	IMZWSOSYNFVECD-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Oxanes (CHEMONTID:0002012)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00003	1-butylpyrrolidine	C8H17N	2.17	CCCCN1CCCC1	InChI=1S/C8H17N/c1-2-3-6-9-7-4-5-8-9/h2-8H2,1H3	JSHASCFKOSDFHY-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyrrolidines (CHEMONTID:0000218)	N-alkylpyrrolidines (CHEMONTID:0003449)	NA (NA)	NA (NA)	
draft_79318_00004	1-ethylpiperidin-3-one	C7H13NO	3.16	CCN1CCCC(=O)C1	InChI=1S/C7H13NO/c1-2-8-5-3-4-7(9)6-8/h2-6H2,1H3	UDMMJJYIAHHNQA-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Piperidines (CHEMONTID:0000195)	Piperidinones (CHEMONTID:0001581)	NA (NA)	NA (NA)	
draft_79318_00005	1-phenylpyrrolidine	C10H13N	0.39	C1CCN(C1)C2=CC=CC=C2	InChI=1S/C10H13N/c1-2-6-10(7-3-1)11-8-4-5-9-11/h1-3,6-7H,4-5,8-9H2	VDQQJMHXZCMNMU-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyrrolidines (CHEMONTID:0000218)	Phenylpyrrolidines (CHEMONTID:0002336)	NA (NA)	NA (NA)	
draft_79318_00006	1-piperidinebutyronitrile	C9H16N2	2.89	C1CCN(CC1)CCCC#N	InChI=1S/C9H16N2/c10-6-2-5-9-11-7-3-1-4-8-11/h1-5,7-9H2	CVROVTGNNDIZNS-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Piperidines (CHEMONTID:0000195)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00007	1,4-dimethylnaphthalene	C12H12	0.56	CC1=CC=C(C2=CC=CC=C12)C	InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3	APQSQLNWAIULLK-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Naphthalenes (CHEMONTID:0000023)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00008	1,5-dimethylnaphthalene	C12H12	0.58	CC1=C2C=CC=C(C2=CC=C1)C	InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3	SDDBCEWUYXVGCQ-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Naphthalenes (CHEMONTID:0000023)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00009	1,8-diaminonaphthalene	C10H10N2	0.44	C1=CC2=C(C(=C1)N)C(=CC=C2)N	InChI=1S/C10H10N2/c11-8-5-1-3-7-4-2-6-9(12)10(7)8/h1-6H,11-12H2	YFOOEYJGMMJJLS-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Naphthalenes (CHEMONTID:0000023)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00010	2-amino-4'-methylbenzophenone	C14H13NO	0.39	CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2N	InChI=1S/C14H13NO/c1-10-6-8-11(9-7-10)14(16)12-4-2-3-5-13(12)15/h2-9H,15H2,1H3	RMMJUQSANCPTMV-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzophenones (CHEMONTID:0000120)	NA (NA)	NA (NA)	
