id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6	comment
draft_79318_00012	2-butene-1,4-diol diacetate	C8H12O4	0.4	CC(=O)OC/C=C/COC(=O)C	InChI=1S/C8H12O4/c1-7(9)11-5-3-4-6-12-8(2)10/h3-4H,5-6H2,1-2H3/b4-3+	VZUAUHWZIKOMFC-ONEGZZNKSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Dicarboxylic acids and derivatives (CHEMONTID:0000346)	NA (NA)	NA (NA)	
draft_79318_00022	(4-methylphenyl) (2E,4E)-hexa-2,4-dienoate	C13H14O2	0.39	C/C=C/C=C/C(=O)OC1=CC=C(C=C1)C	InChI=1S/C13H14O2/c1-3-4-5-6-13(14)15-12-9-7-11(2)8-10-12/h3-10H,1-2H3/b4-3+,6-5+	PHJBAQCHWVWSDF-VNKDHWASSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Phenol esters (CHEMONTID:0002319)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00035	4-methyl-1,5-heptadiene	C8H14	0.53	C/C=C/C(C)CC=C	InChI=1S/C8H14/c1-4-6-8(3)7-5-2/h4-5,7-8H,1,6H2,2-3H3/b7-5+	ITKKJSFRRSLPHX-FNORWQNLSA-N	Organic compounds (CHEMONTID:0000000)	Hydrocarbons (CHEMONTID:0002837)	Unsaturated hydrocarbons (CHEMONTID:0004475)	Olefins (CHEMONTID:0002838)	Acyclic olefins (CHEMONTID:0002839)	Alkadienes (CHEMONTID:0001019)	
draft_79318_00037	4-oxo-4-(3-pyridyl)butanamide	C23H26BrN3O3	0.64	C[C@@H]1C[C@@H](CN(C1)C(=O)C2=C(C=CC(=C2)Br)NC(=O)CCC(=O)C3=CN=CC=C3)C	InChI=1S/C23H26BrN3O3/c1-15-10-16(2)14-27(13-15)23(30)19-11-18(24)5-6-20(19)26-22(29)8-7-21(28)17-4-3-9-25-12-17/h3-6,9,11-12,15-16H,7-8,10,13-14H2,1-2H3,(H,26,29)/t15-,16+	DOZVEMLZTNCJCJ-IYBDPMFKSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzoyl derivatives (CHEMONTID:0000321)	1-benzoylpiperidines (CHEMONTID:0004110)	NA (NA)	
draft_79318_00042	_-ionone	C13H20O	0.43	CC1=C(C(CCC1)(C)C)/C=C/C(=O)C	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+	PSQYTAPXSHCGMF-BQYQJAHWSA-N	Organic compounds (CHEMONTID:0000000)	Lipids and lipid-like molecules (CHEMONTID:0000012)	Prenol lipids (CHEMONTID:0000259)	Sesquiterpenoids (CHEMONTID:0001550)	NA (NA)	NA (NA)	
draft_79318_00058	chlordane	C10H6Cl8	3.21	C1C2C(C(C1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl	InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2?,3?,4?,5?,8-,9+/m0/s1	BIWJNBZANLAXMG-YQELWRJZSA-N	Organic compounds (CHEMONTID:0000000)	Organohalogen compounds (CHEMONTID:0000267)	Vinyl halides (CHEMONTID:0002868)	Vinyl chlorides (CHEMONTID:0002863)	NA (NA)	NA (NA)	
draft_79318_00061	cinnamaldehyde	C9H8O	0.53	C1=CC=C(C=C1)/C=C/C=O	InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+	KJPRLNWUNMBNBZ-QPJJXVBHSA-N	Organic compounds (CHEMONTID:0000000)	Phenylpropanoids and polyketides (CHEMONTID:0000261)	Cinnamaldehydes (CHEMONTID:0000029)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00067	dieldrin	C12H8Cl6O	0.83	C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl	InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10+,11-	DFBKLUNHFCTMDC-PICURKEMSA-N	Organic compounds (CHEMONTID:0000000)	Lipids and lipid-like molecules (CHEMONTID:0000012)	Prenol lipids (CHEMONTID:0000259)	Monoterpenoids (CHEMONTID:0001549)	NA (NA)	NA (NA)	
draft_79318_00079	imidacloprid	C9H10ClN5O2	1.04	C1CN(/C(=N\[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl	InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)	YWTYJOPNNQFBPC-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Guanidines (CHEMONTID:0000375)	Nitroguanidines (CHEMONTID:0004667)	NA (NA)	
draft_79318_00081	isoeugenol	C10H12O2	0.38	C/C=C/C1=CC(=C(C=C1)O)OC	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3/b4-3+	BJIOGJUNALELMI-ONEGZZNKSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Phenols (CHEMONTID:0000134)	Methoxyphenols (CHEMONTID:0000190)	NA (NA)	NA (NA)	
