id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg
0022_00001	Chlorogenic acid 	C16H18O9	6.869	348159		C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)	CWVRJTMFETXNAD-UHFFFAOYSA-N				
0022_00002	N-allyl aniline 	C9H11N	7.419	68525		C=CCNC1=CC=CC=C1	InChI=1S/C9H11N/c1-2-8-10-9-6-4-3-5-7-9/h2-7,10H,1,8H2	LQFLWKPCQITJIH-UHFFFAOYSA-N				
0022_00003	7-Amino-4-methycoumarin	C10H9N2	12.411	92249		CC1=CC(=O)OC2=C1C=CC(=C2)N	InChI=1S/C10H9NO2/c1-6-4-10(12)13-9-5-7(11)2-3-8(6)9/h2-5H,11H2,1H3	GLNDAGDHSLMOKX-UHFFFAOYSA-N				
0022_00004	Abscisic acid 	C15H20O4	16.843	287291		CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)	JLIDBLDQVAYHNE-UHFFFAOYSA-N				
0022_00005	Hydrocortisone 	C21H30O5	18.544	5754	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1	JYGXADMDTFJGBT-VWUMJDOOSA-N				
0022_00006	TBAC 	C16H36ClN	21.491	70681		CCCC[N+](CCCC)(CCCC)CCCC.[Cl-]	InChI=1S/C16H36N.ClH/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;/h5-16H2,1-4H3;1H/q+1;/p-1	NHGXDBSUJJNIRV-UHFFFAOYSA-M				
0022_00007	anilinoacetaldehyde diethyl acetal	C12H19NO2	25.59	519978		CCOC(CNC1=CC=CC=C1)OCC	InChI=1S/C12H19NO2/c1-3-14-12(15-4-2)10-13-11-8-6-5-7-9-11/h5-9,12-13H,3-4,10H2,1-2H3	DHGUGEBXVGPRRD-UHFFFAOYSA-N				
0022_00008	TPAB 		31.676									
0022_00009	Diphenylamine 	C12H11N	32.671	11487		C1=CC=C(C=C1)NC2=CC=CC=C2	InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H	DMBHHRLKUKUOEG-UHFFFAOYSA-N				
0022_00010	Di-n-pentyl phthalate 	C18H26O4	47.467	8561		CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC	InChI=1S/C18H26O4/c1-3-5-9-13-21-17(19)15-11-7-8-12-16(15)18(20)22-14-10-6-4-2/h7-8,11-12H,3-6,9-10,13-14H2,1-2H3	IPKKHRVROFYTEK-UHFFFAOYSA-N				
