id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	comment
0208_00001	(+/-)-Sulfinpyrazone	C23H20N2O3S	6.79	5342		C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4	InChI=1S/C23H20N2O3S/c26-22-21(16-17-29(28)20-14-8-3-9-15-20)23(27)25(19-12-6-2-7-13-19)24(22)18-10-4-1-5-11-18/h1-15,21H,16-17H2	MBGGBVCUIVRRBF-UHFFFAOYSA-N					removed another duplicate entry
0208_00002	(R)-baclofen	C10H12ClNO2	3.69	44602	C1=CC(=CC=C1[C@@H](CC(=O)O)CN)Cl	C1=CC(=CC=C1C(CC(=O)O)CN)Cl	InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)/t8-/m0/s1	KPYSYYIEGFHWSV-QMMMGPOBSA-N					removed another duplicate entry
0208_00003	(S)-crizotinib	C21H22Cl2FN5O	4.64	56671814	C[C@@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	InChI=1S/C21H22Cl2FN5O/c1-12(19-16(22)2-3-17(24)20(19)23)30-18-8-13(9-27-21(18)25)14-10-28-29(11-14)15-4-6-26-7-5-15/h2-3,8-12,15,26H,4-7H2,1H3,(H2,25,27)/t12-/m0/s1	KTEIFNKAUNYNJU-LBPRGKRZSA-N					removed another duplicate entry
0208_00004	17-Hydroxyprogesterone	C21H30O3	7.18	6238	CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O	CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O	InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3/t16-,17+,18+,19+,20+,21+/m1/s1	DBPWSSGDRRHUNT-CEGNMAFCSA-N					removed another duplicate entry
0208_00005	2_2'-Dihydroxy-4-methoxybenzophenone	C14H12O4	7.12	8569		COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O	InChI=1S/C14H12O4/c1-18-9-6-7-11(13(16)8-9)14(17)10-4-2-3-5-12(10)15/h2-8,15-16H,1H3	MEZZCSHVIGVWFI-UHFFFAOYSA-N					removed another duplicate entry
0208_00006	4-aminohippurate	C9H10N2O3	2.2	2148		C1=CC(=CC=C1C(=O)NCC(=O)O)N	InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)	HSMNQINEKMPTIC-UHFFFAOYSA-N					removed another duplicate entry
0208_00007	5-hydroxytryptophan (5-HTP)	C11H12N2O3	2.35	144		C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)	LDCYZAJDBXYCGN-UHFFFAOYSA-N					removed another duplicate entry
0208_00008	6-Mercaptopurine	C5H4N4S	1.84	667490		C1=NC2=C(N1)C(=S)N=CN2	InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	GLVAUDGFNGKCSF-UHFFFAOYSA-N					removed another duplicate entry
0208_00009	Abacavir	C14H18N6O	3.6	441300	C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO	C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO	InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/t8-,10+/m1/s1	MCGSCOLBFJQGHM-SCZZXKLOSA-N					removed another duplicate entry
0208_00010	Abemaciclib	C27H32F2N8	4.51	46220502		CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	InChI=1S/C27H32F2N8/c1-5-35-8-10-36(11-9-35)16-19-6-7-24(30-14-19)33-27-31-15-22(29)25(34-27)20-12-21(28)26-23(13-20)37(17(2)3)18(4)32-26/h6-7,12-15,17H,5,8-11,16H2,1-4H3,(H,30,31,33,34)	UZWDCWONPYILKI-UHFFFAOYSA-N					removed another duplicate entry
