id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	id.kegg	comment
0228_00001	Dofetilide	C19H27N3O5S2	3.38	71329		CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C	InChI=1S/C19H27N3O5S2/c1-22(13-12-16-4-6-17(7-5-16)20-28(2,23)24)14-15-27-19-10-8-18(9-11-19)21-29(3,25)26/h4-11,20-21H,12-15H2,1-3H3	IXTMWRCNAAVVAI-UHFFFAOYSA-N						removed another duplicate entry
0228_00002	Dolasetron	C19H20N2O3	1.9	3148		C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54	InChI=1S/C19H20N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,20H,5-8,10H2	UKTAZPQNNNJVKR-UHFFFAOYSA-N						removed another duplicate entry
0228_00003	Lofepramine	C26H27ClN2O	1.91	3947		CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl	InChI=1S/C26H27ClN2O/c1-28(19-26(30)22-13-15-23(27)16-14-22)17-6-18-29-24-9-4-2-7-20(24)11-12-21-8-3-5-10-25(21)29/h2-5,7-10,13-16H,6,11-12,17-19H2,1H3	SAPNXPWPAUFAJU-UHFFFAOYSA-N						removed another duplicate entry
0228_00004	Lofexidine	C11H12Cl2N2O	2.65	30668		CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl	InChI=1S/C11H12Cl2N2O/c1-7(11-14-5-6-15-11)16-10-8(12)3-2-4-9(10)13/h2-4,7H,5-6H2,1H3,(H,14,15)	KSMAGQUYOIHWFS-UHFFFAOYSA-N						removed another duplicate entry
0228_00005	Lomerizine	C27H30F2N2O3	1.7	3949		COC1=C(C(=C(C=C1)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OC)OC	InChI=1S/C27H30F2N2O3/c1-32-24-13-8-21(26(33-2)27(24)34-3)18-30-14-16-31(17-15-30)25(19-4-9-22(28)10-5-19)20-6-11-23(29)12-7-20/h4-13,25H,14-18H2,1-3H3	JQSAYKKFZOSZGJ-UHFFFAOYSA-N						removed another duplicate entry
0228_00006	Lomifylline	C13H18N4O3	1.09	65599		CC(=O)CCCCN1C=NC2=C1C(=O)N(C(=O)N2C)C	InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-8-14-11-10(17)12(19)16(3)13(20)15(11)2/h8H,4-7H2,1-3H3	XBEDAMVJWVPVDS-UHFFFAOYSA-N						removed another duplicate entry
0228_00007	Loratadine	C22H23ClN2O2	1.11	3957		CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1	InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3	JCCNYMKQOSZNPW-UHFFFAOYSA-N						removed another duplicate entry
0228_00008	(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid	C10H9NO3	2.02	3080590		C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O	InChI=1S/C10H9NO3/c12-9(13)5-7-6-3-1-2-4-8(6)11-10(7)14/h1-4,7H,5H2,(H,11,14)(H,12,13)	ILGMGHZPXRDCCS-UHFFFAOYSA-N						removed another duplicate entry
0228_00009	(2R)-3-Hydroxyisovaleroylcarnitine		7.23											
0228_00010	(R)-Butyrylcarnitine	C11H21NO4	5.77	213144	CCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/t9-/m1/s1	QWYFHHGCZUCMBN-SECBINFHSA-N						removed another duplicate entry
0228_00011	(S)-Cotinine N-oxide	C10H12N2O2	3.87	9815514	CN1[C@@H](CCC1=O)C2=C[N+](=CC=C2)[O-]	CN1C(CCC1=O)C2=C[N+](=CC=C2)[O-]	InChI=1S/C10H12N2O2/c1-11-9(4-5-10(11)13)8-3-2-6-12(14)7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	CIPULDKLIIVIER-VIFPVBQESA-N						removed another duplicate entry
