id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00001			0.581	1103	C(CCNCCCN)CNCCCN	C(CCNCCCN)CNCCCN							
0401_00002			0.586	5942	C(CN)CNCCCN	C(CN)CNCCCN							
0401_00003			0.588	1102	C(CCNCCCN)CN	C(CCNCCCN)CN							
0401_00004			0.596	916	CC(=O)NCCCNCCCCNCCCN	CC(=O)NCCCNCCCCNCCCN							
0401_00005			0.606	1045	C(CCN)CN	C(CCN)CN							
0401_00006			0.613	273	C(CCN)CCN	C(CCN)CCN							
0401_00007			0.613	428	C(CN)CN	C(CN)CN							
0401_00008			0.613	774	C1=C(NC=N1)CCN	C1=C(NC=N1)CCN							
0401_00009			0.62	165271	C1=C(NC=N1)C[C@@H](CO)N								
0401_00010			0.621	69520	CN1C=NC=C1CCN	CN1C=NC=C1CCN							
0401_00011			0.628	199	C(CCN=C(N)N)CN								
0401_00012			0.649	1029	C(CC(C(=O)O)N)C(CN)O								
0401_00013			0.649	3032849	C(C[C@@H](C(=O)O)N)[C@H](CN)O								
0401_00014			0.65	5962	C(CCN)C[C@@H](C(=O)O)N								
0401_00015			0.653	6262	C(C[C@@H](C(=O)O)N)CN								
0401_00016			0.653	71082	C(C[C@H](C(=O)O)N)CN								
0401_00017			0.662	440120	C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N								
0401_00018			0.663	97328	C([C@@H](C(=O)O)N)N								
0401_00019			0.668	6274	C1=C(NC=N1)C[C@@H](C(=O)O)N								
0401_00020			0.673	439224	C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN								
0401_00021			0.676	64969	CN1C=NC=C1C[C@@H](C(=O)O)N								
0401_00022			0.676	439213	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O								
0401_00023			0.676	24154	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O								
0401_00024			0.676	440049	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)N)O)O)O								
0401_00025			0.679	6322	C(C[C@@H](C(=O)O)N)CN=C(N)N								
0401_00026			0.686	8113	C(CO)NCCO	C(CO)NCCO							
0401_00027			0.686	439283	C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N								
0401_00028			0.686	439498	C([C@@H](C(=O)NCC(=O)O)N)S								
0401_00029			0.687	11163	C(C(=O)NCC(=O)O)N	C(C(=O)NCC(=O)O)N							
0401_00030			0.69	9085	C(CCN=C(N)N)C[C@@H](C(=O)O)N								
0401_00031			0.695	1052	CC1=NC=C(C(=C1O)CN)CO	CC1=NC=C(C(=C1O)CN)CO							
0401_00032			0.702	439258	C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N								
0401_00033			0.703	440997	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O								
0401_00034			0.705	5951	C([C@@H](C(=O)O)N)O								
0401_00035			0.705	305	C[N+](C)(C)CCO								
0401_00036			0.705888889	129316446	[2H]C([2H])([2H])[N+](C[C@@H](CC(=O)[O-])O)(C([2H])([2H])[2H])C([2H])([2H])[2H]								
0401_00037			0.707	1145	C[N+](C)(C)[O-]	C[N+](C)(C)[O-]							
0401_00038			0.712	6267	C([C@@H](C(=O)O)N)C(=O)N								
0401_00039			0.713	89034	CS(=N)(=O)CC[C@@H](C(=O)O)N								
0401_00040			0.717	1015	C(COP(=O)(O)O)N	C(COP(=O)(O)O)N							
0401_00041			0.717	67678	C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N								
0401_00042			0.718	1123	C(CS(=O)(=O)O)N	C(CS(=O)(=O)O)N							
0401_00043			0.718	73563	C([C@H]([C@H]([C@@H]([C@H](C(=O)O)N)O)O)O)O								
0401_00044			0.72	239	C(CN)C(=O)O	C(CN)C(=O)O							
0401_00045			0.72	339	C(CP(=O)(O)O)N	C(CP(=O)(O)O)N							
0401_00046			0.72	1088	CNCC(=O)O								
0401_00047			0.72	5950	C[C@@H](C(=O)O)N								
0401_00048			0.72	71080	C[C@H](C(=O)O)N								
0401_00049			0.72	457	C[N+]1=CC=CC(=C1)C(=O)N	C[N+]1=CC=CC(=C1)C(=O)N							
0401_00050			0.721	72361	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)N)O)O)OS(=O)(=O)O								
0401_00051			0.722	119	C(CC(=O)O)CN	C(CC(=O)O)CN							
0401_00052			0.722	10111	CN=C(N)N	CN=C(N)N							
0401_00053			0.723	10917	C[N+](C)(C)C[C@@H](CC(=O)[O-])O								
0401_00054			0.724	5961	C(CC(=O)N)[C@@H](C(=O)O)N								
0401_00055			0.726	5960	C([C@@H](C(=O)O)N)C(=O)O								
0401_00056			0.726	83887	C([C@H](C(=O)O)N)C(=O)O								
0401_00057			0.732	763	C(C(=O)O)N=C(N)N								
0401_00058			0.732	6288	C[C@H]([C@@H](C(=O)O)N)O								
0401_00059			0.732	12647	C(CO)[C@@H](C(=O)O)N								
0401_00060			0.732	99289	C[C@@H]([C@@H](C(=O)O)N)O								
0401_00061			0.733	137	C(CC(=O)O)C(=O)CN	C(CC(=O)O)C(=O)CN							
0401_00062			0.733	825	C1C(CNC1C(=O)O)O	C1C(CNC1C(=O)O)O							
0401_00063			0.733	5810	C1[C@H](CN[C@@H]1C(=O)O)O								
0401_00064			0.733	69248	C1[C@H](NCC1O)C(=O)O								
0401_00065			0.733	440014	C1[C@H](CN[C@H]1C(=O)O)O								
0401_00066			0.735	107812	C(CS(=O)O)N	C(CS(=O)O)N							
0401_00067			0.735	1014	C[N+](C)(C)CCOP(=O)(O)O	C[N+](C)(C)CCOP(=O)(O)O							
0401_00068			0.739	597	C1=C(NC(=O)N=C1)N								
0401_00069			0.74	892	C1(C(C(C(C(C1O)O)O)O)O)O								
0401_00070			0.74	588	CN1CC(=O)N=C1N	CN1CC(=O)N=C1N							
0401_00071			0.74	18950	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O								
0401_00072			0.74	439192	C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O								
0401_00073			0.74	2723872	C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O								
0401_00074			0.74	10130220	C([C@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O								
0401_00075			0.74	1131	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O							
0401_00076			0.743	673	CN(C)CC(=O)O	CN(C)CC(=O)O							
0401_00077			0.745	33032	C(CC(=O)O)[C@@H](C(=O)O)N								
