rt	comment	id	pubchem.smiles.isomeric
2.35		draft_01362_00001	C1=C(NC=N1)C[C@@H](C(=O)O)N
3.02		draft_01362_00002	C(C[C@@H](C(=O)O)N)CN=C(N)N
3.75		draft_01362_00003	C([C@@H](C(=O)O)N)C(=O)N
4.45		draft_01362_00004	C(CC(=O)N)[C@@H](C(=O)O)N
5.14		draft_01362_00005	C([C@@H](C(=O)O)N)O
5.85		draft_01362_00006	C(C(=O)O)N
5.87		draft_01362_00007	C(CO)N
6.29		draft_01362_00008	C[C@H]([C@@H](C(=O)O)N)O
6.31		draft_01362_00009	C([C@@H](C(=O)O)N)S
6.5		draft_01362_00010	C(CCNCCCN)CNCCCN
6.78		draft_01362_00011	C[C@@H](C(=O)O)N
7.25		draft_01362_00012	C(CC(=O)C(=O)O)CC(=O)O
8.11		draft_01362_00013	CC(=O)O
8.32		draft_01362_00014	C1=CC(=C(N=C1)C(=O)O)C(=O)O
8.37		draft_01362_00015	C1C[C@H](NC1)C(=O)O
9.06		draft_01362_00016	CSCC[C@@H](C(=O)O)N
9.21		draft_01362_00017	C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N
9.34		draft_01362_00018	CC(C)[C@@H](C(=O)O)N
9.67		draft_01362_00019	CCC(=O)O
9.8		draft_01362_00020	C(CCNCCCN)CN
9.89		draft_01362_00021	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
9.89		draft_01362_00022	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
11.37		draft_01362_00023	CC(C)C(=O)O
11.45		draft_01362_00024	CC[C@H](C)[C@@H](C(=O)O)N
11.69		draft_01362_00025	CC(C)C[C@@H](C(=O)O)N
11.76		draft_01362_00026	CCCC(=O)O
11.78		draft_01362_00027	C1=CC=C(C=C1)CC(C(=O)O)N
11.91		draft_01362_00028	CC(=O)NCCC1=CNC2=CC(=C(C=C21)OC)O
12.08		draft_01362_00029	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
12.1		draft_01362_00030	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
