rt	comment	id	pubchem.cid	pubchem.smiles.isomeric
6.31		draft_23062_00001	99601768	C[C@]12CC[C@@](O)([H])C[C@]1([H])CC[C@]3([H])[C@]2([H])C[C@](O)([H])[C@@]4(CC[C@@](O)([H])[C@@]34[H])C
6.52		draft_23062_00002	44263343	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@](C(=O)CO)(O)[C@@]3(CO)C[C@H](O)[C@H]21)C
6.59		draft_23062_00003	11876959	c1(O)ccc2c(c1)C(=O)C[C@H]1[C@@H]3C[C@@H](O)[C@H](O)[C@@]3(C)CC[C@H]21
6.76		draft_23062_00004	44263344	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@](C(=O)CO)(O)[C@@]3(C=O)C[C@H](O)[C@H]21)C
6.97		draft_23062_00005	53255472	[C@@H]12[C@H](O)C[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
7.01		draft_23062_00006	12073407	[C@@H]12CC[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2C[C@H](O)C2=CC(=O)CC[C@]12C
7.01		draft_23062_00007	440168	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C=C(O)C=C3)[C@H](O)C[C@@]21[H]
7.06		draft_23062_00008	65541	[C@@H]12CC[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2[C@H](O)CC2=CC(=O)CC[C@]12C
7.1		draft_23062_00009	127113	C1C[C@H]2[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@@H]([C@@H]2[C@H]2CCC(=O)C=C12)O)C=O
7.13		draft_23062_00010	5756	c1cc(cc2c1[C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H]([C@@H](C2)O)O)C)O
7.15		draft_23062_00011	259693	C1=C2C(C[C@H]([C@]3([C@@]4(CC[C@@H]([C@]4(CC[C@@]32[H])C)O)[H])[H])O)=CC(=C1)O
7.15		draft_23062_00012	5839	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)CO)C=O)C
7.18		draft_23062_00013	71309808	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@]3(C[C@@H]1O[C@@H]3O)[C@H](CC2)C(=O)CO)C)O
7.25		draft_23062_00014	21252251	[C@@H]12CC=C3C[C@@H](O)CC[C@]3(C)[C@H]1CC[C@]1(C)[C@H](O)[C@@H](O)C[C@@H]21
7.28		draft_23062_00015	9817954	[C@@H]12CCC(=O)[C@@]1(C)CC[C@H]1[C@H]2[C@@H](O)C=C2C[C@@H](O)CC[C@]12C
7.29		draft_23062_00016	115116	[H][C@@]12C[C@@H](O)C(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
7.3		draft_23062_00017	150968	[C@@H]12CC[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12CO
7.33		draft_23062_00018	66418	C1=C2C(CC[C@]3([C@@]4([C@H](C[C@@H]([C@]4(CC[C@@]32[H])C)O)O)[H])[H])=CC(=C1)O
7.33		draft_23062_00019	21252252	C1C[C@@H](CC2=CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3C[C@H]([C@H]1O)O)C)O
7.34		draft_23062_00020	11222	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
7.38		draft_23062_00021	65543	C1(=O)CC[C@]2(C(=C1)[C@@H](C[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)O)O)C
7.39		draft_23062_00022	99574281	C1C[C@@H](C[C@H]2[C@]1([C@@H]1[C@@H]([C@@H](C2)O)[C@H]2[C@](CC1)(C[C@H](C2)O)C)C)O
7.46		draft_23062_00023	246164	C1[C@H](C[C@@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)([C@@H](CO)O)O)C)C)O
7.47		draft_23062_00024	21252247	c1(ccc2c(c1)CC[C@H]1[C@@H]3C[C@@H]([C@H]([C@@]3(C)CC[C@H]21)O)O)O
7.47		draft_23062_00025	68929	c1(O)ccc2c(c1)CC[C@H]1[C@@H]3C[C@@H]([C@H](O)[C@@]3(C)CC[C@H]21)O
7.47		draft_23062_00026	44358113	C[C@]12CCC3c4ccc(cc4CCC3C1C[C@H]([C@H]2O)O)O
7.53		draft_23062_00027	65545	[C@@H]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
7.57		draft_23062_00028	193431	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C
7.58		draft_23062_00029	66393	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC(=O)C(=O)C=C3CC[C@@]21[H]
7.61		draft_23062_00030	5282360	c1c(c(c2c(c1)[C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)O)O
7.61		draft_23062_00031	5754	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@](C(=O)CO)(O)[C@@]3(C)C[C@H](O)[C@H]21)C
7.62		draft_23062_00032	160499	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@](CC2)([C@H](CO)O)O)C)C)O
7.63		draft_23062_00033	65517	[C@@H]12CCC(=O)[C@@]1(C)CC[C@H]1[C@H]2[C@H](O)C=C2C[C@@H](O)CC[C@]12C
7.64		draft_23062_00034	12444612	C[C@]12CC[C@@H](C[C@@H]1CC[C@H]1[C@@H]3CC[C@](C(=O)CO)([C@@]3(C)C[C@@H]([C@H]21)O)O)O
7.64		draft_23062_00035	92748	[C@@H]1(O)CC[C@]2([C@H](C1)CC[C@H]1[C@@H]3CC[C@@]([C@@]3(C)C[C@H](O)[C@H]21)(C(=O)CO)O)C
7.69		draft_23062_00036	246873	[H][C@@]12CC[C@](O)([C@@H](O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C
7.7		draft_23062_00037	22295806	[C@H]1([C@]2([C@]3([C@@](C4=C(C=C(O)C=C4)CC3)(CC[C@@]2(C(=O)C1)C)[H])[H])[H])O
7.7		draft_23062_00038	22833517	c1(O)ccc2c(c1)CC[C@H]1[C@@H]3C[C@@H](C(=O)[C@@]3(C)CC[C@H]21)O
7.72		draft_23062_00039	252379	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)CO
7.73		draft_23062_00040	101608811	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])c3ccc(OS(O)(=O)=O)c(O)c3CC[C@@]21[H]
7.74		draft_23062_00041	245259	[H][C@@]12CC[C@](O)([C@H](O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C
7.75		draft_23062_00042	222786	C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@](CC2)(C(=O)CO)O)C)C
7.76		draft_23062_00043	13847328	[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C)C=O
7.78		draft_23062_00044	65542	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H]([C@@H](C2)O)[C@H]2[C@](CC1)(C(=O)CC2)C)C
7.81		draft_23062_00045	131769817	C[C@]12CC[C@H]3C4=C(CC[C@@H]3[C@H]1CC[C@@H]2O)C(=O)C(=O)C=C4
7.81		draft_23062_00046	25108320	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C=C2C[C@@H](O)CC[C@]12C
7.82		draft_23062_00047	53477688	C[C@]12CCC3c4ccc(cc4CCC3C1CC(=O)C2=O)O
7.86		draft_23062_00048	247304	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3
7.97		draft_23062_00049	21151226	[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])CC(=O)CC[C@]12C)C=O
7.97		draft_23062_00050	21122975	C[C@]12CC[C@H]3[C@@H](C[C@H](O)c4cc(O)ccc34)[C@@H]1CCC2=O
8		draft_23062_00051	11954160	[C@@H]12CCC(=O)[C@@]1(C)CC[C@H]1[C@H]2C(=O)C[C@H]2C[C@@H](O)CC[C@]12C
8.01		draft_23062_00052	6451197	[C@@H]12C[C@H](O)C(=O)[C@@]1(C)CC[C@H]1[C@H]2CC=C2C[C@@H](O)CC[C@]12C
8.03		draft_23062_00053	53481498	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C(=O)O)C1CC[C@@H]2C(=O)CO
8.03		draft_23062_00054	150890	[C@@H]12CC(=O)[C@@H]([C@@]1(C)CC[C@H]1[C@H]2CC=C2C[C@@H](O)CC[C@]12C)O
8.06		draft_23062_00055	5864	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)CO)O)C)C)O
8.06		draft_23062_00056	9971251	c1(ccc2c(c1O)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)O
8.07		draft_23062_00057	440623	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3
8.1		draft_23062_00058	68126051	[H][C@@]12CC[C@H](C(=O)C(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
8.15		draft_23062_00059	11966170	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
8.18		draft_23062_00060	170796	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)[C@@]2([H])C[C@@H](O)CC[C@]12C
8.19		draft_23062_00061	12816693	C1CC(=O)C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)CO)O)C)C
8.2		draft_23062_00062	114920	[C@@H]12CC[C@H](O)[C@@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
8.21		draft_23062_00063	440054	C1CC(=O)C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@](CC2)(C(=O)CO)O)C)C
8.3		draft_23062_00064	102030	[C@@H]12C[C@@H](O)C(=O)[C@@]1(C)CC[C@H]1[C@H]2CC=C2C[C@@H](O)CC[C@]12C
8.32		draft_23062_00065	15708880	[C@@H]12C[C@H](O)[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C
8.37		draft_23062_00066	9547705	[C@]12([C@@H](C[C@@H](CC1)O)C[C@H]([C@@H]1[C@@H]2C[C@@H]([C@]2([C@H]1CC[C@@H]2[C@@H](C(=O)O)C)C)O)O)C
8.38		draft_23062_00067	5866	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@](CC2)(C(=O)CO)O)C)C)O
8.39		draft_23062_00068	440574	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)[C@@H](C2)O)C)C
8.44		draft_23062_00069	192735	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
8.47		draft_23062_00070	164838	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@](CC2)(C(=O)CO)O)C)C
8.5		draft_23062_00071	14311666	[C@@H]12CC[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)[C@H](O)C[C@]12C
8.53		draft_23062_00072	5311364	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC(=O)[C@H]21)C(=O)CO)C
8.54		draft_23062_00073	14311667	[C@@H]12CC[C@H](O)[C@@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)[C@@H](O)C[C@]12C
8.54		draft_23062_00074	92042746	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C(=O)C[C@]12C)[C@@H](O)CO
8.59		draft_23062_00075	12850019	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C=O
8.64		draft_23062_00076	9818021	C1C[C@@H](CC2=CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3C[C@H]([C@@H]1O)O)C)O
8.65		draft_23062_00077	3001028	c1(ccc2c(c1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)OS(=O)(=O)O
8.66		draft_23062_00078	254631	C1[C@H](C[C@@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@@](CC2)(O)[C@@H](O)C)C)C)O
8.68		draft_23062_00079	223997	[H][C@@]12CCC(=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
8.7		draft_23062_00080	65554	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@](CC2)(C(=O)CO)O)C)C
8.74		draft_23062_00081	9815044	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C[C@@]2([H])C[C@@H](O)CC[C@]12C
8.8		draft_23062_00082	92827	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@@](CC2)(O)C(=O)C)C)C
8.81		draft_23062_00083	5753	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@@]3(C)C[C@H](O)[C@H]21)C
8.87		draft_23062_00084	94141	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)(C(=O)CC2)C)C
8.87		draft_23062_00085	16061357	C1C[C@@H](C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)(C(=O)CC2)C)C)O
8.89		draft_23062_00086	53481499	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C=O)C1CC[C@@H]2C(=O)CO
8.93		draft_23062_00087	9967418	C1C[C@@H](CC2=C[C@H]([C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)C)C)O)O
9.04		draft_23062_00088	440707	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@]([C@@]3(C)CC[C@H]21)(C(=O)CO)O)C
9.06		draft_23062_00089	223684	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@H](CC2)C(=O)CO)C)C)O
9.08		draft_23062_00090	243761	C1CC(=O)C=C2CC[C@H]3[C@@H]4C[C@H]([C@H](C(=O)C)[C@@]4(C)CC[C@@H]3[C@@]12C)O
9.1		draft_23062_00091	101790	C1C[C@H](C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)CO)C)C)O
9.11		draft_23062_00092	65553	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)CO)C)C)O
9.16		draft_23062_00093	22960069	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@H]1O)(C(=O)CC2)C)C
9.18		draft_23062_00094	145453462	[H][C@@]12CC[C@H](C(=O)CC(O)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
9.18		draft_23062_00095	101849	C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CCC4=O)C)O)O
9.21		draft_23062_00096	68570	[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
9.26		draft_23062_00097	13267935	[C@@]12([C@H]([C@H]3[C@H](CC2)c2c(CC3)cc(c(c2)O)OC)CC[C@@H]1O)C
9.32		draft_23062_00098	10286365	[C@H]1(CC[C@]2([C@H](C1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)C[C@@H]([C@H]21)O)C)O
9.42		draft_23062_00099	92854	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C=O
9.49		draft_23062_00100	92730	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@H]1O)([C@H](CC2)C(=O)C)C)C
9.49		draft_23062_00101	254632	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)([C@H](CC2)C(=O)CO)C)C
9.52		draft_23062_00102	44263345	[H][C@@]12CCC([C@]1(CC([C@]3([C@]2(CC[C@]4([H])CC(CC[C@]34C)=O)[H])[H])=O)C)C(CO)=O
9.55		draft_23062_00103	101850	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)(C(=O)CC2)C)C)O
9.58		draft_23062_00104	102029	C1C[C@H](C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1=O)(C(=O)CC2)C)C)O
9.62		draft_23062_00105	21145110	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)CO)C)C
9.63		draft_23062_00106	11243707	C1C[C@H](C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)[C@@H](C2)O)C)C)O
9.63		draft_23062_00107	3080546	C1CC(=O)C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)CO)C)C
9.72		draft_23062_00108	21634212	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])CC(=O)CC[C@]12[H]
9.74		draft_23062_00109	11347327	C1C[C@H](C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)[C@@H](C2)O)C)C)O
9.74		draft_23062_00110	194066	c1(ccc2c(c1OC)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)O
9.74		draft_23062_00111	69943735	[C@@H]12CCC(=O)[C@@]1(C)C[C@H](O)[C@H]1[C@H]2CC[C@@H]2CC(=O)CC[C@]12C
9.76		draft_23062_00112	136297	C1[C@@H](C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)C)O
9.81		draft_23062_00113	12133250	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@H]([C@@]3(C)CC[C@H]21)OS(=O)(=O)O)C
9.81		draft_23062_00114	119207	C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)OS(=O)(=O)O)C)C
9.83		draft_23062_00115	13831793	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])c3cc(O)c(OC)cc3CC[C@@]21[H]
9.87		draft_23062_00116	6452574	CC(=O)[C@H]1[C@@H](C[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O)O
9.91		draft_23062_00117	12594	[C@@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@H]23)C1)C)OS(=O)(=O)O
9.92		draft_23062_00118	440368	[C@]12([C@@H]3[C@H]([C@H]4[C@@]([C@@]([C@@H](O)C)(CC4)O)(CC3)C)CCC1=CC(=O)CC2)C
9.97		draft_23062_00119	12133279	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])CC(=O)C=C[C@]12C
10.03		draft_23062_00120	107835	[H][C@@]12CC[C@](O)(CCO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
10.07		draft_23062_00121	5757	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
10.14		draft_23062_00122	65555	[C@H]1(CC[C@]2([C@@H](C1)CC[C@H]1[C@@H]3CC[C@@]([C@@]3(C)CC[C@H]21)(C(=O)CO)O)C)O
10.3		draft_23062_00123	6013	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)O)C
10.42		draft_23062_00124	9965876	C1[C@H](C[C@@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@@H](CC2)O)C)C)O
10.42		draft_23062_00125	9835719	C[C@]12CC[C@@H](CC1CCC1C3CC[C@H]([C@@]3(C)CCC21)O)O
10.42		draft_23062_00126	53477687	C[C@]12CC[C@@H](CC1CCC1C3CC[C@@H]([C@@]3(C)CCC21)O)O
10.42		draft_23062_00127	9857254	[C@H]1(CC[C@]2([C@H](C1)CC[C@H]1[C@@H]3CC[C@H]([C@@]3(C)CC[C@H]21)O)C)O
10.42		draft_23062_00128	242332	C1[C@@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)C)O
10.42		draft_23062_00129	441301	C1[C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(CC2)O)C)C)O
10.42		draft_23062_00130	134494	C1[C@H](C[C@@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)C)O
10.47		draft_23062_00131	6166	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)C(=O)CO)C
10.47		draft_23062_00132	247020	C1C[C@@H](CC2=CC[C@@H]3[C@@H]([C@@]12C)CC[C@]1([C@H]3CC[C@@H]1C(=O)CO)C)O
10.48		draft_23062_00133	66414	c1(c(cc2c(c1)[C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)O)OC
10.49		draft_23062_00134	159663	C1[C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C)OS(=O)(=O)O
10.49		draft_23062_00135	9907417	[C@H]1(CC[C@]2([C@@H](C1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)C)OS(=O)(=O)O
10.52		draft_23062_00136	53232379	C1[C@@H](C[C@]2([C@](C1)([C@@H]1[C@@H](C[C@H]2O)[C@H]2[C@](CC1)(CCC2)C)C)O)O
10.57		draft_23062_00137	101788	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](C[C@@H]1O)([C@H](CC2)C(=O)C)C)C
10.61		draft_23062_00138	18665256	[H][C@@]12CC[C@H](OS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C
10.68		draft_23062_00139	91451	[C@@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CC[C@]([C@@]4(C)CC[C@H]23)(O)C(=O)C)C1)C)O
10.7		draft_23062_00140	5870	c1(ccc2c(c1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)O
