rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric
2.13		draft_25135_00001	72	C1=CC(=C(C=C1C(=O)O)O)O	
2.61		draft_25135_00002	5281417		C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
2.7		draft_25135_00003	72277		C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
2.95		draft_25135_00004	44584241		C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@H]2[C@@H]([C@](C(O2)O)(COC(=O)C3=CC(=C(C(=C3)O)O)O)O)O
2.96		draft_25135_00005	135	C1=CC(=CC=C1C(=O)O)O	
3.08		draft_25135_00006	1794427		C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O
3.1		draft_25135_00007	9064		C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
3.11		draft_25135_00008	73160		C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
3.48		draft_25135_00009	1017	C1=CC=C(C(=C1)C(=O)O)C(=O)O	
3.54		draft_25135_00010	689043		C1=CC(=C(C=C1/C=C/C(=O)O)O)O
3.54		draft_25135_00011	442435		C=C[C@H]1[C@@H](OC=C2[C@]1(CCOC2=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
3.57		draft_25135_00012	122738		C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O
3.58		draft_25135_00013	8468	COC1=C(C=CC(=C1)C(=O)O)O	
3.67		draft_25135_00014	5273568		COC1=C(C(=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
3.86		draft_25135_00015	7420	C1=CC(=CC(=C1)O)C(=O)O	
3.87		draft_25135_00016	10742	COC1=CC(=CC(=C1O)OC)C(=O)O	
3.95		draft_25135_00017	12122	C1=CC(=CC(=C1)O)CC(=O)O	
3.96		draft_25135_00018	72276		C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
3.97		draft_25135_00019	57376202		CC(C)(C)OC(=O)N1CCC([C@H]1N)C(=O)OCC2=CC=CC=C2
3.98		draft_25135_00020	1738	COC1=C(C=CC(=C1)CC(=O)O)O	
4.07		draft_25135_00021	5944		C[C@@]12[C@H]3CC[C@@H]([C@@]1(C(=O)OC2=O)C)O3
4.08		draft_25135_00022	88708		C=C[C@H]1[C@@H](OC=C2C1=CCOC2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
4.08		draft_25135_00023	87691		C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
4.11		draft_25135_00024	115121		C[C@@H]1C[C@H]([C@]2([C@@]13C[C@H]([C@]([C@@]24COC4=O)(C)O)OC(=O)[C@@H]3O)O)O
4.2		draft_25135_00025	73467		C[C@H]1CC(=O)[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
4.2		draft_25135_00026	161036		C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
