id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
draft_45277_00001			1.081	16698		OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O							
draft_45277_00002			1.091	15025		OP(O)(=O)CN(CCN(CP(O)(O)=O)CP(O)(O)=O)CP(O)(O)=O							
draft_45277_00003			1.131	3896586		CCN(CC)CC(CP(O)(O)=O)P(O)(O)=O							
draft_45277_00004			1.223	251119		NC1=C(NC(=O)NC1=O)S(O)(=O)=O							
draft_45277_00005			1.253	3159586		OC(=O)C1=NNC(=O)N1							
draft_45277_00006			1.273	326067		O=C1OCC2=C1NC(=O)NC2=O							
draft_45277_00007			1.3030000000000002	97587		NCCCP(O)(O)=O							
draft_45277_00008			1.334	967		OC(=O)C1=CC(=O)NC(=O)N1							
draft_45277_00009			1.416	97915		OC1NC(=O)NC1O							
draft_45277_00010			1.4549999999999998	8474		NC1=CC(=CC=C1)S(O)(=O)=O							
draft_45277_00011			1.457	4585383		OP(=O)(CN1CCCC1=O)CN1CCCC1=O							
draft_45277_00012			1.466	4677039		NC(=O)CC(NC(N)=O)C(O)=O							
draft_45277_00013			1.467	1174		O=C1NC=CC(=O)N1							
draft_45277_00014			1.488	134606		C[N+]1=CC(=CC=C1)C(O)=O							
draft_45277_00015			1.546	5297512		CC(=O)NC(NC(C)=O)C(O)C(O)C(O)C(O)CO							
draft_45277_00016			1.556	77612		CC1=C(NC(=O)NC1=O)C(O)=O							
draft_45277_00017			1.557	4266416		OS(=O)(=O)C1=CC=C(C=C1)N1C(=O)CCC1=O							
draft_45277_00018			1.567	1487350		CN1C(=O)NC(=CC1=O)C(O)=O							
draft_45277_00019			1.602	28819630		NC(=O)C1=CN(CC(O)=O)C(=O)NC1=O							
draft_45277_00020			1.607	178		CC(N)=O							
draft_45277_00021			1.6235	1132		CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N							
draft_45277_00022			1.633	291		C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O							
draft_45277_00023			1.638	1399872		OC(=O)C1=CNC(=O)N1							
draft_45277_00024			1.655	79784		OCC(CO)(CO)NCC(O)=O							
draft_45277_00025			1.665	78165		OS(=O)(=O)CCN1CCOCC1							
draft_45277_00026			1.666	70807		OS(=O)(=O)CCCN1CCOCC1							
draft_45277_00027			1.6700000000000002	248		C[N+](C)(C)CC(O)=O							
draft_45277_00028			1.7094999999999998	9750	N[C@@H](CCCNC(N)=O)C(O)=O								
draft_45277_00029			1.777	14181	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O								
draft_45277_00030			1.911	536854		CC(=O)NC(NC(C)=O)NC(C)=O							
draft_45277_00031			1.934	9257		N1C=NN=C1							
draft_45277_00032			1.944	73629	[C@H]([C@@H](C(=O)NN)O)(C(=O)NN)O	NNC(=O)C(O)C(O)C(=O)NN							
draft_45277_00033			1.945	23831		OCCN1CCN(CCS(O)(=O)=O)CC1							
draft_45277_00034			1.962	7293		CNC(=O)NC							
draft_45277_00035			1.996	169306		OC(=O)C1=NC=NC=C1							
draft_45277_00036			2.05	73949		O=C1NCCO1							
draft_45277_00037			2.099	67516		N1C=CN=N1							
draft_45277_00038			2.103	6582		CNC(C)=O							
draft_45277_00039			2.1085000000000003	439918	NC(N)=N[C@@H](CC(O)=O)C(O)=O								
draft_45277_00040			2.123	2064469		OCCNC(=O)CN1C=CC(=O)NC1=O							
draft_45277_00041			2.161	138107		CC1=NNN=N1							
draft_45277_00042			2.174	298035		OC(=O)CC1=CNC(=O)NC1=O							
draft_45277_00043			2.174	1269049		CNC(=S)NNC(C)=O							
draft_45277_00044			2.184	67045		OC(=O)C1=CC(=O)N(N1)C1=CC=C(C=C1)S(O)(=O)=O							
draft_45277_00045			2.235	69256		NC(=O)C1=CC(O)=C(O)C(O)=C1							
draft_45277_00046			2.245	1201441		NC1=CC(=O)NC(=S)N1							
draft_45277_00047			2.3018	6578		CCC(N)=O							
draft_45277_00048			2.3680000000000003	220659		NNC(=O)CCCO							
draft_45277_00049			2.4896666670000003	24211999	N[C@H]1C[C@@H](CO)[C@H](O)[C@@H]1O								
draft_45277_00050			2.503	676123		C[N+](C)(C)C1=CNC(=O)N=C1							
draft_45277_00051			2.579	5200355		CNCC1=NNC(=O)N1							
draft_45277_00052			2.61	8016		CNCCO							
draft_45277_00053			2.619	906874		O=C1NC2=C(N1)C(=O)NC=C2							
draft_45277_00054			2.721	1269525		CC1=NN=C(N)NC1=O							
draft_45277_00055			2.751	69844		CC1=NC(N)=CC(=O)N1							
draft_45277_00056			2.766	3034366	C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O	NC1C(O)OC(CO)C(O)C1O							
draft_45277_00057			2.769	73561		NCC(O)CO							
draft_45277_00058			2.7920000000000003	82191		O=CN1CCNCC1							
draft_45277_00059			2.801	79341		OC1CCNCC1							
draft_45277_00060			2.846	16767281		OCC1CC(O)CN1							
draft_45277_00061			2.859	6503		NC(CO)(CO)CO							
draft_45277_00062			2.859	71563	CC(C)[C@@H](N)C(O)=O								
draft_45277_00063			2.896	2733586	C[C@@H](C(=O)N)OC	COC(C)C(N)=O							
draft_45277_00064			2.948	795		N1C=CN=C1							
draft_45277_00065			2.971	407091		CC1=CC=NC(=O)N1							
draft_45277_00066			2.984	322353		NC1=CC=CNC1=O							
draft_45277_00067			2.994	66059		C1NCC=C1							
draft_45277_00068			3.031	10366		OC(=O)C1=CC(=CN=C1)C(O)=O							
draft_45277_00069			3.0420000000000003	122766		CN1CC(CC1=O)C(O)=O							
draft_45277_00070			3.1075	445963	N[C@H]1CCOC1=O								
draft_45277_00071			3.124	10367		OC(=O)C1=CC=CC(=N1)C(O)=O							
draft_45277_00072			3.244	7902		CN(C)CCO							
draft_45277_00073			3.249	137		NCC(=O)CCC(O)=O							
draft_45277_00074			3.285	1531		CC(N)(CO)CO							
draft_45277_00075			3.29	4736916		CN1N=C(CCC1=O)C(O)=O							
draft_45277_00076			3.445	68958		NC1=CC=NC=N1							
draft_45277_00077			3.45	77821		O=CN1CCN(CC1)C=O							
draft_45277_00078			3.507	96160		CNCC#C							
draft_45277_00079			3.538	71602		CC(=O)NNC(=O)C1=CC=NC=C1							
draft_45277_00080			3.64	69221		COC(=O)CN							
draft_45277_00081			3.756	1390		CN1C=CN=C1							
draft_45277_00082			3.756	457		C[N+]1=CC(=CC=C1)C(N)=O							
draft_45277_00083			3.824	170254		CC(O)CCN							
draft_45277_00084			3.953	705533		NC(=O)NCC1=NC=CC=C1							
draft_45277_00085			3.959	29831		CN1CCOC1=O							
draft_45277_00086			3.96	7972		CN1CCOCC1							
draft_45277_00087			3.9735	819789		O=C1N=NC(=O)C2=C1NC=CN2							
draft_45277_00088			3.999	416960		COC(=O)C(N)CO							
draft_45277_00089			4.218	81643		CN(C)CC#C							
draft_45277_00090			4.239	419223		NC1CCOCC1							
draft_45277_00091			4.249	7955		NC1=NC(N)=NC(N)=N1							
draft_45277_00092			4.284000000000001	7510		OCC1=CC=CN=C1							
draft_45277_00093			4.34	12062		NC1=CC(=CC(N)=C1)C(O)=O							
draft_45277_00094			4.346	70103		CC1=NCCC1							
draft_45277_00095			4.357	685892		OCC(CO)(CO)C1=NC=CC=C1							
draft_45277_00096			4.391	11807		CC(C)(N)CO							
draft_45277_00097			4.398	10261815		NC1=NC(=O)N(CC(O)CO)C=C1							
draft_45277_00098			4.421	72924		OC(=O)C1=CNC(=O)C=C1							
draft_45277_00099			4.5120000000000005	7814		NC1=CC=C(N)C=C1							
draft_45277_00100			4.532	12749		CC1=NC=CN1							
draft_45277_00101			4.5840000000000005	9259		C1=CN=NC=C1							
draft_45277_00102			4.634	300977		CNCCOC							
draft_45277_00103			4.664	197815		CSC(N)=N							
draft_45277_00104			4.712999999999999	10927		CCCC(N)=O							
draft_45277_00105			4.725	5641		CCOC(N)=O							
draft_45277_00106			4.79	8871		O=C1NC=CC=C1							
draft_45277_00107			4.826	7852		CCCN							
draft_45277_00108			4.895	12290		O=C1C=CNC=C1							
draft_45277_00109			5.174	8021		CCNCC							
draft_45277_00110			5.268	819923		CN1C=CC(=CC1=O)C(O)=O							
draft_45277_00111			5.281000000000001	15689		NC1=NCCS1							
draft_45277_00112			5.351	151091		N1N=NC(=N1)C1=CN=CC=C1							
draft_45277_00113			5.362	22642050		CN1C(=O)N(C)C2=CC=C(C=C2C1=O)S(O)(=O)=O							
draft_45277_00114			5.382000000000001	16495773		CC1=C(C=CC=C1N)C(N)=O							
draft_45277_00115			5.4030000000000005	28690732		CN1C(=O)NC=C(CC(O)=O)C1=O							
draft_45277_00116			5.444	7994		CC(C)NCCO							
draft_45277_00117			5.454	20314		NC1=CC=C(N)N=C1							
draft_45277_00118			5.485	22714381		NC(=O)C1CCCOC1							
draft_45277_00119			5.495	748357		CC1=C2C=CC=CC2=NC(=C1)C(O)=O							
draft_45277_00120			5.506	604442		CC1=CC(C(O)=O)=C2C=CC=CC2=N1							
draft_45277_00121			5.513999999999999	1241483		OC(=O)CCNC1=NNC(=O)NC1=O							
draft_45277_00122			5.517	9955		NC1=NC=C2NC=NC2=N1							
draft_45277_00123			5.526	16765336		CC(=O)NC(NC(C)=O)C1=CC=NC=C1							
draft_45277_00124			5.537000000000001	10009		NC1=CN=CC=C1							
draft_45277_00125			5.541	8454		CN1CCCC1							
draft_45277_00126			5.5755	4913006		CC(=O)C(C)(C)N							
draft_45277_00127			5.589	728279		NC(=O)CNC1=CC=C(C=C1)C(N)=O							
draft_45277_00128			5.595	31722		NC(CC(O)=O)C1=CC=CC=C1							
draft_45277_00129			5.64	70957		OCC1=CC=CC(CO)=N1							
draft_45277_00130			5.6610000000000005	13195		CC1=CNC=N1							
draft_45277_00131			5.682	4141648		CC(=O)NC1=CC(=O)NC(C)=N1							
draft_45277_00132			5.682	1727		NC1=CC=NC=C1							
draft_45277_00133			5.718	1672		COCCCN							
draft_45277_00134			5.734	75082		CN(C)CC=C							
draft_45277_00135			5.744	88012		NC1=CC2=CNN=C2C=C1							
draft_45277_00136			5.7780000000000005	3614772		CNCC1COCCO1							
draft_45277_00137			5.7780000000000005	66898		OS(=O)(=O)CCNC1CCCCC1							
draft_45277_00138			5.797	97545		CN1CCN(CC1)C1=NC(=O)C=C(N)N1							
draft_45277_00139			5.826	7978		NC1=NC=CC=N1							
draft_45277_00140			5.848	12315		CCCNC							
draft_45277_00141			5.848	7935		NC1=CC(N)=CC=C1							
draft_45277_00142			5.8580000000000005	94721		OC(=O)C1=C2C=CC=CC2=NC2=CC=CC=C12							
draft_45277_00143			5.867999999999999	70452		CC(C)N(C)C							
draft_45277_00144			5.869	5287547		CC1=C2N=CNC2=NC=N1							
draft_45277_00145			5.878	16767481		OC(=O)CC(CC(O)=O)C1=CC=CC=N1							
draft_45277_00146			5.899	5071450		CN1C(=O)NC(=O)N(C)C1=O							
draft_45277_00147			5.91	9261		C1=CN=CC=N1							
draft_45277_00148			5.91	74208		CC1=CC=CN=N1							
draft_45277_00149			5.919	575017		CC(=O)CNC(C)(C)C(C)=O							
draft_45277_00150			5.92	121931		CC1=NC(=O)N(CCO)C(C)=C1							
draft_45277_00151			5.930000000000001	69263		NC1=CC=C(C=C1N)C(O)=O							
draft_45277_00152			5.949	4600245		CCNC(=O)CC(=O)NCC							
draft_45277_00153			5.95	62781		C[N+]1(C)CCCCC1							
draft_45277_00154			5.961	96891		OC(=O)C1=C2CCCCC2=NC2=CC=CC=C12							
draft_45277_00155			5.962000000000001	641544	C[C@H]1CCCN1								
draft_45277_00156			5.97	1532		CC1=CC(=O)NC(N)=N1							
draft_45277_00157			5.972	86986		NC(=O)CC1=CC=C(O)C=C1							
draft_45277_00158			5.981	638320	CN(C)\C=C\C=O								
draft_45277_00159			5.981	88369		CSC1=NCCN1							
draft_45277_00160			5.982	75420		NC1=NC=NC2=NNC=C12							
draft_45277_00161			5.992999999999999	3301		NCCN							
draft_45277_00162			6.011	12159		CCN(CC)CCCO							
draft_45277_00163			6.011	1511303		CC(C)(CO)NC1=CNC(=O)NC1=O							
draft_45277_00164			6.013	7975		CC1=CC=CC=N1							
draft_45277_00165			6.013	13500879		CCCC1=CC(=CC=N1)C(O)=O							
draft_45277_00166			6.034000000000001	67504		N1C=NC2=CC=CN=C12							
draft_45277_00167			6.053	3964517		NC1=NC2=C(NC(=O)N2C2CC(O)C(CO)O2)C(=O)N1							
draft_45277_00168			6.061000000000001	714360	CN1C2=C([C@H](C(=O)N2)CC(=O)O)C(=O)N(C1=O)C	CN1C2=C(C(CC(O)=O)C(=O)N2)C(=O)N(C)C1=O							
draft_45277_00169			6.071	595936		CC(=O)NC(CC1=CC=C(O)C=C1)C(N)=O							
draft_45277_00170			6.081	21853004		CN1C=NN=C1C1=CC=NC=C1							
draft_45277_00171			6.096	66130		CCC1=NC=CN1							
draft_45277_00172			6.107	8861		NC1=CC=CC(N)=N1							
draft_45277_00173			6.112	606911		COCC1=CC(=O)N2N=C(NC(C)=O)NC2=N1							
draft_45277_00174			6.117	10439		NC1=CC=CC=N1							
draft_45277_00175			6.127	7818		CN1CCN(C)CC1							
draft_45277_00176			6.138	352271		CC1=CC2=C(NC(=O)N2)C=C1N							
draft_45277_00177			6.158	787722		CC1=CC=C2N=C(C)C=C(C(O)=O)C2=C1							
draft_45277_00178			6.1615	544697		NC(=O)CCN1CCNCC1							
draft_45277_00179			6.179	9956		NC1=C(N)N=CC=C1							
draft_45277_00180			6.191999999999999	73558		NC(=O)C(O)C1=CC=CC=C1							
draft_45277_00181			6.193	21714		OC(=O)CC(NCC1=CC=CC=C1)C(O)=O							
draft_45277_00182			6.22	424361		NC1CCNCC1							
draft_45277_00183			6.221500000000001	255552		CN(C)C1=CNC(=O)NC1=O							
draft_45277_00184			6.251	235516		CNC(=O)C1=CC=C(N)C=C1							
draft_45277_00185			6.254	19960		NCCCCCCO							
draft_45277_00186			6.2620000000000005	7963		CC1=CC=NC=C1							
draft_45277_00187			6.263999999999999	69361		CC(=O)CC(C)(C)N							
draft_45277_00188			6.282	80293		NC1=CC(CO)=CC=C1							
draft_45277_00189			6.2935	1154237		NCC1=CC2=C(NC(=O)N2)C=C1							
draft_45277_00190			6.304	66171		C=CN1C=CN=C1							
draft_45277_00191			6.324	76621		NC(=N)NC(=N)N1CCOCC1							
draft_45277_00192			6.324	16767478		CNC1=CN=CC=N1							
draft_45277_00193			6.324	5298085		NC(CC(O)=O)C1=CC=C(C=C1)C(O)=O							
draft_45277_00194			6.324	723831		CC(=O)NC1=CC(NC(C)=O)=C(C)C(=C1)C(O)=O							
draft_45277_00195			6.337999999999999	12176		CCOC(=O)CN							
draft_45277_00196			6.345	6558		CC(C)CN							
draft_45277_00197			6.354	5200368		CC(=O)CNC(C)(C)C							
draft_45277_00198			6.3585	70315		CN1C(N)=NC2=C(N=CN2)C1=O							
draft_45277_00199			6.364	19804546		CCNCC(O)CC							
draft_45277_00200			6.375	76319		CC(C)(N)C#C							
draft_45277_00201			6.376	4837		C1CNCCN1							
draft_45277_00202			6.376	12061683		OCC1=CC=CN=C1C1=C(CO)C=CC=N1							
draft_45277_00203			6.386	3333106		CN1C=NC=C1C#C							
draft_45277_00204			6.386	1504963	C[N+]12CCC(CC1)[C@@H]3[C@H]2CC[C@@H](C3)O	C[N+]12CCC(CC1)C1CC(O)CCC21							
draft_45277_00205			6.395	11424317		CC(=O)NC1=CC=C(O)C(NC(C)=O)=C1							
draft_45277_00206			6.415	3157491		CN1CC2=CC=CC=C2CC1C(O)=O							
draft_45277_00207			6.415	685851	CC(=O)N1[C@@H]([C@@H](N(C1=O)C(=O)C)O)O	CC(=O)N1C(O)C(O)N(C(C)=O)C1=O							
draft_45277_00208			6.417	607995		OC(=O)C1=CC(C2=CC=CC=C2)=C(C=N1)C(O)=O							
draft_45277_00209			6.425	8795		NCCN1CCNCC1							
draft_45277_00210			6.425	1201482		NC1=CC(N)=NC(=S)N1							
draft_45277_00211			6.426	87919		CN(C)CC(C)(C)CO							
draft_45277_00212			6.4270000000000005	94960		CC1=CC=C(C(O)=O)C(=O)N1							
