name	CAS	formula	SMILES	InChI	InChIKey	rt	id	PubChem.ID
1-(2-butylphenyl)ethanone	25496-16-6	C12H16O	CCCCC1=CC=CC=C1C(=O)C	InChI=1S/C12H16O/c1-3-4-7-11-8-5-6-9-12(11)10(2)13/h5-6,8-9H,3-4,7H2,1-2H3	PLPLNIPMXUXDTF-UHFFFAOYSA-N	10.34	draft_77263_00001	3015233
1-(oxan-2-yl)pyrazole	807-897-5	C8H12N2O	C1CCOC(C1)N2C=CC=N2	InChI=1S/C8H12N2O/c1-2-7-11-8(4-1)10-6-3-5-9-10/h3,5-6,8H,1-2,4,7H2	IMZWSOSYNFVECD-UHFFFAOYSA-N	10.48	draft_77263_00002	21866310
1-butylpyrrolidine	2799-21-5	C8H17N	CCCCN1CCCC1	InChI=1S/C8H17N/c1-2-3-6-9-7-4-5-8-9/h2-8H2,1H3	JSHASCFKOSDFHY-UHFFFAOYSA-N	1.73	draft_77263_00003	69843
1-ethylpiperidin-3-one	41361-28-8	C7H13NO	CCN1CCCC(=O)C1	InChI=1S/C7H13NO/c1-2-8-5-3-4-7(9)6-8/h2-6H2,1H3	UDMMJJYIAHHNQA-UHFFFAOYSA-N	1.4	draft_77263_00004	433439
1-phenylpyrrolidine	1006-64-0	C10H13N	C1CCN(C1)C2=CC=CC=C2	InChI=1S/C10H13N/c1-2-6-10(7-3-1)11-8-4-5-9-11/h1-3,6-7H,4-5,8-9H2	VDQQJMHXZCMNMU-UHFFFAOYSA-N	1.4	draft_77263_00005	77726
1-piperidinebutyronitrile	4672-18-8	C9H16N2	C1CCN(CC1)CCCC#N	InChI=1S/C9H16N2/c10-6-2-5-9-11-7-3-1-4-8-11/h1-5,7-9H2	CVROVTGNNDIZNS-UHFFFAOYSA-N	1.4	draft_77263_00006	78403
1,4-dimethylnaphthalene	571-58-4	C12H12	CC1=CC=C(C2=CC=CC=C12)C	InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3	APQSQLNWAIULLK-UHFFFAOYSA-N	1.4	draft_77263_00007	11304
1,5-dimethylnaphthalene	571-61-9	C12H12	CC1=C2C=CC=C(C2=CC=C1)C	InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3	SDDBCEWUYXVGCQ-UHFFFAOYSA-N	1.4	draft_77263_00008	11306
1,8-diaminonaphthalene	479-27-6	C10H10N2	C1=CC2=C(C(=C1)N)C(=CC=C2)N	InChI=1S/C10H10N2/c11-8-5-1-3-7-4-2-6-9(12)10(7)8/h1-6H,11-12H2	YFOOEYJGMMJJLS-UHFFFAOYSA-N	1.4	draft_77263_00009	68067
2-amino-4'-methylbenzophenone	36192-63-9	C14H13NO	CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2N	InChI=1S/C14H13NO/c1-10-6-8-11(9-7-10)14(16)12-4-2-3-5-13(12)15/h2-9H,15H2,1H3	RMMJUQSANCPTMV-UHFFFAOYSA-N	1.4	draft_77263_00010	118923
2-aminonaphthalene	91-59-8	C10H9N	C1=CC=C2C=C(C=CC2=C1)N	InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2	JBIJLHTVPXGSAM-UHFFFAOYSA-N	1.4	draft_77263_00011	7057
2-butene-1,4-diol diacetate	18621-75-5	C8H12O4	CC(=O)OC/C=C/COC(=O)C	InChI=1S/C8H12O4/c1-7(9)11-5-3-4-6-12-8(2)10/h3-4H,5-6H2,1-2H3/b4-3+	VZUAUHWZIKOMFC-ONEGZZNKSA-N	1.4	draft_77263_00012	638131
2-chlorobenzothiazole	615-20-3	C7H4ClNS	C1=CC=C2C(=C1)N=C(S2)Cl	InChI=1S/C7H4ClNS/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H	BSQLQMLFTHJVKS-UHFFFAOYSA-N	1.4	draft_77263_00013	11987
2-heptan-3-yl-1,3-dioxolane	4359-47-1	C10H20O2	CCCCC(CC)C1OCCO1	InChI=1S/C10H20O2/c1-3-5-6-9(4-2)10-11-7-8-12-10/h9-10H,3-8H2,1-2H3	LQSZQAHPRJMRET-UHFFFAOYSA-N	1.4	draft_77263_00014	107271
2-hydroxy-4-methoxybenzophenone	131-57-7	C14H12O3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3	DXGLGDHPHMLXJC-UHFFFAOYSA-N	1.4	draft_77263_00015	4632
5,5-dimethyl-2-propan-2-yl-1,3-dioxane	7651-50-5	C9H18O2	CC(C)C1OCC(CO1)(C)C	InChI=1S/C9H18O2/c1-7(2)8-10-5-9(3,4)6-11-8/h7-8H,5-6H2,1-4H3	AWSZUOKHFRWQFK-UHFFFAOYSA-N	1.4	draft_77263_00016	82103
2-methylfuran	27137-41-3	C5H6O	CC1=CC=CO1	InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3	VQKFNUFAXTZWDK-UHFFFAOYSA-N	1.4	draft_77263_00017	10797
2-phenoxy ethanol	122-99-6	C8H10O2	C1=CC=C(C=C1)OCCO	InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2	QCDWFXQBSFUVSP-UHFFFAOYSA-N	1.4	draft_77263_00018	31236
2-(2-hydroxypropan-2-yloxy)propan-2-ol	72986-46-0	C6H14O3	CC(C)(O)OC(C)(C)O	InChI=1S/C6H14O3/c1-5(2,7)9-6(3,4)8/h7-8H,1-4H3	PRHCBRXAHBBRKA-UHFFFAOYSA-N	1.4	draft_77263_00019	19028580
2,3'-bipyridine	581-50-0	C10H8N2	C1=CC=NC(=C1)C2=CN=CC=C2	InChI=1S/C10H8N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h1-8H	VEKIYFGCEAJDDT-UHFFFAOYSA-N	1.4	draft_77263_00020	11389
2-(2,4-dichlorophenoxy)acetic acid	94-75-7	C8H6Cl2O3	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)	OVSKIKFHRZPJSS-UHFFFAOYSA-N	1.4	draft_77263_00021	1486
(4-methylphenyl) (2E,4E)-hexa-2,4-dienoate	_	C13H14O2	C/C=C/C=C/C(=O)OC1=CC=C(C=C1)C	InChI=1S/C13H14O2/c1-3-4-5-6-13(14)15-12-9-7-11(2)8-10-12/h3-10H,1-2H3/b4-3+,6-5+	PHJBAQCHWVWSDF-VNKDHWASSA-N	1.4	draft_77263_00022	5368939
2,4,6-tribromophenol	118-79-6	C6H3Br3O	C1=C(C=C(C(=C1Br)O)Br)Br	InChI=1S/C6H3Br3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H	BSWWXRFVMJHFBN-UHFFFAOYSA-N	1.4	draft_77263_00023	1483
2,5-dimethylfuran	625-86-5	C6H8O	CC1=CC=C(O1)C	InChI=1S/C6H8O/c1-5-3-4-6(2)7-5/h3-4H,1-2H3	GSNUFIFRDBKVIE-UHFFFAOYSA-N	1.4	draft_77263_00024	12266
2,6-diethylnaphthalene	59919-41-4	C14H16	CCC1=CC2=C(C=C1)C=C(C=C2)CC	InChI=1S/C14H16/c1-3-11-5-7-14-10-12(4-2)6-8-13(14)9-11/h5-10H,3-4H2,1-2H3	CJJFFBINNGWEBO-UHFFFAOYSA-N	1.4	draft_77263_00025	3017163
2-methyl-1,3-dinitrobenzene	606-20-2	C7H6N2O4	CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3	XTRDKALNCIHHNI-UHFFFAOYSA-N	1.4	draft_77263_00026	11813
3-(n,n-diisopropylamino)propane-1,2-diol	85721-30-8	C9H21NO2	CC(C)N(CC(CO)O)C(C)C	InChI=1S/C9H21NO2/c1-7(2)10(8(3)4)5-9(12)6-11/h7-9,11-12H,5-6H2,1-4H3	OYYXNGVBOWXTPN-UHFFFAOYSA-N	1.4	draft_77263_00027	574994
3-methylcholanthrene	56-49-5	C21H16	CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1	InChI=1S/C21H16/c1-13-6-7-15-12-20-17-5-3-2-4-14(17)8-9-18(20)19-11-10-16(13)21(15)19/h2-9,12H,10-11H2,1H3	PPQNQXQZIWHJRB-UHFFFAOYSA-N	1.4	draft_77263_00028	1674
3,4-dimethylbenzaldehyde	5973-71-7	C9H10O	CC1=C(C=C(C=C1)C=O)C	InChI=1S/C9H10O/c1-7-3-4-9(6-10)5-8(7)2/h3-6H,1-2H3	POQJHLBMLVTHAU-UHFFFAOYSA-N	1.4	draft_77263_00029	22278
2,5-dimethylbenzaldehyde	5779-94-2	C9H10O	CC1=CC(=C(C=C1)C)C=O	InChI=1S/C9H10O/c1-7-3-4-8(2)9(5-7)6-10/h3-6H,1-2H3	SMUVABOERCFKRW-UHFFFAOYSA-N	1.4	draft_77263_00030	22015
3,5-lutidine	591-22-0	C7H9N	CC1=CC(=CN=C1)C	InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3	HWWYDZCSSYKIAD-UHFFFAOYSA-N	1.4	draft_77263_00031	11565
4-benzyloxybenzaldehyde	4397-53-9	C14H12O2	C1=CC=C(C=C1)COC2=CC=C(C=C2)C=O	InChI=1S/C14H12O2/c15-10-12-6-8-14(9-7-12)16-11-13-4-2-1-3-5-13/h1-10H,11H2	ZVTWZSXLLMNMQC-UHFFFAOYSA-N	1.4	draft_77263_00032	78109
4-hydroxybenzophenone	1137-42-4	C13H10O2	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O	InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H	NPFYZDNDJHZQKY-UHFFFAOYSA-N	1.4	draft_77263_00033	14347
