rt	comment	id	pubchem.smiles.canonical	pubchem.cid	pubchem.smiles.isomeric
1.081		draft_86029_00001	OP(O)(=O)CN(CP(O)(O)=O)CP(O)(O)=O	16698	
1.091		draft_86029_00002	OP(O)(=O)CN(CCN(CP(O)(O)=O)CP(O)(O)=O)CP(O)(O)=O	15025	
1.131		draft_86029_00003	CCN(CC)CC(CP(O)(O)=O)P(O)(O)=O	3896586	
1.2229999999999999		draft_86029_00004	NC1=C(NC(=O)NC1=O)S(O)(=O)=O	251119	
1.2530000000000001		draft_86029_00005	OC(=O)C1=NNC(=O)N1	3159586	
1.273		draft_86029_00006	O=C1OCC2=C1NC(=O)NC2=O	326067	
1.3030000000000002		draft_86029_00007	NCCCP(O)(O)=O	97587	
1.334		draft_86029_00008	OC(=O)C1=CC(=O)NC(=O)N1	967	
1.416		draft_86029_00009	OC1NC(=O)NC1O	97915	
1.4549999999999998		draft_86029_00010	NC1=CC(=CC=C1)S(O)(=O)=O	8474	
1.457		draft_86029_00011	OP(=O)(CN1CCCC1=O)CN1CCCC1=O	4585383	
1.466		draft_86029_00012	NC(=O)CC(NC(N)=O)C(O)=O	4677039	
1.4669999999999999		draft_86029_00013	O=C1NC=CC(=O)N1	1174	
1.488		draft_86029_00014	C[N+]1=CC(=CC=C1)C(O)=O	134606	
1.546		draft_86029_00015	CC(=O)NC(NC(C)=O)C(O)C(O)C(O)C(O)CO	5297512	
1.556		draft_86029_00016	CC1=C(NC(=O)NC1=O)C(O)=O	77612	
1.557		draft_86029_00017	OS(=O)(=O)C1=CC=C(C=C1)N1C(=O)CCC1=O	4266416	
1.567		draft_86029_00018	CN1C(=O)NC(=CC1=O)C(O)=O	1487350	
1.602		draft_86029_00019	NC(=O)C1=CN(CC(O)=O)C(=O)NC1=O	28819630	
1.607		draft_86029_00020	CC(N)=O	178	
1.6235		draft_86029_00021	CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N	1132	
1.633		draft_86029_00022	C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O	291	
1.6380000000000001		draft_86029_00023	OC(=O)C1=CNC(=O)N1	1399872	
1.655		draft_86029_00024	OCC(CO)(CO)NCC(O)=O	79784	
1.665		draft_86029_00025	OS(=O)(=O)CCN1CCOCC1	78165	
1.666		draft_86029_00026	OS(=O)(=O)CCCN1CCOCC1	70807	
1.6700000000000002		draft_86029_00027	C[N+](C)(C)CC(O)=O	248	
1.7094999999999998		draft_86029_00028		9750	N[C@@H](CCCNC(N)=O)C(O)=O
1.7770000000000001		draft_86029_00029		14181	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
1.911		draft_86029_00030	CC(=O)NC(NC(C)=O)NC(C)=O	536854	
1.9340000000000002		draft_86029_00031	N1C=NN=C1	9257	
1.944		draft_86029_00032	NNC(=O)C(O)C(O)C(=O)NN	73629	
1.945		draft_86029_00033	OCCN1CCN(CCS(O)(=O)=O)CC1	23831	
1.962		draft_86029_00034	CNC(=O)NC	7293	
1.996		draft_86029_00035	OC(=O)C1=NC=NC=C1	169306	
2.05		draft_86029_00036	O=C1NCCO1	73949	
2.0989999999999998		draft_86029_00037	N1C=CN=N1	67516	
2.103		draft_86029_00038	CNC(C)=O	6582	
2.1085000000000003		draft_86029_00039		439918	NC(N)=N[C@@H](CC(O)=O)C(O)=O
2.1229999999999998		draft_86029_00040	OCCNC(=O)CN1C=CC(=O)NC1=O	2064469	
2.161		draft_86029_00041	CC1=NNN=N1	138107	
2.174		draft_86029_00042	OC(=O)CC1=CNC(=O)NC1=O	298035	
2.174		draft_86029_00043	CNC(=S)NNC(C)=O	1269049	
2.1839999999999997		draft_86029_00044	OC(=O)C1=CC(=O)N(N1)C1=CC=C(C=C1)S(O)(=O)=O	67045	
2.235		draft_86029_00045	NC(=O)C1=CC(O)=C(O)C(O)=C1	69256	
2.2449999999999997		draft_86029_00046	NC1=CC(=O)NC(=S)N1	1201441	
2.3018		draft_86029_00047	CCC(N)=O	6578	
2.3680000000000003		draft_86029_00048	NNC(=O)CCCO	220659	
2.4896666670000003		draft_86029_00049		24211999	N[C@H]1C[C@@H](CO)[C@H](O)[C@@H]1O
2.503		draft_86029_00050	C[N+](C)(C)C1=CNC(=O)N=C1	676123	
2.579		draft_86029_00051	CNCC1=NNC(=O)N1	5200355	
2.61		draft_86029_00052	CNCCO	8016	
2.6189999999999998		draft_86029_00053	O=C1NC2=C(N1)C(=O)NC=C2	906874	
2.7209999999999996		draft_86029_00054	CC1=NN=C(N)NC1=O	1269525	
2.751		draft_86029_00055	CC1=NC(N)=CC(=O)N1	69844	
2.766		draft_86029_00056	NC1C(O)OC(CO)C(O)C1O	3034366	
2.7689999999999997		draft_86029_00057	NCC(O)CO	73561	
2.7920000000000003		draft_86029_00058	O=CN1CCNCC1	82191	
