id	name	doi	pmid	source	method.type	comment	missing information	authors
1	FEM_short	https://doi.org/10.1007/s11306-014-0638-x		PredRet	RP	guard column		P. Arapitsas, G. Speri, A. Angeli, D. Perenzoni, Fulvio Mattivi
2	FEM_long	https://doi.org/10.1007/s11306-011-0298-z		PredRet	RP			G. Theodoridis, H. Gika, P. Franceschi, L. Caputi, P. Arapitsas, M. Scholz, D. Masuero, R. Wehrens, U. Vrhovsek, F. Mattivi 
3	IPB_Halle	https://doi.org/10.1007/s00216-013-6954-6	23615935	PredRet	RP		temperature, flow rate	J. Stanstrup, M. Gerlich, L. O. Dragsted, S. Neumann 
4	MTBLS20	https://doi.org/10.1021/ac300829f	22770225	PredRet	RP	different chromatographic conditions of HPLC and UHPLC but only one RT	temperature, flow rate	A. Roux, Y. Xu, J.-F. Heilier, M.-F. Olivier, E. Ezan, J.-C. Tabe, C. Junot
5	MTBLS38			PredRet	RP	different flow rates during gradient (0,25 and 0,4 ml/min)		
6	MTBLS39			PredRet	RP	guard column	temperature	
7	MTBLS87			PredRet	HILIC		temperature	
8	MTBLS4	https://doi.org/10.1002/rcm.4015	19347970	PredRet	RP			A. Koulman, G. Woffendin, V. K. Narayana, H. Welchman, C. Crone, D. A. Volmer
9	RIKEN	https://doi.org/10.1093/pcp/pcn183	19054808	PredRet	RP		column length, ID and particle size	Y. Sawada, K. Akiyama, A. Sakata, A. Kuwahara, H. Otsuki, T. Sakurai, K. Saito, M. Y. Hirai
10	FEM_lipids			PredRet	RP			
11	FEM_orbitrap_plasma			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
12	FEM_orbitrap_urine			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
13	MTBLS17			PredRet	RP	column name not specific	temperature	
14	MTBLS19			PredRet	RP	column name not specific	temperature	
15	MTBLS36			PredRet	RP	different flow rates during gradient (0,25 and 0,4 ml/min)		
16	MTBLS52			PredRet	RP			
17	UFZ_Phenomenex	www.massbank.eu		PredRet	RP		temperature, gradient and flow rate	
18	UniToyama_Atlantis	www.massbank.eu		PredRet	RP		temperature, gradient and flow rate	
19	Eawag_XBridgeC18	https://doi.org/10.1021/es4044374	24417318	PredRet	RP			E. L. Schymanski, H. P. Singer, P. Longrée, M. Loos, M. Ruff, M. A. Stravs, C. R. Vidal, J. Hollender
20	Cao_HILIC	https://doi.org/10.1007/s11306-014-0727-x		PredRet	HILIC	unknown amount of solvent	flow rate	
21	MPI_Symmetry	https://doi.org/10.1021/ac101825k	21182243	PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
22	1290SQ			PredRet	RP		temperature, gradient and flow rate	
23	PFR-TK72			PredRet	RP			
24	Waters ACQUITY UPLC with synapt G1			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
25	OBSF			PredRet	RP		temperature	
26	re			PredRet	RP		column length and ID; temperature, gradient and flow rate	
27	KI_GIAR_zic_HILIC_ph2_7	10.1021/acs.analchem.7b00925		PredRet	HILIC			
28	CS6			PredRet	RP		temperature	
29	CS3			PredRet	RP		temperature	
30	CS11			PredRet	RP		temperature	
31	CS12			PredRet	RP		temperature	
32	CS13			PredRet	RP		temperature	
33	CS15			PredRet	RP		temperature	
34	CS16			PredRet	RP		temperature	
35	METBLS20-LIUMIN	10.1021/ac300829f		PredRet	RP	different chromatographic conditions of HPLC and UHPLC but only one RT	temperature	
36	CS8			PredRet	RP		temperature	
37	CS9			PredRet	RP		temperature	
38	CS10			PredRet	RP		temperature	
39	CS21			PredRet	RP	column name not specific	temperature	
40	CS7			PredRet	RP		temperature	
41	CS23			PredRet	RP		column length, ID and particle size; temperature, flow rate	
42	CS24			PredRet	RP			
43	C18_SOP3			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
44	HILIC_BDD_2			PredRet	HILIC		column length, ID and particle size	
45	Bade_Publi	https://www.sciencedirect.com/science/article/pii/S0048969715305817?via%3Dihub		PredRet	RP		temperature	
46	Waters_Chiu_T3_pos			PredRet	RP		column length, ID and particle size; temperature	
47	Acquity HSST3-RP-60mn			PredRet	RP		column length, ID and particle size; temperature	
48	BDD_C18			PredRet	RP		column length and ID	
49	CS2			PredRet	RP		column length and ID	
50	CS1			PredRet	RP		temperature	
51	CS17			PredRet	RP		temperature	
52	CS14			PredRet	RP		temperature	
53	CS20			PredRet	RP		temperature	
54	LIFE_old	10.1016/j.aca.2011.12.065		PredRet	RP		temperature and flow rate	
55	LIFE_new	10.1016/j.aca.2011.12.065		PredRet	RP		column length, ID and particle size; temperature and flow rate	
56	CS4			PredRet	RP		temperature	
57	CS5			PredRet	RP	column name not specific	temperature	
58	CS18			PredRet	RP		temperature	
59	CS19			PredRet	RP		temperature	
60	CS22			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
61	cuw			PredRet	RP	unknown amount of solvent	temperature, gradient and flow rate	
62	JP_RP			PredRet	RP		temperature, gradient and flow rate	
63	RPMMFDA			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
64	RPFDAMM			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
65	RP1 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
66	RP2 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
67	RP3 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
68	RP4 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
69	RP5 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
70	RP6 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
71	RP7 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
72	RP8 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
73	RP9 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
74	RP10 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
75	RP11 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
76	RP12 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
77	RP13 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
78	RP14 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
79	RP15 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
