id	name	doi	pmid	source	method.type	comment	missing information	authors
0001	FEM_short	https://doi.org/10.1007/s11306-014-0638-x		PredRet	RP	guard column		P. Arapitsas, G. Speri, A. Angeli, D. Perenzoni, Fulvio Mattivi
0002	FEM_long	https://doi.org/10.1007/s11306-011-0298-z		PredRet	RP			G. Theodoridis, H. Gika, P. Franceschi, L. Caputi, P. Arapitsas, M. Scholz, D. Masuero, R. Wehrens, U. Vrhovsek, F. Mattivi 
0003	IPB_Halle	https://doi.org/10.1007/s00216-013-6954-6	23615935	PredRet	RP		temperature, flow rate	J. Stanstrup, M. Gerlich, L. O. Dragsted, S. Neumann 
0004	MTBLS20	https://doi.org/10.1021/ac300829f	22770225	PredRet	RP	different chromatographic conditions of HPLC and UHPLC but only one RT	temperature, flow rate	A. Roux, Y. Xu, J.-F. Heilier, M.-F. Olivier, E. Ezan, J.-C. Tabe, C. Junot
0005	MTBLS38			PredRet	RP	different flow rates during gradient (0,25 and 0,4 ml/min)		
0006	MTBLS39			PredRet	RP	guard column	temperature	
0007	MTBLS87			PredRet	HILIC		temperature	
0008	MTBLS4	https://doi.org/10.1002/rcm.4015	19347970	PredRet	RP			A. Koulman, G. Woffendin, V. K. Narayana, H. Welchman, C. Crone, D. A. Volmer
0009	RIKEN	https://doi.org/10.1093/pcp/pcn183	19054808	PredRet	RP		column length, ID and particle size	Y. Sawada, K. Akiyama, A. Sakata, A. Kuwahara, H. Otsuki, T. Sakurai, K. Saito, M. Y. Hirai
0010	FEM_lipids			PredRet	RP			
0011	FEM_orbitrap_plasma			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0012	FEM_orbitrap_urine			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0013	MTBLS17			PredRet	RP	column name not specific	temperature	
0014	MTBLS19			PredRet	RP	column name not specific	temperature	
0015	MTBLS36			PredRet	RP	different flow rates during gradient (0,25 and 0,4 ml/min)		
0016	MTBLS52			PredRet	RP			
0017	UFZ_Phenomenex	www.massbank.eu		PredRet	RP		temperature, gradient and flow rate	
0018	UniToyama_Atlantis	www.massbank.eu		PredRet	RP		temperature, gradient and flow rate	
0019	Eawag_XBridgeC18	https://doi.org/10.1021/es4044374	24417318	PredRet	RP			E. L. Schymanski, H. P. Singer, P. Longrée, M. Loos, M. Ruff, M. A. Stravs, C. R. Vidal, J. Hollender
0020	Cao_HILIC	https://doi.org/10.1007/s11306-014-0727-x		PredRet	HILIC	unknown amount of solvent	flow rate	
0021	MPI_Symmetry	https://doi.org/10.1021/ac101825k	21182243	PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0022	1290SQ			PredRet	RP		temperature, gradient and flow rate	
0023	PFR-TK72			PredRet	RP			
0024	Waters ACQUITY UPLC with synapt G1			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0025	OBSF			PredRet	RP		temperature	
0026	re			PredRet	RP		column length and ID; temperature, gradient and flow rate	
0027	KI_GIAR_zic_HILIC_ph2_7	10.1021/acs.analchem.7b00925		PredRet	HILIC			
0028	CS6			PredRet	RP		temperature	
0029	CS3			PredRet	RP		temperature	
0030	CS11			PredRet	RP		temperature	
0031	CS12			PredRet	RP		temperature	
0032	CS13			PredRet	RP		temperature	
0033	CS15			PredRet	RP		temperature	
0034	CS16			PredRet	RP		temperature	
0035	METBLS20-LIUMIN	10.1021/ac300829f		PredRet	RP	different chromatographic conditions of HPLC and UHPLC but only one RT	temperature	
0036	CS8			PredRet	RP		temperature	
0037	CS9			PredRet	RP		temperature	
0038	CS10			PredRet	RP		temperature	
0039	CS21			PredRet	RP	column name not specific	temperature	
0040	CS7			PredRet	RP		temperature	
