company	column	pore size	particle size	inner diameter	length	usp	mode	Column name	full description	Metabolights Term
Advanced Chromatography Technologies	ACE AQ	100	3	0.075	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 0.075 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.075	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 0.075 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.1	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 0.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.1	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 0.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.3	30			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (30mm x 0.3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.3	50			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (50mm x 0.3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.3	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 0.3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.3	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 0.3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.5	30			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (30mm x 0.5 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.5	50			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (50mm x 0.5 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.5	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 0.5 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	0.5	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 0.5 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	1	50			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (50mm x 1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	1	75			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (75mm x 1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	1	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	1	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	20			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (20mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	30			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (30mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	50			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (50mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	75			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (75mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	2.1	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 2.1 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	20			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (20mm x 3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	30			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (30mm x 3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	50			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (50mm x 3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	75			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (75mm x 3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	100			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (100mm x 3 mm, 3 µm, 100 Å)	
Advanced Chromatography Technologies	ACE AQ	100	3	3	150			Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Technologies ACE AQ (150mm x 3 mm, 3 µm, 100 Å)	
