name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Agilent ZORBAX C18	L1	C18			1.08	0.05	0.47	0.06	1.48	1.56	10.7	1	
Agilent ZORBAX C8	L7	C8			0.97	-0.04	0.21	0.17	0.97	1.05	8.3	2	
Agilent ZORBAX Eclipse XDB-C18	L1	C18			1.07	0.02	-0.06	-0.03	0.05	0.08	9.1	3	
Agilent ZORBAX Eclipse XDB-C8	L7	C8			0.91	0.02	-0.21	0.0	0.0	0.01	6.6	4	
Agilent ZORBAX Extend-C18	L1	C18			1.09	0.05	0.01	-0.04	0.03	0.01	8.4	5	
Agilent ZORBAX Rx-C18	L1	C18			1.07	0.03	0.3	-0.03	0.09	0.41	7.7	6	
Agilent ZORBAX Rx-C8	L7	C8			0.79	-0.07	0.11	0.01	0.01	0.94	5.0	7	
Agilent ZORBAX SB-C18	L1	C18		300.0	0.9	-0.05	0.04	0.04	0.25	0.7	2.2	8	
Agilent ZORBAX SB-C3	L56	C3		300.0	0.52	-0.12	-0.19	0.04	0.05	0.35	0.7	9	
Agilent ZORBAX SB-C8	L7	C8		300.0	0.7	-0.08	0.0	0.04	0.14	0.82	1.3	10	
Agilent ZORBAX SB-C18	L1	C18		80.0	0.99	-0.03	0.26	0.0	0.13	1.04	7.6	11	
Agilent ZORBAX SB-C3	L56	C3		80.0	0.6	-0.12	-0.08	0.03	-0.08	0.81	2.8	12	
Agilent ZORBAX SB-C8	L7	C8		80.0	0.79	-0.07	0.13	0.01	0.01	1.02	5.1	13	
Agilent ZORBAX SB-Aq		EP			0.59	-0.12	-0.08	0.03	-0.13	0.73	2.5	15	
Agilent ZORBAX SB-Phenyl	L11	Phenyl			0.62	-0.16	0.06	0.03	0.03	1.08	2.7	16	
Agilent ZORBAX Eclipse XDB-Phenyl	L11	Phenyl			0.66	-0.12	-0.24	0.01	0.06	0.58	3.2	17	
Agilent ZORBAX SB-CN	L10	CN			0.5	-0.1	-0.22	0.04	-0.14	1.04	1.7	18	
Agilent ZORBAX Eclipse XDB-CN	L10	CN			0.45	-0.06	-0.31	0.0	0.07	0.99	1.3	19	
