hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
652	Advanced Chrom. Technol., UltraCore SuperC18	L1	C18	1.09	0.0300	-0.111	-0.0500	-0.0290	0.0280	6.92					
651	Advanced Chrom. Technol., UltraCore SuperPhenylHexyl	L11	phenyl	0.809	-0.0740	-0.347	-0.0140	-0.0140	-0.00700	3.7					
160	Advanced Chromatography Techn., ACE AQ	L1	EP	0.800	-0.0500	-0.120	0.0300	0	0.160	4.7	100A				
155	Advanced Chromatography Techn., ACE C18	L1	C18	1.00	0.0200	-0.0900	0	0.140	0.0900	7.9	100A				
156	Advanced Chromatography Techn., ACE C18	L1	C18	0.980	0.0200	0.0400	0.0100	0.260	0.230	3	300A				
407	Advanced Chromatography Techn., ACE C18-AR	L1	Phenyl	0.880	-0.0500	-0.200	-0.0100	0.0700	0.150	5.7	100A				
372	Advanced Chromatography Techn., ACE C18-HL	L1	C18	1.04	0.0500	-0.0800	-0.0300	-0.0300	-0.110	10	90A				
535	Advanced Chromatography Techn., ACE C18-PFP	L1	C18	0.899	-0.0210	-0.246	-0.0800	-0.00100	-0.995	5.9	100A				
153	Advanced Chromatography Techn., ACE C4	L26	C4	0.670	-0.0100	-0.170	0.0200	0.0900	0.310	2.5	100A				
154	Advanced Chromatography Techn., ACE C4	L26	C4	0.710	-0.0100	-0.180	0.0300	0.160	0.350	1.3	300A				
152	Advanced Chromatography Techn., ACE C8	L7	C8	0.780	0	-0.110	0.0300	0.140	0.380	1.8	300A				
157	Advanced Chromatography Techn., ACE C8	L7	C8	0.827	0.00500	-0.180	0.0260	0.110	0.160	4.9	100A				
158	Advanced Chromatography Techn., ACE CN	L10	CN	0.400	-0.100	-0.720	0	-0.0800	0.440	1	100A				
159	Advanced Chromatography Techn., ACE CN	L10	CN	0.460	-0.0700	-0.160	0.0300	0.150	0.850	0.4	300A				
161	Advanced Chromatography Techn., ACE Phenyl	L11	Phenyl	0.640	-0.130	-0.290	0.0200	0.130	0.460	2.8	100A				
162	Advanced Chromatography Techn., ACE Phenyl	L11	Phenyl	0.590	-0.100	-0.230	0.0300	0.160	0.540	1.1	300A				
650	Advanced Chromatography Technologies, ACE Excel C18-Amide	L60	EP	0.791	0.0230	-0.489	0.199	-0.0600	0.176	5.86					
649	Advanced Chromatography Technologies, ACE Excel CN-ES	L10	CN	0.811	-0.00500	-0.429	-0.0100	-0.0520	0.153	3.74					
648	Advanced Chromatography Technologies, Excel SuperC18	L1	C18	0.997	-0.00300	-0.201	-0.0130	0.0300	0.00900	9.92					
710	Advanced Materials Techn., HALO AQ-C18	L1	C18	1.00	-0.0360	0.0990	-0.0480	0.156	0.864	6.7					
711	Advanced Materials Techn., HALO Biphenyl	L11	phenyl	0.708	-0.183	-0.279	0.0280	0.0470	0.990	3.1					
328	Advanced Materials Techn., HALO C18	L1	C18	1.10	0.0400	0	-0.0500	0.0500	0.0400	6.1					
599	Advanced Materials Techn., HALO C18	L1	C18	1.15	0.0550	0.0250	-0.0550	0.0730	0.100	7.031		5µm			
730	Advanced Materials Techn., HALO C30	L62	C30	0.938	-0.0460	-0.140	0.0230	0.170	0.350	4.5					
329	Advanced Materials Techn., HALO C8	L7	C8	0.910	0.0200	-0.130	0	-0.0100	0.180	4.3					
633	Advanced Materials Techn., HALO C8	L7	C8	0.920	0.0170	-0.118	-0.00200	-0.00200	0.205	4.6		5µm			
600	Advanced Materials Techn., HALO ES-CN	L10	CN	0.566	-0.110	-0.344	0.0210	0.126	1.15	1.88					
636	Advanced Materials Techn., HALO ES-CN	L10	CN	0.558	-0.102	-0.492	0.0120	0.0810	0.967	1.61		5µm			
