name_normalized	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P.1	particle size [µm]	pore size [A]	hplccolumns_number
Thermo Scientific Acclaim 120 C18		C18	7.82	1.52	1.41	0.46	0.39	0.08	3	120	
Thermo Scientific Acclaim Mixed-Mode HILIC-1		Diol	0.55	1.25	1.9	1.19	2.18	0.06	5	120	
Thermo Scientific Acclaim Mixed Mode WAX-1		Alkyl/WAX	0.77	1.29	2.45	0.06	0.09	-0.1	5	120	
Thermo Scientific Acclaim Mixed Mode WCX-1		Alkyl/WCX	0.66	1.16	3.33	0.48	1.84	0.05	5	120	
Thermo Scientific Acclaim Polar Advantage		PEG	4.16	1.4	2.71	0.34	0.27	0.04	5	120	
Thermo Scientific Acclaim Polar Advantage II		C18	4.28	1.45	1.87	0.26	0.34	0.05	3	120	
Thermo Scientific Acclaim RSLC 120 C18		C18	7.62	1.51	1.37	0.44	0.38	0.1	2.2	120	
Thermo Scientific Acclaim RSLC Polar Advantage II		C18	4.92	1.44	1.92	0.22	0.52	0.07	2.2	120	
Thermo Scientific Accucore C18		C18	4.44	1.48	1.61	0.36	0.43	0.1	2.6 spp	150	
Advanced Chromatography Technologies ACE C18		C18	5.22	1.48	1.59	0.39	0.32	0.11	3	100	
Advanced Chromatography Technologies ACE C18-300		C18	2.41	1.46	1.58	0.37	0.38	0.11	3	300	
Advanced Chromatography Technologies ACE C18-AR		Phenyl	4.33	1.42	1.75	0.76	0.42	0.13	3	100	
Advanced Chromatography Technologies ACE C18-HL		C18	7.95	1.5	1.6	0.38	0.32	0.08	3	90	
Advanced Chromatography Technologies ACE C18-PFP		PFP	4.34	1.39	3.04	0.54	0.31	0.11	5	100	
Advanced Chromatography Technologies ACE C4		C4	1.09	1.29	0.71	0.44	0.37	0.14	3	100	
Advanced Chromatography Technologies ACE C4-300		C4	0.49	1.28	0.73	0.46	0.49	0.17	3	300	
Advanced Chromatography Technologies ACE C8		C8	2.41	1.36	1.0	0.34	0.31	0.11	3	100	
Advanced Chromatography Technologies ACE C8-300		C8	1.38	1.31	1.0	0.35	0.42	0.19	3	300	
Advanced Chromatography Technologies ACE CN		CN	0.18	1.0	1.88	0.68	0.0	0.16	3	100	
Advanced Chromatography Technologies ACE CN-300		CN	0.29	1.0	1.0	1.28	0.0	0.33	3	300	
Advanced Chromatography Technologies ACE Phenyl		Phenyl	1.14	1.27	1.03	1.25	0.59	0.16	5	100	
Advanced Chromatography Technologies ACE Phenyl-300		Phenyl	0.55	1.25	1.03	1.28	0.61	0.23	3	300	
Advanced Chromatography Technologies ACE AQ		PEG	2.53	1.36	1.26	0.48	0.36	0.11	5	100	
Advanced Chromatography Technologies ACE C18		C18	5.44	1.48	1.56	0.38	0.32	0.11	5	100	
Advanced Chromatography Technologies ACE C18-300		C18	2.41	1.47	1.61	0.35	0.34	0.11	5	300	
Advanced Chromatography Technologies ACE C18-AR		Phenyl	4.5	1.42	1.74	0.75	0.35	0.12	5	100	
Advanced Chromatography Technologies ACE C18-AR-300		Phenyl	1.95	1.41	1.8	0.71	0.44	0.08	5	300	
Advanced Chromatography Technologies ACE C18-PFP		PFP	4.33	1.38	3.09	0.53	0.3	0.1	5	100	
Advanced Chromatography Technologies ACE C18-PFP-300		PFP	1.85	1.36	3.02	0.52	0.35	0.11	5	300	
Advanced Chromatography Technologies ACE C8		C8	2.36	1.36	1.0	0.34	0.31	0.11	5	100	
Advanced Chromatography Technologies ACE CN		CN	0.26	1.08	1.73	0.51	0.0	0.15	5	100	
Advanced Chromatography Technologies ACE Phenyl		Phenyl	1.2	1.26	1.0	1.14	0.46	0.14	5	100	
Advanced Chromatography Technologies ACE SuperC18		C18	7.93	1.49	1.46	0.44	0.18	0.11	5	90	
Advanced Chromatography Technologies ACE C18		C18	5.47	1.47	1.51	0.38	0.25	0.11	2	100	
Advanced Chromatography Technologies ACE C18-Amide		PEG	4.17	1.39	2.07	0.26	0.21	0.07	10	100	
Advanced Chromatography Technologies ACE C18-Amide		PEG	4.03	1.41	2.07	0.26	0.21	0.08	3	100	
Advanced Chromatography Technologies ACE C18-Amide		PEG	4.3	1.41	2.11	0.25	0.2	0.07	5	100	
Advanced Chromatography Technologies ACE C18-AR		Phenyl	4.35	1.41	1.71	0.75	0.29	0.12	2	100	
Advanced Chromatography Technologies ACE C18-PFP		PFP	4.81	1.38	2.98	0.53	0.24	0.11	2	100	
Advanced Chromatography Technologies ACE CN-ES		Cyano	2.34	1.3	4.44	0.17	0.0	0.04	2	100	
Advanced Chromatography Technologies ACE CN-ES		Cyano	2.14	1.3	4.5	0.18	0.0	0.04	3	100	
Advanced Chromatography Technologies ACE CN-ES		Cyano	2.19	1.3	4.57	0.17	0.22	0.05	5	100	
Advanced Chromatography Technologies ACE SuperC18		C18	8.1	1.48	1.44	0.42	0.22	0.1	3.5	90	
Advanced Chromatography Technologies ACE SuperC18		C18	7.28	1.47	1.42	0.43	0.23	0.11	3	90	
Advanced Chromatography Technologies ACE UltraCore SuperPhenylHexyl		Phenyl	2.63	1.36	1.11	0.68	0.32	0.09	2.5spp	95	
Advanced Chromatography Technologies ACE UltraCore SuperPhenylHexyl		Phenyl	2.5	1.37	1.1	0.67	0.31	0.09	5spp	95	
Advanced Chromatography Technologies ACE UltraCore SuperC18		C18	6.33	1.49	1.46	0.39	0.32	0.09	2.5	95	
Advanced Chromatography Technologies ACE UltraCore SuperC18		C18	5.61	1.5	1.45	0.4	0.32	0.1	5	95	
Phase Analytical Technology, LLC ACME Amide/C18		PEG	3.44	1.41	1.77	0.29	0.19	0.07	3	120	
Phase Analytical Technology, LLC ACME C18		C18	5.32	1.48	1.3	0.48	0.28	0.13	3	120	
Phase Analytical Technology, LLC ACME F5/C18		PFP and C18	5.88	1.46	1.63	0.45	0.35	0.17	3	120	
		C18	6.4	1.5	1.41	0.43	0.27	0.12	3	120	
		C18	10.09	1.5	1.48	0.41	0.26	0.1	3	100	
Phase Analytical Technology, LLC ACME PLUS		C18	4.3	1.48	1.4	0.41	0.39	0.12	3	120	
Waters ACQUITY UPLC BEH C18		C18	4.0	1.47	1.37	0.56	0.21	0.1	1.7	130	
