name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Thermo Fisher Acclaim 120 C18	Thermo Fisher, Acclaim 120 C18		C18	7.82	1.52	1.41	0.46	0.39	0.08	3	120	Acclaim 120 C18 3.0 µm		Acclaim 120 C18 3.0 µm
Thermo Fisher Acclaim Mixed-Mode HILIC-1	Thermo Fisher, Acclaim Mixed-Mode HILIC-1		Diol	0.55	1.25	1.9	1.19	2.18	0.06	5	120	Acclaim Mixed mode HILIC 5um		Acclaim Mixed mode HILIC 5um
Thermo Scientific Acclaim Mixed Mode WAX-1	Thermo Fisher, Acclaim Mixed-Mode WAX		Alkyl/WAX	0.77	1.29	2.45	0.06	0.09	-0.1	5	120	Acclaim Mixed mode WAX 5um		Acclaim Mixed mode WAX 5um
Thermo Scientific Acclaim Mixed Mode WCX-1	Thermo Fisher, Acclaim Mixed-Mode WCX-1		Alkyl/WCX	0.66	1.16	3.33	0.48	1.84	0.05	5	120	Acclaim Mixed mode WCX 5um		Acclaim Mixed mode WCX 5um
Thermo Scientific Acclaim Polar Advantage	Thermo Fisher, Acclaim PA C16		PEG	4.16	1.4	2.71	0.34	0.27	0.04	5	120	Acclaim PA C16		Acclaim PA C18
Thermo Scientific Acclaim Polar Advantage II	Thermo Fisher, Acclaim PA2 C18		C18	4.28	1.45	1.87	0.26	0.34	0.05	3	120	Acclaim PA2 C18 3.0 µm		Acclaim PA2 C18 3.0 µm
Thermo Scientific Acclaim RSLC 120 C18	Thermo Fisher, Acclaim RSLC 120 C18		C18	7.62	1.51	1.37	0.44	0.38	0.1	2.2	120	Acclaim RSLC 120 C18 2.2 µm		Acclaim RSLC 120 C18 2.2 µm
Thermo Scientific Acclaim RSLC Polar Advantage II	Thermo Fisher, Acclaim RSLC PA2 C18		C18	4.92	1.44	1.92	0.22	0.52	0.07	2.2	120	Acclaim RSLC PA2 C18 2.2 µm		Acclaim RSLC PA2 C18 2.2 µm
Thermo Scientific Accucore C18	Thermo Fisher, Accucore C18		C18	4.44	1.48	1.61	0.36	0.43	0.1	2.6 spp	150	Accucore C18		Accucore C18
Advanced Chromatography Technologies ACE C18	Advanced Chromatography Techn., ACE C18		C18	5.22	1.48	1.59	0.39	0.32	0.11	3	100	ACE 3 C18		ACE 3 C18
Advanced Chromatography Technologies ACE C18-300	Advanced Chromatography Techn., ACE C18-300		C18	2.41	1.46	1.58	0.37	0.38	0.11	3	300	ACE 3 C18-300		ACE 3 C18-300
Advanced Chromatography Technologies ACE C18-AR	Advanced Chromatography Techn., ACE C18-AR		Phenyl	4.33	1.42	1.75	0.76	0.42	0.13	3	100	ACE 3 C18-AR		ACE 3 C18-AR
Advanced Chromatography Technologies ACE C18-HL	Advanced Chromatography Techn., ACE C18-HL		C18	7.95	1.5	1.6	0.38	0.32	0.08	3	90	ACE 3 C18HL		ACE 3 C18HL
Advanced Chromatography Technologies ACE C18-PFP	Advanced Chromatography Techn., ACE C18		PFP	4.34	1.39	3.04	0.54	0.31	0.11	5	100	ACE 3 C18-PFP		ACE 3 C18-PFP
Advanced Chromatography Technologies ACE C4	Advanced Chromatography Techn., ACE C4		C4	1.09	1.29	0.71	0.44	0.37	0.14	3	100	ACE 3 C4		ACE 3 C4
Advanced Chromatography Technologies ACE C4-300	Advanced Chromatography Techn., ACE C4-300		C4	0.49	1.28	0.73	0.46	0.49	0.17	3	300	ACE 3 C4-300		ACE 3 C4-300
Advanced Chromatography Technologies ACE C8	Advanced Chromatography Techn., ACE C8		C8	2.41	1.36	1	0.34	0.31	0.11	3	100	ACE 3 C8		ACE 3 C8
Advanced Chromatography Technologies ACE C8-300	Advanced Chromatography Techn., ACE C8-300		C8	1.38	1.31	1	0.35	0.42	0.19	3	300	ACE 3 C8-300		ACE 3 C8-300
Advanced Chromatography Technologies ACE CN	Advanced Chromatography Techn., ACE CN		CN	0.18	1	1.88	0.68	0	0.16	3	100	ACE 3 CN		ACE 3 CN
Advanced Chromatography Technologies ACE CN-300	Advanced Chromatography Techn., ACE CN-300		CN	0.29	1	1	1.28	0	0.33	3	300	ACE 3 CN-300		ACE 3 CN-300
Advanced Chromatography Technologies ACE Phenyl	Advanced Chromatography Techn., ACE Phenyl		Phenyl	1.14	1.27	1.03	1.25	0.59	0.16	5	100	ACE 3 phenyl		ACE 3 phenyl
Advanced Chromatography Technologies ACE Phenyl-300	Advanced Chromatography Techn., ACE Phenyl-300		Phenyl	0.55	1.25	1.03	1.28	0.61	0.23	3	300	ACE 3 Phenyl-300		ACE 3 Phenyl-300
Advanced Chromatography Technologies ACE AQ	Advanced Chromatography Techn., ACE AQ		PEG	2.53	1.36	1.26	0.48	0.36	0.11	5	100	ACE 5 AQ		ACE 5 AQ
Advanced Chromatography Technologies ACE C18	Advanced Chromatography Techn., ACE C18		C18	5.44	1.48	1.56	0.38	0.32	0.11	5	100	ACE 5 C18		ACE 5 C18
Advanced Chromatography Technologies ACE C18-300	Advanced Chromatography Techn., ACE C18-300		C18	2.41	1.47	1.61	0.35	0.34	0.11	5	300	ACE 5 C18-300		ACE 5 C18-300
