Brand Name	Manufacturer	USP.Code
Acclaim 120 C18	Thermo Scientific	L1
Acclaim RSLC C18	Thermo Scientific	L1
AccQTag Ultra	Waters Corp.	L1
Accucore 150-C18	Thermo Scientific	L1
Accucore aQ	Thermo Scientific	L1
Accucore C18	Thermo Scientific	L1
Accucore XL C18	Thermo Scientific	L1
ACE 300 C18	Advanced Chrom. Technol.	L1
ACE AQ	Advanced Chrom. Technol.	L1
ACE C18	Advanced Chrom. Technol.	L1
ACE C18-300	Advanced Chrom. Technol.	L1
ACE C18-AR	Advanced Chrom. Technol.	L1
ACE C18-PFP	Advanced Chrom. Technol.	L1
ACE Excel AQ	Advanced Chrom. Technol.	L1
ACE Excel C18	Advanced Chrom. Technol.	L1
ACE Excel C18-AR	Advanced Chrom. Technol.	L1
ACE Excel C18-PFP	Advanced Chrom. Technol.	L1
ACQUITY UPLC BEH	Waters	L1
ACQUITY UPLC BEH 300	Waters Corp.	L1
ACQUITY UPLC BEH C18	Waters Corp.	L1
ACQUITY UPLC BEH Shield RP18	Waters Corp.	L1
ACQUITY UPLC BEH130	Waters Corp.	L1
ACQUITY UPLC BEH300	Waters Corp.	L1
ACQUITY UPLC CSH C18	Waters Corp.	L1
ACQUITY UPLC HSS C18	Waters Corp.	L1
ACQUITY UPLC HSS C18 SB	Waters Corp.	L1
ACQUITY UPLC HSS T3	Waters Corp.	L1
ACQUITY UPLC OST C18	Waters Corp.	L1
AdCore C18	Ad Hoc Scientific	L1
Adsorbosil C18	Dr. Maisch	L1
Adsorbosphere C18	Dr. Maisch	L1
Adsorbosphere HS C18	Dr. Maisch	L1
Adsorbosphere UHS C18	Dr. Maisch	L1
Adsorbosphere XL 300 C18	Dr. Maisch	L1
Adsorbosphere XL C18	Dr. Maisch	L1
Adsorbosphere XL C18-B	Dr. Maisch	L1
AdvanceBio Oligonucleotide	Agilent	L1
AdvanceBio Peptide Mapping	Agilent	L1
AdvanceBio Peptide Plus	Agilent	L1
Aegispak C18-F	Young Jin Biochrom	L1
Aegispak C18-L	Young Jin Biochrom	L1
Aeris PEPTIDE XB-C18	Phenomenex	L1
Aeris WIDEPORE XB-C18	Phenomenex	L1
Allsphere ODS-1	Dr. Maisch	L1
Allsphere ODS-2	Dr. Maisch	L1
Alltech 600-RP	Grace - Alltech	L1
Alltech 600RP	Alltech Associates	L1
Alltech C18	Alltech Associates	L1
Alltima C18	Hichrom	L1
Alltima C18 LL	Hichrom	L1
Alltima HP C18	Hichrom	L1
Alltima HP C18 Amide	Hichrom	L1
Alltima HP C18 AQ	Hichrom	L1
Alltima HP C18 EPS	Hichrom	L1
Alltima HP C18 Hi-Load	Hichrom	L1
